Name,Occupation,Gender,MaleScore,FemaleScore,NonBinaryScore,Gender + hand codes,
Abha Dawesar,Novelist,female,0,10,0,female,
Abigail Washburn,Clawhammer banjo player,female,0,5,0,female,
Achenyo Idachaba,Green entrepreneur,female,0,4,0,female,
Aditi Gupta,"Social entrepreneur, co-founder of Menstrupedia",female,0,6,0,female,
Aditi Shankardass,Neuroscientist ,female,0,3,1,female,
Adora Svitak,Child prodigy,female,0,10,0,female,
Aicha el-Wafi + Phyllis Rodriguez,9/11 mothers,female,0,4,2,female,
Aimee Mullins,Athlete and actor,female,0,13,0,female,
Alaa Murabit,Peace expert,female,0,9,0,female,
Alanna Shaikh,Global health and development specialist,female,0,12,0,female,
Alessandra Orofino,Political mobilization activist,female,0,3,0,female,
Alexa Meade,Visual artist,female,0,10,0,female,
Alice Bows-Larkin,Climate scholar,female,0,3,0,female,
Alice Dreger,Historian,female,0,2,0,female,
Alice Goffman,Urban sociologist,female,0,3,0,female,
Alice Rawsthorn,Design critic,female,0,3,1,female,
Alisa Miller,"CEO, Public Radio International (PRI)",female,0,1,1,female,
Alison Jackson,Artist,female,1,7,0,female,
Alison Killing,Architect,female,0,1,1,female,
Alix Generous,Advocate,female,0,9,1,female,
Allison Hunt,Marketing expert,female,0,2,0,female,
Alyson McGregor,Women's health pioneer,female,0,3,1,female,
Amanda Bennett,Journalist,female,0,4,1,female,
Amanda Burden,Urban planner,female,0,7,0,female,
Amanda Palmer,"Musician, blogger",female,0,15,3,female,
Amber Case,Cyborg Anthropologist ,female,0,2,1,female,
Ameenah Gurib-Fakim,Biodiversity scientist,female,0,6,2,female,
Amy Cuddy,Social Psychologist,female,0,12,1,female,
Amy Lockwood,Global development worker,female,0,4,0,female,
Amy O'Toole,Student,female,0,3,0,female,
Amy Purdy,Pro snowboarder,female,0,10,0,female,
Amy Smith,"inventor, engineer",female,0,8,0,female,
Amy Tan,Novelist,female,0,8,0,female,
Amy Webb,Digital strategist,female,0,4,0,female,
Ananda Shankar Jayant,Dancer and choreographer,female,0,2,1,female,
Anastasia Taylor-Lind,Documentary photographer,female,0,1,0,female,
Andrea Ghez,Astronomer,female,0,3,0,female,
Angela Belcher,Biological engineer,female,0,3,0,female,
Angela Lee Duckworth,Psychologist,female,0,6,1,female,
Ann Morgan,"Writer, blogger, author",female,0,7,0,female,
Anna Deavere Smith,"Actor, playwright, social critic",female,0,11,1,female,
Anne Curzan,Language historian,female,0,6,1,female,
Anne-Marie Slaughter,Public policy thinker,female,0,10,2,female,
Anne Milgram,"VP criminal justice, Arnold Foundation",female,0,10,0,female,
Annie Lennox,"Activist, singer-songwriter",female,0,6,1,female,
Annie Murphy Paul,Science author,female,0,3,0,female,
AnnMarie Thomas,Educator,female,0,5,0,female,
Aomawa Shields,"Astronomer, astrobiologist, actor, writer",female,0,5,0,female,
Aparna Rao,Artist,female,0,5,0,female,
Arianna Huffington,Journalist,female,0,3,0,female,
Ariel Garten,"Artist, scientist and entrepreneur",female,0,1,0,female,
Ash Beckham,Equality advocate,female,0,3,1,female,
Asha de Vos,Protector of whales,female,0,5,1,female,
Aspen Baker,Listener,female,0,4,2,female,
Audrey Choi,Sustainable investment expert,female,0,4,0,female,
Ayah Bdeir,Engineer and artist,female,0,2,0,female,
Aziza Chaouni,Architect + ecotourism specialist,female,0,9,2,female,
Bahia Shehab,Artist and historian,female,0,6,0,female,
Barbara Natterson-Horowitz,Cardiologist,female,0,4,0,female,
Bê©atrice Coron,Papercutter artist,female,0,13,0,female,
Becky Blanton,Writer,female,2,13,0,female,
Bel Pesce,Entrepreneur,female,0,8,2,female,
Benedetta Berti,International policy analyst,female,0,5,1,female,
Beth Noveck,Open-government expert,female,0,3,1,female,
Billie Jean King,Tennis legend and activist,female,0,6,0,female,
Boghuma Kabisen Titanji,Clinical researcher,female,0,4,0,female,
Bonnie Bassler,Molecular biologist,female,0,7,1,female,
Brenda Romero,Game designer,female,0,5,0,female,
Brenda Laurel,Designer and theorist,female,0,3,0,female,
Brenê© Brown,Vulnerability researcher,female,0,5,1,female,
Britta Riley,"Artist, urban farmer",female,0,1,0,female,
C. Noel Bairey Merz,Physician,female,0,3,0,female,
Caitria O'Neill,Disaster relief expert,female,0,5,1,female,
Cameron Russell,Model,female,0,7,0,female,
Camille Seaman,Photographer,female,0,5,0,female,
Carmen Agra Deedy,Storyteller,female,0,4,0,female,
Carol Cohen,"CEO and co-founder, iRelaunch",female,0,6,1,female,
Caroline Lavelle,Cellist; singer-songwriter,female,0,10,0,female,
Caroline Phillips,Musician,female,0,3,0,female,
Carolyn Porco,Planetary scientist,female,0,12,4,female,
Catarina Mota,Maker,female,0,4,0,female,
Catherine Bracy,"Hacker, community manager",female,0,6,0,female,
