title,views,descr
Averting the climate crisis,"
3,056,446
","
With the same humor and humanity he exuded in An Inconvenient Truth, Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter ""brand name"" for global warming.
"
The killer American diet that's sweeping the planet,"
2,019,770
","
Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined — and it’s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.
"
Re-engineering the brain,"
576,460
","
In the quest to map the brain, many scientists have attempted the incredibly daunting task of recording the activity of each neuron. Gero Miesenboeck works backward — manipulating specific neurons to figure out exactly what they do, through a series of stunning experiments that reengineer the way fruit flies percieve light.
"
A one-man orchestra of the imagination,"
1,135,641
","
Musical innovator Andrew Bird winds together his trademark violin technique with xylophone, vocals and sophisticated electronic looping. Add in his uncanny ability to whistle anything, and he becomes a riveting one-man orchestra.  

"
Teaching design for change,"
850,108
","
Designer Emily Pilloton moved to rural Bertie County, in North Carolina, to engage in a bold experiment of design-led community transformation. She's teaching a design-build class called Studio H that engages high schoolers' minds and bodies while bringing smart design and new opportunities to the poorest county in the state.
"
The path to ending ethnic conflicts,"
290,350
","
Civil wars and ethnic conflicts have brought the world incredible suffering, but Stefan Wolff's figures show that, in the last 20 years, their number has steadily decreased. He extracts critical lessons from Northern Ireland, Liberia, Timor and more to show that leadership, diplomacy and institutional design are our three most effective weapons in waging peace.
"
America's native prisoners of war,"
1,196,293
","
Aaron Huey's effort to photograph poverty in America led him to the Pine Ridge Indian Reservation, where the struggle of the native Lakota people — appalling, and largely ignored — compelled him to refocus. Five years of work later, his haunting photos intertwine with a shocking history lesson.
"
Making global labor fair,"
544,298
","
FLA head Auret van Heerden talks about the next frontier of workers' rights — globalized industries where no single national body can keep workers safe and protected. How can we keep our global supply chains honest? Van Heerden makes the business case for fair labor.
"
Simplifying complexity,"
1,057,363
","
Ecologist Eric Berlow doesn't feel overwhelmed when faced with complex systems. He knows that more information can lead to a better, simpler solution. Illustrating the tips and tricks for breaking down big issues, he distills an overwhelming infographic on U.S. strategy in Afghanistan to a few elementary points.
"
Teaching kids real math with computers,"
1,400,021
","
From rockets to stock markets, many of humanity's most thrilling creations are powered by math. So why do kids lose interest in it? Conrad Wolfram says the part of math we teach — calculation by hand — isn't just tedious, it's mostly irrelevant to real mathematics and the real world. He presents his radical idea: teaching kids math through computer programming.
"
