author,occupation,description,gender
Abha Dawesar,Novelist,Abha Dawesar writes to make sense of the world _ã herself included.,female
Abigail Washburn,Clawhammer banjo player,"Abigail Washburn pairs venerable folk elements with far-flung sounds, creating results that feel both strangely familiar and unlike anything anybody's ever heard before.",female
Achenyo Idachaba,Green entrepreneur,"Achenyo Idachaba is the head of MitiMeth, a Nigeria-based company that makes handicrafts from aquatic weeds and other agro-waste.",female
Aditi Gupta,"Social entrepreneur, co-founder of Menstrupedia",Aditi Gupta uses storytelling and art to educate young girls about menstruation.,female
Aditi Shankardass,Neuroscientist ,Aditi Shankardass is pioneering the use of EEG technology to give children with developmental disorders their most accurate diagnosis.,female
Adora Svitak,Child prodigy,"A prolific short story writer and blogger since age seven, Adora Svitak (now 12) speaks around the United States to adults and children as an advocate for literacy.",female
Aicha el-Wafi + Phyllis Rodriguez,9/11 mothers,Aicha el-Wafi and Phyllis Rodriguez met around a shared tragedy _ã and their friendship has become a powerful symbol for forgiveness and dialogue.,female
Aimee Mullins,Athlete and actor,"A record-breaker at the Paralympic Games in 1996, Aimee Mullins has built a career as a model, actor and advocate for women, sports and the next generation of prosthetics. ",female
Alaa Murabit,Peace expert,Alaa Murabit champions women_ã_s participation in peace processes and conflict mediation.,female
Alanna Shaikh,Global health and development specialist,Global development expert Alanna Shaikh takes on the toughest of health issues_ãfrom the ones affecting the globe at large to the ones hurting her own family. ,female
Alessandra Orofino,Political mobilization activist,"Alessandra Orofino founded Meu Rio, Rio de Janeiro_ã_s largest mobilization network.",female
Alexa Meade,Visual artist,"Alexa Meade paints mesmerizing, illusionistic portraits directly on living subjects, subverting familiar visual cues with perspective and color.",female
Alice Bows-Larkin,Climate scholar,"Climate researcher Alice Bows-Larkin connects her academic research to the broader policy context, helping create policies to deal with our changing planet.",female
Alice Dreger,Historian,"Alice Dreger studies history and anatomy, and acts as a patient advocate.",female
