a,27743,607
aa,4,2
aaa,2,2
aaaaa,2,2
aaaab,1,1
aah,3,1
aarhus,1,1
aaron,4,4
ab,3,1
ababa,2,2
abacha,1,1
aback,1,1
abalone,11,1
abandon,4,4
abandoned,26,14
abandoning,3,3
abandonment,1,1
abate,1,1
abaya,5,3
abbas,1,1
abbreviated,2,2
abbreviation,2,2
abbreviations,1,1
abby,1,1
abc,6,4
abdel,1,1
abdi,2,1
abdicated,1,1
abdicating,1,1
abdirizak,2,1
abdomens,1,1
abdominal,2,2
abducted,2,2
abduction,1,1
abdullah,1,1
abe,3,2
abegg,4,1
abend,1,1
abernathey,1,1
aberrant,1,1
aberrations,1,1
abhors,1,1
abide,1,1
abidjan,1,1
abigail,3,1
abilities,31,21
ability,179,127
abiola,2,1
abject,2,2
abl,1,1
ablaze,1,1
able,750,318
abled,1,1
ables,1,1
abnormal,7,6
abnormalities,3,3
abnormality,2,1
aboard,2,2
abobiri,1,1
abolish,4,4
abolished,3,2
abolishing,1,1
abolitionist,2,1
abolitionists,1,1
abomination,1,1
aboody,3,1
aboriginal,2,2
aboriginals,1,1
aborigines,1,1
aborted,1,1
abortion,25,7
abortions,2,1
abou,1,1
about,5800,592
above,91,72
abraham,13,6
abrahamic,2,2
abramovich,1,1
abrasion,4,2
abrasions,1,1
abridged,3,3
abroad,20,16
abrupt,1,1
abruptly,4,3
abs,1,1
abscess,1,1
absconded,1,1
absence,21,16
absences,1,1
absent,10,7
absentee,1,1
absenteeism,2,2
absolute,32,28
absolutely,146,110
absolutes,3,3
absolution,1,1
absolutism,1,1
absolved,1,1
absorb,14,10
absorbed,7,7
absorbency,1,1
absorbent,2,2
absorber,1,1
absorbers,1,1
absorbing,3,3
absorbs,3,2
absorption,1,1
absorptive,2,1
absquatulate,1,1
abstain,1,1
abstract,38,27
abstracted,1,1
abstraction,5,5
abstractly,2,2
abstruse,2,1
absurd,7,7
absurdities,1,1
abu,9,8
abubakar,2,1
abundance,16,12
abundant,15,13
abuse,64,39
abused,15,10
abuser,3,1
abusers,3,2
abuses,3,3
abusing,2,2
abusive,14,9
abysmal,1,1
abyss,1,1
abzug,2,2
academia,9,5
academic,30,24
academically,5,3
academician,1,1
academicians,1,1
academics,7,7
academies,1,1
academy,19,17
accelerate,7,7
accelerated,3,2
accelerating,2,2
accelerator,5,3
accelerators,3,3
accent,8,7
accented,1,1
accents,4,1
accentuate,1,1
accenture,8,1
accept,58,43
acceptable,13,9
acceptance,18,16
accepted,45,36
accepting,20,16
accepts,2,2
access,199,118
accessed,3,3
accessibility,1,1
accessible,29,24
accessing,3,3
accessories,4,3
accessory,2,2
accident,53,35
accidental,9,7
accidentally,11,11
accidents,18,12
acclimate,1,1
acclimatized,1,1
accolades,1,1
accommodate,4,4
accommodates,1,1
accompanied,11,11
accompanies,2,2
accompaniment,1,1
accompany,2,2
accompanying,5,5
accomplish,17,14
accomplished,13,13
accomplishing,2,2
accomplishment,9,8
accomplishments,9,9
accor,1,1
accord,5,4
accordance,1,1
according,58,49
accordingly,3,3
account,70,50
accountability,24,20
accountable,17,11
accountant,4,4
accountants,1,1
accounted,4,4
accounting,6,5
accounts,20,14
accra,6,1
accreditation,1,1
accredited,2,2
accretion,5,3
accumbens,3,3
accumulate,2,2
accumulated,6,6
accumulating,3,3
accumulation,4,2
accuracy,14,13
accurate,25,22
accurately,14,11
accusation,5,4
accusations,2,2
accused,11,10
accusing,3,2
accustomed,7,7
ace,11,3
aced,1,1
aces,9,1
acetic,1,1
achebe,2,1
ached,3,2
achieve,59,48
achieved,23,14
achievement,25,19
achievements,8,8
achievers,1,1
achieving,20,19
achilles,6,2
achmat,1,1
achoo,1,1
acid,16,14
acidic,1,1
acids,7,5
acini,1,1
aciniform,1,1
acinus,4,1
acknowledge,17,14
acknowledged,10,9
acknowledgement,2,2
acknowledges,3,3
acknowledging,9,9
acknowledgment,2,2
acknowledgments,1,1
aclu,3,1
acne,2,1
acorn,1,1
acoustic,16,8
acoustical,1,1
acoustically,3,3
acousticians,3,2
acoustics,1,1
acquaintance,1,1
acquaintances,3,3
acquaints,1,1
acquire,12,8
acquired,12,9
acquires,2,1
acquiring,7,6
acquisition,10,6
acquisitions,3,1
acquisitiveness,1,1
acr,2,1
acre,13,8
acres,9,7
acrobatics,1,1
acronym,8,5
across,417,216
acrylic,5,4
act,163,96
acted,12,10
acting,23,17
actinobacteria,1,1
actinomycete,1,1
action,151,83
actions,43,32
activate,14,10
activated,10,6
activates,5,5
activating,2,2
activation,5,3
active,90,65
actively,22,20
activision,1,1
activism,8,7
