,speaker_1,name,_merge
0,Blaise Agá¼era y Arcas,,left_only
1,Blaise Agá¼era y Arcas,,left_only
2,José Antonio Abreu,José Antonio Abreu,both
3,Béatrice Coron,Béatrice Coron,both
4,Brené Brown,Brené Brown,both
5,Sebastiá£o Salgado,,left_only
6,Ziyah GaficÌ,,left_only
7,Helder Guimará£es,,left_only
8,Marina AbramoviÄ‡,,left_only
9,Angélica Dass,Angélica Dass,both
10,Cédric Villani,Cédric Villani,both
11,Kayla Briá«t,,left_only
12,Anna Rosling Rönnlund,Anna Rosling Rönnlund,both
13,,Jonas Gahr Støre,right_only
14,,Halla Tómasdóttir,right_only
15,,Péter Fankhauser,right_only
16,,Kayla Briët,right_only
17,,Sinéad Burke,right_only
18,,José Andrés,right_only
19,,Hannah Bürckstümmer,right_only
20,,Sebastián Bortnik,right_only
21,,António Guterres,right_only
22,,Helder Guimarães,right_only
23,,Diébédo Francis Kéré,right_only
24,,Grégoire Courtine,right_only
25,,Naná Vasconcelos,right_only
26,,Blaise Agüera y Arcas,right_only
27,,Olúfẹ́mi Táíwò,right_only
28,,Inés Hercovich,right_only
29,,Miriam Zoila Pérez,right_only
30,,Marina Abramović,right_only
31,,Nonny de la Peña,right_only
32,,Eduardo Sáenz de Cabezón,right_only
33,,Matthias Müllenbeck,right_only
34,,Christian Rodríguez,right_only
35,,Edsel Salvaña,right_only
36,,Tomás Saraceno,right_only
37,,Ilona Szabó de Carvalho,right_only
38,,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,right_only
39,,Eduardo Briceño,right_only
40,,Alejandro Sánchez Alvarado,right_only
41,,Patrícia Medici,right_only
42,,Sebastião Salgado,right_only
43,,Ziyah Gafić,right_only
44,,Guillaume Néry,right_only
45,,Rébecca Kleinberger,right_only
46,,Iké Udé,right_only
47,,Enrique Peñalosa,right_only
48,,Özlem Cekic,right_only
49,,Kimberlé Crenshaw,right_only
50,,José Bowen,right_only
51,,Marco Alverà,right_only
52,,Fadi Chehadé,right_only
53,,Finn Lützow-Holm Myrstad,right_only
54,,Françoise Mouly,right_only
55,,Gonzalo Vilariño,right_only
56,,Sō Percussion,right_only
57,,Andreas Ekström,right_only
58,,Svante Pääbo,right_only
59,,Burçin Mutlu-Pakdil,right_only
60,,Gastón Acurio,right_only
61,,Ellen Støkken Dahl,right_only
62,,Vernā Myers,right_only
63,,Nina Dølvik Brochmann,right_only
64,,Andrés Ruzo,right_only
65,,Rocío Lorenzo,right_only
66,,Gabriela González,right_only
67,,Walé Oyéjidé,right_only
