speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Janine Benyus,"Science writer, innovation consultant, conservationist","A self-proclaimed nature nerd, Janine Benyus' concept of biomimicry has galvanized scientists, architects, designers and engineers into exploring new ways in which nature's successes can inspire humanity. ","Why you should listen
In the world envisioned by science author Janine Benyus, a locust's ability to avoid collision within a roiling cloud of its brethren informs the design of a crash-resistant car; a self-cleaning leaf inspires a new kind of paint, one that dries in a pattern that enables simple rainwater to wash away dirt; and organisms capable of living without water open the way for vaccines that maintain potency even without refrigeration -- a hurdle that can prevent life-saving drugs from reaching disease-torn communities. Most important, these cool tools from nature pull off their tricks while still managing to preserve the environment that sustains them, a life-or-death lesson that humankind is in need of learning. As a champion  of biomimicry, Benyus has become one of the most important voices in a new wave of designers and engineers inspired by nature. Her most recent project, AskNature, explores what happens if we think of nature by function and looks at what organisms can teach us about design.
What others say

“The sophisticated, almost pro-growth angle of Benyus shows the great potential profitability of copying some of nature's time-tested, nonpolluting, room-temperature manufacturing and computing technologies.” — New York Times",non-binary,0,1,2,female
Tierney Thys,Marine biologist,"Tierney Thys is a marine biologist and science educator. She studies the behavior of the Mola mola, or giant ocean sunfish — and works with other scientists to make films that share the wonders they see.","Why you should listen
Marine biologist Tierney Thys has fallen head over heels for a big, goofy fish: the Mola mola, or giant ocean sunfish. In studying the mola -- where they go, what they eat, what eats them -- she's also hunting for clues to the behavior of all life in the open ocean. With their enormous, odd bodies, peaceful habits and lust for jellyfish, these giants can be key to understanding life in the open ocean. Thys and her team are tagging and tracking molas worldwide to learn about how they live, and how climate change may be affecting all ocean life.Thys is a National Geographic Explorer with a passion for marine education. She was also past director of research at the Sea Studios Foundation, a team of scientists and filmmakers that makes media to raise awareness of environmental issues -- including the PBS series Strange Days on Planet Earth  and targeted videos that influence policymakers and businesspeople. Sea Studios was also instrumental in helping eBay stop the trading of invasive species.",non-binary,0,3,6,female
Jacqueline Novogratz,Investor and advocate for moral leadership,"Jacqueline Novogratz works to enable human flourishing. Her organization, Acumen, invests in people, companies and ideas that see capital and networks as means, not ends, to solving the toughest issues of poverty.","Why you should listen
Jacqueline Novogratz writes: ""I want to build a movement in which we define success based on the amount of human energy we release in the world. ""I started my career on Wall Street and soon discovered that markets are efficient, but by themselves they too often overlook or exploit the poor.  So I moved to Rwanda in 1986 to help found the country’s first micro-finance bank.  There I saw the humanitarian ethos of philanthropy, and also how often top-down solutions too often create dependency, the opposite of dignity. Through 30 years of working on solutions to poverty, I have come to redefine it for myself, seeing it not as how much income a person earns, but how free they are to make their own choices and decisions, how much agency they have over their own lives.   Acumen was founded to change the way the world tackles poverty in 2001.  Our mission was simple – to raise philanthropy and  invest it as patient capital – long-term investment in intrepid entrepreneurs willing to go where markets and government had failed the poor.  We enable companies to experiment and fail, never wavering from a commitment to stand with the poor, yet understanding that profitability is necessary for sustainable solutions. We’ve invested more than $110M across South Asia, Africa, Latin America and the US, and have seen entire sectors disrupted and hundreds of millions served.   The work also taught that it was critical to invest in talent. To date, we’ve supported nearly 400 Acumen Fellows across lines of race, class, ethnicity, religion and ideology.  They are a beautiful group, full of vision and grit, and a determination to do what is right, not easy. The group itself enables individual leaders to endure the loneliness that is part of the work. And then we measure what matters rather than just what we can count. Take this all together and you see our mission to do what it takes to build a world in which all of us have the chance to dream and to flourish, not from a place of easy sentimentality but through a commitment to using the tools of capitalism and the attributes of moral leadership to focus on doing what it takes, and no less.
What others say

“Acumen is a not-for-profit group (but not a charity) that is supported by investors (not donors) who want a good “social return” on their capital.” — Fortune",non-binary,0,1,7,female
Cheryl Hayashi,Spider silk scientist,"Cheryl Hayashi studies the delicate but terrifically strong silk threads that make up a spider's web, finding startling applications for human use. ","Why you should listen
Biologist Cheryl Hayashi is fascinated with spiders and their silks, and for good reason. Made of a mix of proteins, spider silks come in thousands of variations; there are over 40,000 species of spiders, with many spiders capable of producing half a dozen types. Some silks have the tensile strength of steel -- and often are much tougher -- while remaining light as air and extremely supple. And spiders use their silk in diverse ways: to make their homes and trap their food, to travel, to court and to protect their eggs. In her lab at UC Riverside, Hayashi explores spider silk’s genetic makeup, evolution and unique biomechanics (winning a MacArthur “genius"" grant for it in 2007). Her work blurs the boundary between biology and materials science, looking for the molecular basis of this wondrous material and exploring how humans might learn from it. Hayashi's work may inspire new biomimetic materials for a huge variety of uses, from biodegradable fishing lines and sutures to superstrong ropes and armor cloth.
What others say

“Spiders are my inspiration. I'm always learning something new from them, which is what keeps my research going” — Cheryl Hayashi",non-binary,0,2,6,female
Miranda Wang,Science fair winner,"Miranda Wang and Jeanny Yao have identified a new bacteria that breaks down nasty compounds called phthalates, common to flexible plastics and linked to health problems. And they’re still teenagers.","Why you should listen
After a visit to a plastic-filled waste transfer station last year, students Miranda Wang and Jeanny Yao learned that much of the plastic in trash may not degrade for 5,000 years. Synthesized into plastics are phthalates, compounds that make shower curtain liners, food wraps and other products bendable but may also adversely impact human reproductive development and health.  As plastics slowly break down, these phthalates would leach into the surrounding environment.
So, the two young scientists tackled the problem and ultimately discovered strains of bacteria that have the potential to naturally degrade phthalates. Their work earned a regional first place in British Columbia for the 2012 Sanofi BioGENEius Challenge Canada, as well as a special award for the most commercial potential at the contest’s finals.",non-binary,0,0,1,female
Leyla Acaroglu,Sustainability strategist,Leyla Acaroglu uses innovative design and systems thinking to create positive change.,"Why you should listen
Leyla Acaroglu breaks through our deeply entrenched environmental folklore in order to reveal the true impact of the products and materials we use every day. A designer and consultant, Acaroglu encourages both companies and individuals to look at the full life cycle of the things they create and use in order to understand their net effect on the environment. At Eco Innovators, an ecologically-minded Australian design studio, Acaroglu’s team makes award-winning designs and projects that tap into a sense of play in order to educate. From animations explaining the lifecycle of a cell phone to bookshelves made from construction scrap wood to workshops that help rebuild and repurpose broken everyday items, the goal is building savvy, science-based sustainability practices.
What others say

“Acaroglu’s suite of new creative projects not only hopes to redress what she calls the field’s “PR problem,” but engage and inspire.” — Dan Rule, The Age, March 19, 2011",non-binary,0,1,2,female
Charmian Gooch,Anti-corruption activist,"Charmian Gooch is the 2014 TED Prize winner. At Global Witness, she exposes how a global architecture of corruption is woven into the extraction and exploitation of natural resources.","Why you should listen
Charmian Gooch co-founded the watchdog NGO Global Witness  with colleagues Simon Taylor and Patrick Alley, in response to growing concerns over covert warfare funded by illicit trade in 1993. Since then, Global Witness has captured headlines for their exposé of ""blood diamonds"" in Uganda, of mineral exploitation in the Congo, of illegal timber trade between Cambodia and Thailand, and more. With unique expertise on the shadowy threads connecting corrupt businesses and governments, Global Witness continues its quest to uncover and root out the sources of exploitation.In 2014, Gooch and Global Witness were awarded the $1 million TED Prize, along with the Skoll Award for Social Entrepreneurship, for their campaign to end anonymous companies. Gooch's TED Prize wish: for us to know who ultimately owns and controls companies and launch a new era of openness in business. Global Witness highlighted the importance of this issue in an investigation, aired on 60 Minutes, where they sent an undercover investigator into 13 New York law firms. The investigator posed as an adviser to a government minister in Africa and asked for thoughts on how to move money into the United States for a plane, a yacht and a brownstone. All but one firm offered advice. The Panama Papers, released in April of 2016, further demonstrate the need for transparency. The papers paint a picture of how the rich and powerful around the world use offshore accounts and anonymous companies to move money. ""This secretive world is being opened up to global public scrutiny,"" said Gooch, on the day the papers were released.   
What others say

“Global Witness ... works to expose the corrupt exploitation of natural resources.” — New York Times",non-binary,0,1,3,female
Fei-Fei Li,Computer scientist,"As Director of Stanford’s Artificial Intelligence Lab and Vision Lab, Fei-Fei Li is working to solve AI’s trickiest problems — including image recognition, learning and language processing.","Why you should listen
Using algorithms built on machine learning methods such as neural network models, the Stanford Artificial Intelligence Lab led by Fei-Fei Li has created software capable of recognizing scenes in still photographs -- and accurately describe them using natural language.Li’s work with neural networks and computer vision (with Stanford’s Vision Lab) marks a significant step forward for AI research, and could lead to applications ranging from more intuitive image searches to robots able to make autonomous decisions in unfamiliar situations.Fei-Fei was honored as one of Foreign Policy's 2015 Global Thinkers. 
What others say

“Computer software only recently became smart enough to recognize objects in photographs. Now, Stanford researchers using machine learning have created a system that takes the next step, writing a simple story of what's happening in any digital image.” — Stanford News, November 18, 2014",non-binary,0,0,1,female
Ameera Harouda,Fixer,Ameera Harouda leads journalists to the harrowing (and often hidden) stories of the Gaza Strip that they couldn’t find on their own.,"Why you should listen
In the Gaza Strip, foreign correspondents rely on state-approved ""fixers"" to direct and guide them on the ground. Although Hamas requires journalists to use fixers as local ""sponsors,"" the fixers also provide ease of movement, translation and an eye for where the real stories are -- making them an invaluable asset in frequently chaotic scenarios.  Ameera Harouda has been a fixer for over a decade. Although many fixers are male, journalists increasingly seek women like Harouda for their access to areas where men are forbidden, and for a new lens on stories of human suffering often overlooked in the headlines.
What others say

“When the violence escalates, Ameera Ahmad Harouda is the 'go-to' news fixer for international correspondents who want to cover Gaza.” — BBC News, November 30, 2015",non-binary,0,0,5,female
Noriko Arai,AI expert,Could an AI pass the entrance exam for the University of Tokyo? Noriko Arai oversees a project that wants to find out.,"Why you should listen
Noriko Arai is the program director of an AI challenge, Todai Robot Project, which asks the question: Can AI get into the University of Tokyo? The project aims to visualize both the possibilities and the limitation of current AI by setting a concrete goal: a software system that can pass university entrance exams. In 2015 and 2016, Todai Robot achieved top 20 percent in the exams, and passed more than 70 percent of the universities in Japan.The inventor of Reading Skill Test, in 2017 Arai conducted a large-scale survey on reading skills of high and junior high school students with Japan's Ministry of Education. The results revealed that more than half of junior high school students fail to comprehend sentences sampled from their textbooks. Arai founded the Research Institute of Science for Education to elucidate why so many students fail to read and how she can support them.",non-binary,0,1,2,female
