speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Al Gore,Climate advocate,Nobel Laureate Al Gore focused the world’s attention on the global climate crisis. Now he’s showing us how we’re moving towards real solutions.,"Why you should listen
Former Vice President Al Gore is co-founder and chairman of Generation Investment Management. While he’s is a senior partner at Kleiner Perkins Caufield & Byers, and a member of Apple, Inc.’s board of directors, Gore spends the majority of his time as chair of The Climate Reality Project, a nonprofit devoted to solving the climate crisis.   He is the author of the bestsellers Earth in the Balance, An Inconvenient Truth, The Assault on Reason, Our Choice: A Plan to Solve the Climate Crisis, and most recently, The Future: Six Drivers of Global Change. He is the subject of the Oscar-winning documentary An Inconvenient Truth and is the co-recipient, with the Intergovernmental Panel on Climate Change, of the Nobel Peace Prize for 2007 for “informing the world of the dangers posed by climate change.”  Gore was elected to the U.S. House of Representatives in 1976, 1978, 1980 and 1982 and the U.S. Senate in 1984 and 1990. He was inaugurated as the 45th Vice President of the United States on January 20, 1993, and served eight years.
What others say

“The only vice president ever to mock his stiff image by [imitating] a wax-museum figure, Gore turns out to be the best professor you never had -- easygoing, knowledgeable and funny.” — Rolling Stone",male,5.0,0.0,0.0,male
David Pogue,Technology columnist,"David Pogue is the personal technology columnist for the New York Times and a tech correspondent for CBS News. He's also one of the world's bestselling how-to authors, with titles in the For Dummies series and his own line of ""Missing Manual"" books. ","Why you should listen
Which cell phone to choose? What software to buy? Are camera-binoculars a necessity or novelty? As release cycles shorten and ever-shrinking gadgets hit the market with dizzying speed, it's harder and harder to know what's worth the investment. A tireless explorer of everyday technology, David Pogue investigates all the options so we don't have to. After happily weathering installation nightmares, customer service hiccups, and an overwhelming crush of backups, upgrades and downloads, Pogue reports back with his recommendations via his many columns, TV appearances and how-to books. And he does it all with relatable insight, humor and an unsinkable sense of pun, er, fun. All that, and he sings, too.",male,5.0,0.0,0.0,male
Majora Carter,Activist for environmental justice,"Majora Carter redefined the field of environmental equality, starting in the South Bronx at the turn of the century.  Now she is leading the local economic development movement across the USA.","Why you should listen
Majora Carter is a visionary voice in city planning who views urban renewal through an environmental lens. The South Bronx native draws a direct connection between ecological, economic and social degradation. Hence her motto: ""Green the ghetto!""With her inspired ideas and fierce persistence, Carter managed to bring the South Bronx its first open-waterfront park in 60 years, Hunts Point Riverside Park. Then she scored $1.25 million in federal funds for a greenway along the South Bronx waterfront, bringing the neighborhood open space, pedestrian and bike paths, and space for mixed-use economic development.Her success is no surprise to anyone who's seen her speak; Carter's confidence, energy and intensely emotional delivery make her talks themselves a force of nature. (The release of her TEDTalk in 2006 prompted Guy Kawasaki to wonder on his blog  whether she wasn't ""every bit as good as [Apple CEO] Steve Jobs,"" a legendary presenter.)Carter, who was awarded a 2005 MacArthur ""genius"" grant, served as executive director of Sustainable South Bronx for 7 years, where she pushed both for eco-friendly practices (such as green and cool roofs) and, equally important, job training and green-related economic development for her vibrant neighborhood on the rise. Since leaving SSBx in 2008, Carter has formed the economic consulting and planning firm the Majora Carter Group, to bring her pioneering approach to communities far outside the South Bronx. Carter is working within the cities of New Orleans, Detroit and the small coastal towns of Northeastern North Carolina. The Majora Carter Group is putting the green economy and green economic tools to use, unlocking the potential of every place -- from urban cities and rural communities, to universities, government projects, businesses and corporations -- and everywhere else in between.
What others say

“We could not fail to be inspired by Majora Carter's efforts to bring green space for exercise to the South Bronx. We need more ideas like these to bring solutions to minority communities.” — Time",female,1.0,11.0,0.0,female
Ken Robinson,Author/educator,"Creativity expert Sir Ken Robinson challenges the way we're educating our children. He champions a radical rethink of our school systems, to cultivate creativity and acknowledge multiple types of intelligence. ","Why you should listen
Why don't we get the best out of people? Sir Ken Robinson argues that it's because we've been educated to become good workers, rather than creative thinkers. Students with restless minds and bodies -- far from being cultivated for their energy and curiosity -- are ignored or even stigmatized, with terrible consequences. ""We are educating people out of their creativity,"" Robinson says. It's a message with deep resonance. Robinson's TED Talk has been distributed widely around the Web since its release in June 2006. The most popular words framing blog posts on his talk? ""Everyone should watch this."" A visionary cultural leader, Sir Ken led the British government's 1998 advisory committee on creative and cultural education, a massive inquiry into the significance of creativity in the educational system and the economy, and was knighted in 2003 for his achievements. His 2009 book, The Element: How Finding Your Passion Changes Everything, is a New York Times bestseller and has been translated into 21 languages. A 10th anniversary edition of his classic work on creativity and innovation, Out of Our Minds: Learning to be Creative, was published in 2011. His 2013 book, Finding Your Element: How to Discover Your Talents and Passions and Transform Your Life, is a practical guide that answers questions about finding your personal Element. In his latest book, Creative Schools: The Grassroots Revolution That’s Transforming Education, he argues for an end to our outmoded industrial educational system and proposes a highly personalized, organic approach that draws on today’s unprecedented technological and professional resources to engage all students.
What others say

“Ken's vision and expertise is sought by public and commercial organizations throughout the world.” — BBC Radio 4",male,8.0,0.0,2.0,male
Hans Rosling,Global health expert; data visionary,"In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development—with some surprisingly good news—snaps into sharp focus.","Why you should listen
Even the most worldly and well-traveled among us have had their perspectives shifted by Hans Rosling. A professor of global health at Sweden's Karolinska Institute, his work focused on dispelling common myths about the so-called developing world, which (as he pointed out) is no longer worlds away from the West. In fact, most of the Third World is on the same trajectory toward health and prosperity, and many countries are moving twice as fast as the west did.What set Rosling apart wasn't just his apt observations of broad social and economic trends, but the stunning way he presented them. Guaranteed: You've never seen data presented like this. A presentation that tracks global health and poverty trends should be, in a word: boring. But in Rosling's hands, data sings. Trends come to life. And the big picture — usually hazy at best — snaps into sharp focus. Rosling's presentations were grounded in solid statistics (often drawn from United Nations and World Bank data), illustrated by the visualization software he developed. The animations transform development statistics into moving bubbles and flowing curves that make global trends clear, intuitive and even playful. During his legendary presentations, Rosling took this one step farther, narrating the animations with a sportscaster's flair. Rosling developed the breakthrough software behind his visualizations through his nonprofit Gapminder, founded with his son and daughter-in-law. The free software — which can be loaded with any data — was purchased by Google in March 2007. (Rosling met the Google founders at TED.)Rosling began his wide-ranging career as a physician, spending many years in rural Africa tracking a rare paralytic disease (which he named konzo) and discovering its cause: hunger and badly processed cassava. He co-founded Médecins sans Frontièrs (Doctors without Borders) Sweden, wrote a textbook on global health, and as a professor at the Karolinska Institut in Stockholm initiated key international research collaborations. He's also personally argued with many heads of state, including Fidel Castro. Hans Rosling passed away in February 2017. He is greatly missed.
What others say

“Rosling believes that making information more accessible has the potential to change the quality of the information itself.” — Business Week Online",male,13.0,0.0,2.0,male
Tony Robbins,Life coach; expert in leadership psychology,Tony Robbins makes it his business to know why we do the things we do. The pioneering life coach has spoken to millions of people through his best-selling books and three-day seminars.,"Why you should listen
Tony Robbins might have one of the world's most famous smiles; his beaming confidence has helped sell his best-selling line of self-help books, and fill even his 10,000-seat seminars. What's less known about the iconic motivational speaker is the range and stature of his personal clients. From CEOs to heads of state to Olympic athletes, a wide swath of high-performing professionals (who are already plenty motivated, thank you very much) look to him for help reaching their full potential.Robbins' expertise in leadership psychology is what brought him to TED, where his spontaneous on-stage interaction with Al Gore created an unforgettable TED moment. It also perfectly demonstrated Robbins' direct -- even confrontational -- approach, which calls on his listeners to look within themselves, and find the inner blocks that prevent them from finding fulfillment and success. Some of his techniques -- firewalking, for example -- are magnets for criticism, but his underlying message is unassailable: We all have the ability to make a positive impact on the world, and it's up to us, as individuals, to overcome our fears and foibles to reach that potential.Robbins has won many accolades for his work -- including his memorable performance in the Jack Black comedy Shallow Hal. (It was a small but vital role.) His Anthony Robbins Foundation  works with the homeless, elderly and inner-city youth, and feeds more than 2 million people annually through its International Basket Brigade.
What others say

“What Tony delivers is an ever crescendoing call-and-response oratory that often gives the proceedings a teetering, Pentecostal kind of energy.
” — GQ",male,15.0,0.0,2.0,male
Joshua Prince-Ramus,Architect,"Joshua Prince-Ramus is best known as architect of the Seattle Central Library, already being hailed as a masterpiece of contemporary culture. Prince-Ramus was the founding partner of OMA New York—the American affiliate of the Office for Metropolitan Architecture (OMA) in the Netherlands—and served as its Principal until he renamed the firm REX in 2006.","Why you should listen
With one of the decade's most celebrated buildings under his belt, Joshua Prince-Ramus would seem well-positioned to become the world's next ""starchitect."" Except that he doesn't want the job. With his quiet intensity and intellectual bearing, Prince-Ramus is the antithesis of the egomaniacal master architect. He flatly rejects not just the title, but the entire notion of a ""starchitect"" designing with a genius stroke of the pen. Prince-Ramus is best known for his work on the Seattle Central Library. The striking, diamond-windowed structure reimagines, to spectacular effect, the library's role in a modern urban context. ""Seattle's new Central Library is a blazing chandelier to swing your dreams upon,"" Herbert Muschamp wrote in The New York Times. ""In more than 30 years of writing about architecture, this is the most exciting new building it has been my honor to review."" Having founded the US practice of the radical Dutch architecture firm OMA in 2000, Prince-Ramus served as its Principal until he renamed the firm REX in May 2006. He continues to take what he describes as a performance-based approach to architecture, pushing logic and rational ideas to their limits to create buildings that are unexpected, but wholly appropriate to their environment and intended use. REX recently completed the AT&T Performing Arts Center’s Dee and Charles Wyly Theatre in Dallas, Texas and the Vakko Fashion Center and Power Media Center in Istanbul, Turkey. Current work includes Museum Plaza, a 62-story mixed-use skyscraper housing a contemporary art center in Louisville, Kentucky;the new Central Library and Music Conservatory for the city of Kortrijk, Belgium;and a 2,643,000 ft2 luxury residential development in Songdo Landmark City, South Korea.
What others say

“Joshua Prince-Ramus isn't just creating buildings. In a field obsessed with celebrity, he’s putting the work -- and his workers -- first.” — Fast Company",male,10.0,0.0,2.0,male
Julia Sweeney,"Actor, comedian, playwright","Julia Sweeney creates comedic works that tackle deep issues: cancer, family, faith. ","Why you should listen
Julia Sweeney is a writer, director, actress, comedian and monologist. She is known for being a cast member on Saturday Night Live from 1990 to 1995, where she created and popularized the androgynous character, Pat. She is also well known for her comedic and dramatic monologues. God Said Ha! is a monologue about serious illness, her brother's lymphoma and her own cancer, and her family's crazy reactions to this crisis as they soldiered their way through struggle, confusion and death. This play was performed all over the U.S. and on Broadway at the Lyceum Theater. It was made into a film produced by Quentin Tarantino, and the comedy album from the show was nominated for a Grammy.Sweeney's second monologue, In the Family Way, played in theatrical runs in New York and Los Angeles. It was ultimately fashioned into a book, a memoir titled If It's Not One Thing, It's Your Mother. Sweeney's third monologue, Letting Go of God, chronicled her journey from Catholicism to atheism. It was made into a film that played on Showtime.
What others say

“Without breaking her affably conversational tone, in ""Letting Go of God,"" she inhabits the emotional memory of each step on her path.” — New York Times",female,0.0,11.0,2.0,female
Rick Warren,"Pastor, author","Pastor Rick Warren is the author of The Purpose-Driven Life, which has sold more than 30 million copies worldwide. His has become an immensely influential voice seeking to apply the values of his faith to issues such as global poverty, HIV/AIDS and injustice.","Why you should listen
Pastor Rick Warren is one of the world's most influential Christians. His Saddleback Church, founded in 1980, boasts a congregation of 22,000, and his Purpose-Driven Life  is one of the best-selling books of all time. Warren's mission is to attack what he calls the five ""Global Goliaths"" -- spiritual emptiness, egocentric leadership, extreme poverty, pandemic disease, and illiteracy and poor education. He teaches that doing good is the only way humans create significance in our lives. He and his wife famously became ""reverse tithers,"" donating 90 percent of their considerable fortune to philanthropic causes. Warren is particularly passionate about fighting AIDS, and in 2006, his church hosted the second annual Global Summit on AIDS  and the Church, attended by US Senator Barack Obama, among others (controversial within the evangelical movement, because Obama is pro-choice). In recent years, Warren has become a prominent steward of social justice, speaking out on poverty relief and encouraging spiritual leaders to play a role in guiding the planet toward sustainability. (He even attended the premiere of An Inconvenient Truth, after meeting Al Gore and producer Lawrence Bender at TED2006.) Given his global focus and considerable platform, Warren has become a sought-after advisor to world leaders, speaking at the United Nations, the World Economic Forum  and the Council on Foreign Relations. His involvement in the 2008 Presidential election sparked controversy and praise from both sides; during the campaign trail, he hosted candidates John McCain and Barack Obama at Saddleback Church for a forum on moral issues. It was the first time McCain and Obama appeared together publicly as presidential candidates. When Barack Obama was later elected to office, he asked Warren to give the invocation at his inauguration. 
What others say

“Rick Warren is arguably the most influential evangelical pastor in America. ” — The Economist",male,15.0,0.0,1.0,male
Dan Dennett,"Philosopher, cognitive scientist",Dan Dennett thinks that human consciousness and free will are the result of physical processes.,"Why you should listen
One of our most important living philosophers, Dan Dennett is best known for his provocative and controversial arguments that human consciousness and free will are the result of physical processes in the brain. He argues that the brain's computational circuitry fools us into thinking we know more than we do, and that what we call consciousness — isn't. His 2003 book ""Freedom Evolves"" explores how our brains evolved to give  us -- and only us -- the kind of freedom that matters, while 2006's  ""Breaking the Spell"" examines belief through the lens of biology.This mind-shifting perspective on the mind itself has distinguished Dennett's career as a philosopher and cognitive scientist. And while the philosophy community has never quite known what to make of Dennett (he defies easy categorization, and refuses to affiliate himself with accepted schools of thought), his computational approach to understanding the brain has made him, as Edge's John Brockman writes, “the philosopher of choice of the AI community.”“It's tempting to say that Dennett has never met a robot he didn't like, and that what he likes most about them is that they are philosophical experiments,” Harry Blume wrote in the Atlantic Monthly in 1998. “To the question of whether machines can attain high-order intelligence, Dennett makes this provocative answer: ‘The best reason for believing that robots might some day become conscious is that we human beings are conscious, and we are a sort of robot ourselves.'""In recent years, Dennett has become outspoken in his atheism, and his 2006 book Breaking the Spell calls for religion to be studied through the scientific lens of evolutionary biology. Dennett regards religion as a natural -- rather than supernatural -- phenomenon, and urges schools to break the taboo against empirical examination of religion. He argues that religion's influence over human behavior is precisely what makes gaining a rational understanding of it so necessary: “If we don't understand religion, we're going to miss our chance to improve the world in the 21st century.”Dennett's landmark books include The Mind's I, co-edited with Douglas Hofstaedter, Consciousness Explained, and Darwin's Dangerous Idea. Read an excerpt from his 2013 book, Intuition Pumps, in the Guardian >>
What others say

“Dan Dennett is our best current philosopher. He is the next Bertrand Russell. Unlike traditional philosophers, Dan is a student of neuroscience, linguistics, artificial intelligence, computer science, and psychology. He's redefining and reforming the role of the philosopher.” — Marvin Minsky",male,14.0,0.0,2.0,male
