,0
00,4
000,1187
000000004,1
000001,1
000042,1
0001,1
000th,6
0015,1
005,1
006,1
007,1
01,3
0111,1
02,2
020,1
024,1
025,1
03,1
034,3
04,1
0400,2
041,2
047,1
048,1
05,5
051,1
052,1
06,5
064,1
07,2
08,1
080,1
09,1
098,1
10,981
100,545
1000,5
1000th,1
100th,5
101,13
102,3
103,3
103rd,1
104,1
105,10
106,1
108,1
109,3
10b,1
10s,1
10th,20
11,223
110,10
111,3
112,2
114,2
115,3
117,3
118,3
11th,22
12,257
120,50
121,1
1214b,1
122,2
123,1
124,2
125,5
125th,1
127,1
128,4
129,3
12th,8
13,101
130,40
1300s,1
130th,2
1313,1
132,3
133,1
1339,1
134,1
135,6
136,2
1369,2
137,7
138,1
13th,4
14,140
140,26
1400s,2
1415,1
142,4
143,2
144,3
145,3
1450,2
1450s,1
1455,3
147,3
148,2
1498,1
14th,8
15,362
150,102
1500,4
1500s,1
150th,2
151,4
1520,1
153,1
154,3
1543,2
155,7
156,1
157,1
15th,7
16,115
160,13
1600,3
1600s,2
1607,1
161,1
162,5
1621,1
1623,1
163,1
1635,1
164,2
1642,1
165,4
1651,1
1654,1
1655,1
1656,1
166,1
167,1
1673,1
1679,1
168,1
169,1
16b,1
16k,3
16th,10
16ths,1
17,101
170,6
1700s,3
171,2
1718,1
172nd,1
173,1
174,2
175,10
1751,1
1759,2
176,1
1760,2
1764,1
1770,1
1771,1
1772,1
1775,1
1776,1
1781,1
1785,1
1787,1
1788,2
1796,1
1797,1
17th,28
18,197
180,15
1800,5
1800s,6
1816,1
182,2
1820,2
1824,2
1827,1
1829,2
1830,1
1834,1
1836,1
1840,2
1841,1
1847,1
1849,4
185,2
1850,6
1850s,1
1852,1
1856,1
1858,1
1859,3
186,2
1860,1
1860s,2
1862,1
1863,3
1865,3
1867,2
1868,2
186f,4
187,1
1870,2
1870s,1
1871,2
1872,1
1875,4
1876,2
1878,1
1879,2
1880,2
1880s,1
1881,1
1883,1
1885,4
1886,1
1888,2
1889,1
189,2
1890,3
1891,3
1895,2
1896,1
1897,1
1898,1
18th,11
19,72
190,2
1900,20
1900s,10
1901,1
1902,10
1903,4
1904,2
1905,2
1906,1
1907,1
1908,9
1909,1
191,1
1910,6
1910s,1
1911,1
1912,9
1913,1
1914,5
1915,7
1916,1
1917,5
1918,14
1919,5
192,2
1920,2
1920s,12
1921,1
1922,1
1924,1
1925,4
1926,2
1927,4
1928,5
1929,11
1930,4
1930s,15
1931,2
1932,5
1934,1
1935,2
1936,3
1937,3
1938,2
1939,6
194,2
1940,6
1940s,10
1941,3
1942,4
1943,4
1944,2
1945,18
1946,5
1947,8
1948,2
1949,9
195,2
1950,12
1950s,35
1951,4
1952,2
1953,7
1954,6
1955,5
1956,8
1957,14
1958,6
1959,6
196,2
1960,24
1960s,23
1961,6
1962,12
1963,4
1964,6
1965,8
1966,5
1967,9
1968,12
1969,13
1970,24
1970s,32
1971,7
1972,11
1973,14
1974,14
1975,10
1976,13
1977,4
1978,8
1979,6
198,1
1980,16
1980s,29
1981,10
1982,12
1983,15
1984,16
1985,14
1986,8
1987,7
1988,11
1989,8
199,1
1990,28
1990s,46
1991,17
1992,6
1993,15
1994,19
1995,22
1996,23
1997,19
1998,37
1999,21
19th,42
1d,1
1k,2
1st,1
20,629
200,213
2000,64
2000s,12
2001,44
2002,24
2003,36
2004,45
2005,38
2006,28
2007,47
2008,44
2009,39
200th,3
201,1
2010,48
2010s,1
2011,39
2012,39
2013,24
2014,19
2015,23
2016,20
2017,2
2018,2
2019,2
2020,30
2020s,4
2022,1
2023,1
2024,1
2025,10
2026,1
2027,3
2028,1
2029,1
2030,18
2030s,1
2033,1
2035,2
2040,5
2040s,1
2042,2
205,3
2050,23
2054,1
206,1
2060,1
2065,1
209,1
20mph,1
20s,35
20th,89
21,70
210,1
2100,9
2106,1
211,4
213,1
214,1
215,3
2150,1
216,2
217,1
218,3
21st,64
22,62
220,3
223,2
225,4
226,2
228,2
22nd,2
23,56
230,4
232,1
233,2
234,3
235,1
236,2
