,subject,verb,v_count,v_freq
0,i,have,1318,0.06997239328944574
1,i,want,1210,0.06423869186663836
2,i,go,1076,0.057124654916118074
3,i,do,650,0.03450838819282225
4,i,get,586,0.031110639201528987
5,i,like,462,0.02452750053089828
6,i,start,377,0.020014865151836907
7,i,tell,326,0.017307283924400084
8,i,think,316,0.016776385644510512
9,i,try,302,0.01603312805266511
10,i,take,281,0.014918241664897006
11,i,know,274,0.014546612868974304
12,i,love,271,0.014387343385007433
13,i,see,259,0.013750265449139945
14,i,say,251,0.013325546825228286
15,i,make,237,0.012582289233382884
16,he,have,232,0.012316840093438097
17,i,show,232,0.012316840093438097
18,i,use,226,0.011998301125504353
19,i,put,213,0.011308133361647908
20,i,ask,210,0.011148863877681036
21,i,find,197,0.01045869611382459
22,i,give,189,0.010033977489912933
23,i,call,167,0.008866001274155872
24,i,need,141,0.007485665746442982
25,i,saw,132,0.0070078572945423655
26,he,say,132,0.0070078572945423655
27,i,write,130,0.0069016776385644515
28,i,mean,118,0.006264599702696963
29,he,do,111,0.005892970906774262
30,i,learn,109,0.0057867912507963476
31,i,spend,107,0.005680611594818433
32,i,meet,103,0.005468252282862604
33,i,decide,100,0.005308982798895732
34,she,have,94,0.004990443830961987
35,he,get,90,0.0047780845190061585
36,i,remember,81,0.004300276067105543
37,i,hear,79,0.004194096411127628
38,he,go,78,0.004141006583138671
39,he,take,78,0.004141006583138671
40,i,believe,74,0.003928647271182841
41,i,begin,73,0.003875557443193884
42,he,want,71,0.0037693777872159695
43,he,make,67,0.00355701847526014
44,i,build,63,0.003344659163304311
45,i,look,63,0.003344659163304311
46,i,read,62,0.0032915693353153534
47,he,tell,58,0.003079210023359524
48,i,understand,57,0.003026120195370567
49,i,bring,56,0.0029730303673816097
50,i,leave,56,0.0029730303673816097
51,he,put,54,0.002866850711403695
52,i,buy,54,0.002866850711403695
53,i,realize,51,0.002707581227436823
54,i,come,51,0.002707581227436823
55,i,keep,51,0.002707581227436823
56,i,turn,49,0.0026014015714589086
57,he,write,48,0.002548311743469951
58,she,say,47,0.0024952219154809937
59,i,play,44,0.002335952431514122
60,he,start,42,0.0022297727755362074
61,she,do,41,0.00217668294754725
62,i,feel,41,0.00217668294754725
63,he,give,39,0.0020705032915693355
64,i,pick,39,0.0020705032915693355
65,i,study,39,0.0020705032915693355
66,i,watch,39,0.0020705032915693355
67,i,create,36,0.0019112338076024634
68,i,work,35,0.001858143979613506
69,i,hope,35,0.001858143979613506
70,he,find,34,0.0018050541516245488
71,i,choose,34,0.0018050541516245488
72,she,go,34,0.0018050541516245488
73,i,lose,33,0.0017519643236355914
74,he,ask,33,0.0017519643236355914
75,i,move,32,0.0016988744956466342
76,she,want,32,0.0016988744956466342
77,i,walk,32,0.0016988744956466342
78,i,teach,32,0.0016988744956466342
79,i,end,31,0.0016457846676576767
80,he,call,31,0.0016457846676576767
81,i,add,30,0.0015926948396687195
82,i,felt,30,0.0015926948396687195
83,i,set,30,0.0015926948396687195
84,i,mention,30,0.0015926948396687195
85,i,send,29,0.001539605011679762
86,i,expect,29,0.001539605011679762
87,i,share,28,0.0014865151836908049
88,i,forget,28,0.0014865151836908049
89,i,change,28,0.0014865151836908049
90,i,develop,28,0.0014865151836908049
91,i,run,27,0.0014334253557018474
92,i,talk,27,0.0014334253557018474
93,he,know,27,0.0014334253557018474
94,i,explain,26,0.0013803355277128902
95,i,open,26,0.0013803355277128902
96,i,design,25,0.001327245699723933
97,he,use,25,0.001327245699723933
98,i,invite,25,0.001327245699723933
99,i,pay,25,0.001327245699723933
100,i,hate,25,0.001327245699723933
101,i,describe,24,0.0012741558717349756
102,she,get,24,0.0012741558717349756
103,he,turn,24,0.0012741558717349756
104,she,take,23,0.0012210660437460183
105,he,try,23,0.0012210660437460183
106,i,thank,23,0.0012210660437460183
107,i,stop,22,0.001167976215757061
108,i,suppose,22,0.001167976215757061
109,i,imagine,22,0.001167976215757061
110,i,offer,21,0.0011148863877681037
111,i,draw,21,0.0011148863877681037
112,she,give,21,0.0011148863877681037
113,i,drive,21,0.0011148863877681037
114,he,see,21,0.0011148863877681037
115,he,lose,21,0.0011148863877681037
116,i,experience,20,0.0010617965597791463
117,i,figure,20,0.0010617965597791463
118,i,pull,20,0.0010617965597791463
119,i,grow,20,0.0010617965597791463
120,i,hold,20,0.0010617965597791463
121,i,live,20,0.0010617965597791463
122,he,saw,20,0.0010617965597791463
123,i,throw,20,0.0010617965597791463
124,she,tell,20,0.0010617965597791463
125,i,wish,20,0.0010617965597791463
126,he,bring,20,0.0010617965597791463
127,i,become,19,0.001008706731790189
128,i,finish,19,0.001008706731790189
129,i,sit,19,0.001008706731790189
130,he,come,19,0.001008706731790189
131,i,miss,19,0.001008706731790189
132,i,let,19,0.001008706731790189
133,she,find,19,0.001008706731790189
134,i,help,18,0.0009556169038012317
135,i,notice,18,0.0009556169038012317
136,i,wear,18,0.0009556169038012317
137,i,receive,18,0.0009556169038012317
138,i,be,18,0.0009556169038012317
139,i,encourage,18,0.0009556169038012317
140,i,join,17,0.0009025270758122744
141,he,look,17,0.0009025270758122744
142,he,build,17,0.0009025270758122744
143,she,start,17,0.0009025270758122744
144,i,happen,17,0.0009025270758122744
145,i,enjoy,17,0.0009025270758122744
146,i,cut,17,0.0009025270758122744
147,i,follow,16,0.0008494372478233171
148,i,consider,16,0.0008494372478233171
149,i,cover,16,0.0008494372478233171
150,i,touch,16,0.0008494372478233171
151,i,discover,16,0.0008494372478233171
152,he,keep,16,0.0008494372478233171
153,she,make,16,0.0008494372478233171
154,he,pull,16,0.0008494372478233171
155,i,promise,16,0.0008494372478233171
156,i,sell,15,0.0007963474198343598
157,i,hat,15,0.0007963474198343598
158,she,try,15,0.0007963474198343598
159,he,show,15,0.0007963474198343598
160,i,visit,15,0.0007963474198343598
161,i,invent,14,0.0007432575918454024
162,i,speak,14,0.0007432575918454024
163,i,manage,14,0.0007432575918454024
164,i,close,14,0.0007432575918454024
165,he,like,14,0.0007432575918454024
166,i,hire,14,0.0007432575918454024
167,i,raise,14,0.0007432575918454024
168,i,'s,14,0.0007432575918454024
169,i,gon,14,0.0007432575918454024
170,i,appreciate,14,0.0007432575918454024
171,i,fly,13,0.0006901677638564451
172,i,witness,13,0.0006901677638564451
173,i,catch,13,0.0006901677638564451
174,i,hit,13,0.0006901677638564451
175,i,remind,12,0.0006370779358674878
176,he,begin,12,0.0006370779358674878
177,i,eat,12,0.0006370779358674878
178,i,hop,12,0.0006370779358674878
179,he,understand,12,0.0006370779358674878
180,i,shoot,12,0.0006370779358674878
181,i,present,12,0.0006370779358674878
182,i,save,12,0.0006370779358674878
183,she,bring,11,0.0005839881078785305
184,he,hear,11,0.0005839881078785305
185,i,quit,11,0.0005839881078785305
186,he,spend,11,0.0005839881078785305
187,he,need,11,0.0005839881078785305
188,i,approach,11,0.0005839881078785305
189,he,leave,11,0.0005839881078785305
190,he,decide,11,0.0005839881078785305
191,i,lead,11,0.0005839881078785305
192,i,stick,11,0.0005839881078785305
193,i,wait,11,0.0005839881078785305
194,he,read,11,0.0005839881078785305
195,she,use,11,0.0005839881078785305
196,i,record,10,0.0005308982798895731
197,i,solve,10,0.0005308982798895731
198,i,paint,10,0.0005308982798895731
199,i,place,10,0.0005308982798895731
200,i,drop,10,0.0005308982798895731
201,i,carry,10,0.0005308982798895731
202,he,think,10,0.0005308982798895731
203,he,send,10,0.0005308982798895731
204,i,recommend,10,0.0005308982798895731
205,i,blow,10,0.0005308982798895731
206,he,teach,10,0.0005308982798895731
207,she,know,10,0.0005308982798895731
208,he,design,10,0.0005308982798895731
209,i,photograph,10,0.0005308982798895731
210,she,see,9,0.00047780845190061586
211,i,suspect,9,0.00047780845190061586
212,i,force,9,0.00047780845190061586
213,i,check,9,0.00047780845190061586
214,i,convince,9,0.00047780845190061586
215,he,play,9,0.00047780845190061586
216,i,plan,9,0.00047780845190061586
217,i,collect,9,0.00047780845190061586
218,he,describe,9,0.00047780845190061586
219,i,propose,9,0.00047780845190061586
220,he,mean,9,0.00047780845190061586
221,i,stand,9,0.00047780845190061586
222,i,pass,9,0.00047780845190061586
223,i,organize,9,0.00047780845190061586
224,i,push,9,0.00047780845190061586
225,she,saw,9,0.00047780845190061586
226,i,win,9,0.00047780845190061586
227,i,found,9,0.00047780845190061586
228,i,allow,9,0.00047780845190061586
229,he,speak,9,0.00047780845190061586
230,i,type,9,0.00047780845190061586
231,i,wake,9,0.00047780845190061586
232,i,grab,8,0.00042471862391165854
233,she,come,8,0.00042471862391165854
234,he,shoot,8,0.00042471862391165854
235,i,struggle,8,0.00042471862391165854
236,i,suggest,8,0.00042471862391165854
237,he,learn,8,0.00042471862391165854
238,i,measure,8,0.00042471862391165854
239,she,stop,8,0.00042471862391165854
240,i,fill,8,0.00042471862391165854
241,he,hold,8,0.00042471862391165854
242,i,guess,8,0.00042471862391165854
243,i,prefer,8,0.00042471862391165854
244,i,argue,8,0.00042471862391165854
245,she,ask,8,0.00042471862391165854
246,he,open,8,0.00042471862391165854
247,he,kill,8,0.00042471862391165854
248,he,run,8,0.00042471862391165854
249,he,grab,8,0.00042471862391165854
250,he,propose,8,0.00042471862391165854
251,she,read,7,0.0003716287959227012
252,i,fight,7,0.0003716287959227012
253,he,pick,7,0.0003716287959227012
254,he,draw,7,0.0003716287959227012
255,he,develop,7,0.0003716287959227012
256,i,guarantee,7,0.0003716287959227012
257,i,roll,7,0.0003716287959227012
258,he,throw,7,0.0003716287959227012
259,he,invent,7,0.0003716287959227012
260,she,leave,7,0.0003716287959227012
261,he,sit,7,0.0003716287959227012
262,i,post,7,0.0003716287959227012
263,he,create,7,0.0003716287959227012
264,i,continue,7,0.0003716287959227012
265,i,test,7,0.0003716287959227012
266,i,apply,7,0.0003716287959227012
267,i,not,7,0.0003716287959227012
268,i,name,7,0.0003716287959227012
269,i,quote,7,0.0003716287959227012
270,i,accept,7,0.0003716287959227012
271,i,urge,7,0.0003716287959227012
272,i,recognize,7,0.0003716287959227012
273,i,treat,7,0.0003716287959227012
274,i,capture,7,0.0003716287959227012
275,i,introduce,7,0.0003716287959227012
276,he,live,7,0.0003716287959227012
277,i,ignore,7,0.0003716287959227012
278,i,intend,7,0.0003716287959227012
279,i,interview,7,0.0003716287959227012
280,i,explore,7,0.0003716287959227012
