subject,verb,0
we,have,2259
you,have,1505
i,have,1318
i,want,1210
i,go,1076
you,see,997
we,do,972
you,get,901
we,go,743
we,need,717
they,have,659
i,do,650
you,do,639
we,get,596
i,get,586
you,want,553
we,see,485
i,like,462
you,go,438
we,want,437
it,have,429
we,use,403
it,go,387
i,start,377
it,take,358
we,take,331
they,do,331
i,tell,326
we,make,321
i,think,316
you,need,311
we,start,308
i,try,302
that,have,301
you,take,283
i,take,281
we,try,278
we,know,276
i,know,274
i,love,271
we,find,268
i,see,259
i,say,251
we,call,239
i,make,237
i,show,232
he,have,232
i,use,226
we,put,226
they,go,217
i,put,213
you,make,210
i,ask,210
you,know,207
they,get,198
i,find,197
they,want,193
you,put,191
i,give,189
who,have,187
we,build,182
you,use,182
it,get,178
you,find,175
i,call,167
it,make,166
we,create,156
it,do,152
that,go,142
i,need,141
they,take,137
i,saw,132
that,make,132
he,say,132
they,make,131
i,write,130
we,ask,120
we,give,120
i,mean,118
they,use,117
people,have,117
you,start,117
he,do,111
i,learn,109
you,hear,109
it,mean,108
i,spend,107
you,give,104
we,learn,104
that,mean,104
i,meet,103
i,decide,100
you,try,98
you,say,95
she,have,94
they,say,94
they,need,92
they,put,92
he,get,90
you,ask,89
that,give,87
they,give,87
you,think,86
you,tell,82
you,like,82
we,begin,82
they,start,81
i,remember,81
that,take,80
we,like,79
they,try,79
it,use,79
i,hear,79
it,give,78
he,go,78
he,take,78
we,spend,76
you,build,75
they,find,75
i,believe,74
we,develop,73
i,begin,73
who,want,73
they,tell,72
we,understand,71
it,turn,71
he,want,71
this,go,69
that,do,68
we,bring,68
they,see,67
he,make,67
which,have,67
one,have,66
you,feel,65
you,buy,65
we,change,65
you,change,65
you,read,64
me,show,64
i,look,63
it,change,63
i,build,63
we,decide,63
i,read,62
people,do,62
we,say,62
we,think,62
who,do,62
that,change,61
it,start,60
that,use,59
they,call,58
it,cost,58
what,go,58
he,tell,58
we,saw,58
you,imagine,57
me,tell,57
i,understand,57
we,lose,56
you,keep,56
i,bring,56
i,leave,56
they,build,55
we,keep,54
i,buy,54
he,put,54
it,tell,53
we,design,53
people,want,53
we,turn,52
they,ask,52
we,discover,51
i,keep,51
i,realize,51
i,come,51
you,learn,51
they,know,51
they,like,51
we,tell,50
that,get,50
you,saw,49
we,love,49
i,turn,49
you,call,49
you,look,49
's,take,49
we,solve,49
you,understand,49
it,need,49
we,show,49
you,create,48
he,write,48
it,seem,48
that,bring,47
we,run,47
you,bring,47
that,tell,47
she,say,47
people,start,46
we,face,45
i,play,44
we,teach,43
we,hear,42
people,use,42
he,start,42
that,create,42
this,mean,42
i,feel,41
this,have,41
you,turn,41
she,do,41
who,know,41
who,get,40
we,look,40
you,run,40
it,create,39
i,study,39
i,watch,39
you,add,39
he,give,39
we,leave,39
i,pick,39
they,bring,38
that,need,38
who,make,38
we,figure,38
it,look,37
you,remember,37
they,learn,37
they,create,37
