,0
bf,75
gk,46
telomeres,40
abed,39
jf,36
mzuri,36
indus,33
fonio,32
teszler,30
tkm,30
connectome,29
ems,29
bombsight,28
edi,27
fb,26
isirika,26
quad,25
nl,24
lesters,22
atrazine,21
bonica,21
nanopatch,21
raisuddin,21
ravi,21
whitopia,21
jana,20
kuliko,20
lesterland,20
marimba,20
rng,20
sweeney,20
musu,19
romo,19
rsw,19
bertie,18
foxo,18
galois,18
gwen,18
kt,18
mammogram,18
phthalates,18
antiangiogenic,17
iw,17
superconductor,17
agf,16
freespeech,16
heforshe,16
kanner,16
molas,16
replicator,16
solly,16
sudhir,16
daf,15
elam,15
mouaz,15
paralegals,15
pigmentation,15
progeria,15
weibo,15
zk,15
404,14
bina,14
broadmoor,14
calais,14
cymatics,14
e8,14
galvao,14
gphin,14
len,14
naghma,14
strum,14
beheading,13
brigades,13
browne,13
catadores,13
dragline,13
ea,13
incra,13
jenipher,13
kkm,13
mathematica,13
mbi,13
tbp,13
tembererana,13
thula,13
alhambra,12
astrolabe,12
bonnet,12
coumarin,12
cyril,12
dreadnoughtus,12
gratefulness,12
hololens,12
kathy,12
norse,12
rockett,12
samaritans,12
shadi,12
skycar,12
stroman,12
todai,12
ageism,11
alec,11
breton,11
encoder,11
faiza,11
farai,11
littlebits,11
micrornas,11
mildness,11
rezero,11
robicsek,11
tori,11
vivian,11
zoe,11
cargill,10
connectomes,10
ec,10
gowanus,10
jarrett,10
jenesis,10
juliano,10
justinesacco,10
kaluza,10
ls,10
manson,10
marduk,10
martine,10
minto,10
mz,10
nonverbals,10
okapi,10
pleurobot,10
prego,10
sys,10
yum,10
yv,10
afrika,9
arrowheads,9
aveling,9
bfib,9
bjk,9
brunel,9
clonie,9
cruzeiro,9
davinia,9
dirigible,9
dravidian,9
fluctus,9
futureless,9
gurdy,9
hany,9
hirshhorn,9
humanae,9
hurdy,9
hyacinth,9
ironman,9
itjtawy,9
jirga,9
jy,9
kleiber,9
milkweed,9
misfit,9
muti,9
navid,9
nk,9
olé,9
pauling,9
pxe,9
queerer,9
spinosaurus,9
tariq,9
telomere,9
ue,9
uncontacted,9
vila,9
altos,8
baakir,8
bossy,8
chaz,8
coffeehouse,8
crony,8
csf,8
cura,8
decompiculture,8
denny,8
desiccation,8
detroiters,8
ethnosphere,8
gezi,8
gmt,8
greenville,8
http,8
hyperscore,8
hysteria,8
ifafricawasabar,8
ifakara,8
interagency,8
karajan,8
kenema,8
khamisa,8
kiteflyer,8
kush,8
lorna,8
malala,8
manya,8
microrna,8
midden,8
mockingbird,8
osmakac,8
quixote,8
rejuvenation,8
remittance,8
sargassum,8
shreddies,8
siftables,8
sousa,8
stoicism,8
tapeworm,8
thordis,8
trudeau,8
udo,8
umar,8
wangu,8
wingsuit,8
zeinab,8
adrianne,7
africanism,7
airstream,7
atkins,7
barbaria,7
bassam,7
beijerinck,7
bernoulli,7
bia,7
bloop,7
brianna,7
carroças,7
cheetos,7
dansi,7
ecosia,7
ecx,7
femto,7
fildes,7
fischeri,7
habeus,7
heinz,7
hells,7
hemlock,7
huli,7
hyperloop,7
imagenet,7
jg,7
jordans,7
judd,7
kidogo,7
ld,7
lentils,7
luria,7
maggie,7
manju,7
milly,7
molly,7
mumble,7
mídia,7
neocortical,7
noam,7
nonhuman,7
olu,7
otaku,7
papercutting,7
parainfluenza,7
paroxetine,7
piazza,7
piero,7
piga,7
plutocracy,7
prospera,7
ragù,7
rhinoviruses,7
sacco,7
seatbelt,7
sughar,7
temes,7
tewksbury,7
tmd,7
toxo,7
tzvika,7
vertices,7
vg,7
volantor,7
4shbab,6
abalone,6
aicha,6
allosphere,6
ananipenda,6
ansar,6
aromatase,6
astrolabes,6
athenian,6
avelile,6
barricelli,6
bartok,6
bayesian,6
beheadings,6
biofabrication,6
bla,6
blablacar,6
boca,6
brightmoor,6
bujold,6
cala,6
cannibals,6
cavefishes,6
centella,6
chern,6
clathrin,6
colour,6
convulsion,6
cot,6
crisper,6
dodecahedron,6
electrogram,6
elissa,6
entrainment,6
erick,6
extrasolar,6
faunal,6
ferrofluid,6
ffl,6
fn,6
foreplay,6
gacaca,6
gerontology,6
goering,6
griselda,6
guga,6
hasbro,6
hatzalah,6
headrest,6
herodotus,6
hwt,6
hydrostatic,6
hyowon,6
ia,6
igf,6
introversion,6
jó,6
kettles,6
kooks,6
leahy,6
ligament,6
lonesome,6
lsst,6
lymphatic,6
mansa,6
manshiyat,6
matty,6
meegeren,6
melquiades,6
milgram,6
milliken,6
mockingbirds,6
moog,6
musa,6
napot,6
naser,6
necrophilia,6
netizens,6
netra,6
nyota,6
omer,6
oshea,6
osun,6
pjc,6
postsecret,6
pravastatin,6
procrastinate,6
protocell,6
protonmail,6
quartile,6
rete,6
ricans,6
rossy,6
schlaug,6
siftable,6
snobbery,6
spectrogram,6
subclinical,6
subtypes,6
tamara,6
tassa,6
technocratic,6
tembere,6
terawatt,6
tidied,6
tmm,6
tomm,6
toonchi,6
torajans,6
transporter,6
upwake,6
usain,6
vivor,6
warby,6
wilkins,6
wofford,6
xml,6
zullinger,6
4chan,5
683,5
ack,5
allegiances,5
amjad,5
anagrams,5
annuals,5
armantrout,5
athleticism,5
avaz,5
bannister,5
basingstoke,5
basit,5
bednets,5
belshazzar,5
bertha,5
bhumika,5
bhutanese,5
binti,5
blackawton,5
braddock,5
breadwinning,5
callum,5
canning,5
cantor,5
cao,5
carroça,5
cavitation,5
centenarians,5
cesar,5
chemokines,5
cloudburst,5
communitas,5
connexions,5
deconstructive,5
demobilized,5
dereck,5
dharamsala,5
dispatcher,5
dongguan,5
duplex,5
ebert,5
eggplant,5
electrolyte,5
engelbart,5
euclidean,5
eulogy,5
evel,5
evolvable,5
felice,5
fishbowl,5
frigoris,5
galvani,5
garífuna,5
gbm,5
gelem,5
girltrek,5
goran,5
gujarati,5
haring,5
hedy,5
helios,5
helpline,5
heparin,5
hexene,5
huaorani,5
hungarians,5
icefall,5
iliac,5
ines,5
irreverence,5
itay,5
jeanny,5
jenn,5
ji,5
jobana,5
joie,5
journeyman,5
jovita,5
jyk,5
karstic,5
kenobi,5
kludge,5
kona,5
kp,5
kufungisisa,5
kurdistan,5
kédougou,5
kéré,5
lactation,5
lamanites,5
lassa,5
leandro,5
legadema,5
lexicographical,5
lexicography,5
leymah,5
libra,5
locality,5
locomotor,5
maidan,5
mansfield,5
manvendra,5
mapendo,5
mauch,5
microfluidic,5
miko,5
mildred,5
ml,5
moe,5
moskowitz,5
musica,5
myesha,5
nakutegemea,5
narcosis,5
natanz,5
nematode,5
nemo,5
neowise,5
nightingale,5
nikolayevich,5
novocure,5
obsessional,5
ome,5
ommm,5
oncogene,5
onicha,5
osorio,5
panpsychist,5
patreon,5
patrollers,5
permian,5
poupon,5
rabin,5
rawls,5
rca,5
reinnervation,5
repayment,5
reuther,5
rhinovirus,5
roma,5
rotterdam,5
safemart,5
scytodes,5
selasi,5
shoutin,5
siena,5
sintia,5
siq,5
sitopia,5
sodis,5
spacewalk,5
springy,5
sub1,5
suki,5
sunfish,5
superhydrophobic,5
supernormal,5
sura,5
susana,5
taft,5
taji,5
talgam,5
taniyama,5
teme,5
tendai,5
tepuis,5
teresia,5
tetrahymena,5
theremin,5
trina,5
tritium,5
turkana,5
