,subject,verb,Count
0,he,had,144
1,he,said,85
2,he,got,57
3,he,going,51
4,he,has,50
5,he,took,46
6,he,put,44
7,he,wanted,43
8,he,did,37
9,he,made,36
10,he,told,36
11,he,wrote,35
12,he,have,31
13,he,started,30
14,he,asked,29
15,he,do,27
16,he,doing,24
17,he,wants,23
18,he,called,22
19,he,saw,21
20,i,going,948
21,i,want,893
22,i,have,744
23,i,had,544
24,i,like,423
25,i,got,420
26,i,started,323
27,i,do,315
28,i,wanted,314
29,i,love,237
30,i,know,217
31,i,think,214
32,i,put,210
33,i,tell,191
34,i,see,185
35,i,did,164
36,i,found,144
37,i,get,142
38,i,asked,141
39,i,call,136
40,it,going,334
41,it,has,276
42,it,takes,130
43,it,took,129
44,it,got,109
45,it,have,83
46,it,take,76
47,it,makes,71
48,it,had,69
49,it,means,65
50,it,does,58
51,it,turns,54
52,it,make,47
53,it,do,44
54,it,gives,44
55,it,needs,36
56,it,used,34
57,it,made,33
58,it,cost,31
59,it,uses,29
60,she,had,55
61,she,said,30
62,she,has,25
63,she,going,21
64,she,did,18
65,she,told,17
66,she,wanted,17
67,she,started,15
68,she,got,13
69,she,took,13
70,she,have,11
71,she,trying,11
72,she,doing,9
73,she,found,9
74,she,made,9
75,she,saw,9
76,she,used,9
77,she,does,8
78,she,want,8
79,she,wants,8
80,they,have,471
81,they,going,181
82,they,do,180
83,they,had,179
84,they,want,134
85,they,get,97
86,they,got,92
87,they,take,83
88,they,put,80
89,they,need,77
90,they,doing,73
91,they,make,72
92,they,did,59
93,they,use,57
94,they,see,53
95,they,wanted,51
96,they,found,49
97,they,know,47
98,they,like,44
99,they,made,43
100,we,have,1736
101,we,need,669
102,we,going,650
103,we,do,542
104,we,had,511
105,we,see,349
106,we,want,348
107,we,got,331
108,we,know,247
109,we,use,247
110,we,get,237
111,we,put,225
112,we,call,211
113,we,take,198
114,we,make,188
115,we,started,188
116,we,did,183
117,we,doing,147
118,we,found,134
119,we,trying,123
120,you,have,1337
121,you,see,883
122,you,get,545
123,you,want,504
124,you,do,483
125,you,going,334
126,you,got,327
127,you,need,293
128,you,take,249
129,you,know,233
130,you,put,189
131,you,make,169
132,you,find,157
133,you,had,155
134,you,use,155
135,you,start,99
136,you,go,97
137,you,doing,91
138,you,like,84
139,you,give,81
