,subject,verb,object
0,i,contacted,[parks]
1,i,mentioned,[that]
2,i,mention,[that]
3,i,going,"[to, exchange, marriage, vows, with, my, beloved]"
4,i,do,[which]
5,i,watched,[half]
6,i,told,[you]
7,i,wrote,"[dollar, transportation, grant]"
8,i,like,[that]
9,i,have,[all]
10,i,expect,"[individuals, corporations, government]"
11,i,tell,[you]
12,i,like,[what]
13,i,told,[you]
14,i,embraced,[capitalist]
15,i,have,[problem]
16,i,have,[problem]
17,i,trying,"[to, build]"
18,i,have,[time]
19,i,asked,[him]
20,we,garnered,[support]
21,we,feel,[problems]
22,we,pay,"[health, problems]"
23,we,have,[that]
24,we,have,[what]
25,we,realized,[that]
26,we,secured,[dollars]
27,we,separated,[that]
28,we,nurture,[environment]
29,we,run,[project]
30,we,seeding,[area]
31,we,have,[opportunity]
32,we,built,"[demonstration, project]"
33,we,need,[investors]
34,we,take,[steps]
35,we,have,[less]
36,we,create,[that]
37,we,have,[excuse]
38,we,need,[money]
39,we,change,[world]
40,we,come,"[me, thing]"
41,we,believe,[me]
42,we,share,[thing]
43,we,have,"[nothing, everything]"
44,she,turned,"[to, be, a, much, bigger, dog, than, i, 'd, anticipated]"
45,she,pulled,[me]
46,she,were,"[dragging, me]"
47,she,kept,"[dragging, me]"
48,he,does,"[which, time]"
49,he,married,[mom]
50,they,provide,"[opportunities, development]"
51,they,reduce,[need]
52,they,provide,[habitats]
53,it,grow,"[to, become, the, proud, beginnings, of, the, community, -, led, revitalization, of, the, new, south, bronx]"
54,it,connect,"[south, bronx]"
55,you,want,"[to, know]"
56,you,need,[to]
57,you,do,[that]
58,you,do,[something]
59,you,value,[information]
60,i,came,[myself]
61,i,presented,[myself]
62,i,going,"[to, have, a, party, and, a, cake, and, get, a, lot, of, presents]"
63,i,heard,[phrase]
64,i,paid,[attention]
65,i,noticed,[it]
66,i,known,[this]
67,i,realized,[information]
68,i,left,[kitchen]
69,i,missed,[age]
70,i,help,[someone]
71,i,found,[bill]
72,i,turned,"[to, run]"
73,i,know,[it]
74,i,turning,[seven]
75,i,planned,[party]
76,i,need,"[to, speak, to, you, privately]"
77,i,told,[them]
78,i,started,"[to, tell, you, your, birthday, was, september, 10th]"
79,i,had,"[to, change, the, date, of, my, slumber, party, with, all, of, my, girlfriends]"
80,i,had,"[virgo, poster]"
81,i,read,[horoscope]
82,i,took,"[bus, downtown]"
83,i,started,"[filling, out, physically]"
84,i,filling,[more]
85,i,got,"[libra, poster]"
86,i,started,"[to, read, my, new, libra, horoscope]"
87,i,astonished,"[to, find, that, it, was, also, totally, me]"
88,i,turning,[seven]
89,i,turned,[seven]
90,i,had,[month]
91,i,wanted,"[to, before, god, started, keeping, tabs, on, me]"
92,i,get,[ladies]
93,i,get,[teenagers]
94,i,buy,"[magazine, subscriptions]"
95,i,ignore,[doorbell]
96,i,answered,[doorbell]
97,i,said,[message]
98,i,raised,"[them, doctrine, what]"
99,i,worked,"[them, doctrine, what]"
100,i,dated,[them]
101,i,knew,[doctrine]
102,i,guess,"[them, doctrine, what]"
103,i,said,"[well, ,, please, ,, come, in]"
104,i,sat,[them]
105,i,got,[glasses]
106,i,got,[it]
107,i,got,[it]
108,i,got,[glasses]
109,i,sat,[them]
110,i,got,[glasses]
111,i,believe,"[word, heart, word]"
112,i,like,"[word, heart]"
113,i,like,[word]
114,i,want,"[to, argue, semantics, with, these, boys]"
115,i,put,[family]
116,i,lead,[you]
117,i,wanted,"[to, give, these, two, boys, some, advice, about, their, pitch]"
118,i,wanted,"[to, say, —]"
119,i,said,[little]
120,i,thought,[this]
121,i,backpedaled,[little]
122,i,said,"[oh, ,, come, on]"
123,i,have,[uterus]
124,i,had,[cancer]
125,i,get,[uterus]
126,i,said,"[book, me]"
127,i,think,"[book, me]"
128,i,said,[something]
129,i,had,"[to, be, honest, with, myself]"
130,i,hearing,"[theology, dogma]"
131,i,feel,[it]
132,i,feel,[love]
133,i,feel,"[consoled, and, cared, for]"
134,i,take,[shelter]
135,i,feel,[shelter]
136,i,felt,[what]
137,we,have,[story]
138,she,said,[it]
139,she,meant,[what]
140,she,had,[baby]
141,he,led,[them]
142,he,stopped,[nephites]
143,he,visited,[nephites]
144,he,told,[them]
145,he,buried,[which]
146,he,found,[stone]
147,he,put,[that]
148,he,buried,[face]
149,they,said,[myself]
150,they,telling,[me]
151,they,had,"[to, fit, two, criteria]"
152,they,had,"[to, be, old, enough, to, be, able, to, understand, the, whole, concept, of, the, age, of, reason]"
153,they,join,[gang]
154,they,start,"[robbing, people]"
155,they,stood,"[name, tags]"
156,they,had,"[name, tags]"
157,they,said,"[name, tags]"
158,they,had,[message]
159,they,said,[what]
160,they,told,[story]
161,they,told,[me]
162,they,win,[war]
163,they,told,[me]
164,they,look,[more]
165,they,had,[more]
166,they,gave,[book]
167,they,told,[me]
168,they,gone,"[book, me]"
169,they,asked,[me]
170,they,asked,[me]
171,they,asked,"[me, question]"
172,it,anthropomorphizes,[god]
173,you,reached,[age]
174,you,grown,"[age, keeping, notes, on, you, record]"
175,you,reached,[age]
176,you,begin,[record]
177,you,turn,[seven]
178,you,have,[year]
179,you,going,"[to, go]"
180,you,realize,[it]
181,you,ate,[piece]
182,you,put,[video]
183,you,believe,"[them, glasses]"
184,you,mean,[what]
185,you,mean,[what]
186,you,get,"[to, go, to, heaven, and, be, with, your, family, for, all, eternity]"
187,you,lost,[leg]
188,you,get,[it]
189,you,had,"[nose, job]"
190,you,liked,[it]
191,i,help,"[to, think, about, when, you, 're, a, little, kid, you]"
192,i,wish,"[to, think, about, when, you, 're, a, little, kid]"
193,i,want,[wish]
194,i,going,"[to, wish, for, that]"
195,i,like,[what]
196,i,met,[lot]
197,i,filmed,[some]
198,i,like,"[what, to, talk, about, today]"
199,i,going,"[to, show, you, slides, of, the, exchange, student]"
200,i,know,[everybody]
201,i,force,[everybody]
202,i,support,[that]
203,i,like,"[to, talk, about, another, way, to, travel]"
204,i,requires,"[movie, camera, projector, screen]"
205,i,going,"[what, to, talk, to, you, about, today]"
206,i,speak,[bit]
207,i,realized,[power]
208,i,needed,"[that, to, do]"
209,i,met,[women]
210,i,began,"[teaching, there]"
211,i,taught,[english]
212,i,met,[women]
213,i,met,[people]
214,i,began,"[to, take, pictures, there]"
215,i,took,[pictures]
216,i,started,"[taking, these, pictures]"
217,i,showing,[sides]
218,i,cut,[donkey]
219,i,put,[photographs]
220,i,saw,[power]
221,i,think,[reaction]
222,i,saw,[that]
223,i,wanted,"[to, use, photography, and, film]"
224,i,did,[stint]
225,i,done,[couple]
226,i,watching,[television]
227,i,seemed,"[to, be, just, one, point, of, view, that, was, coming, across]"
228,i,had,"[to, go, there]"
229,i,wanted,"[to, be, in, the, center]"
230,i,had,[plan]
231,i,had,[funding]
232,i,have,[camera]
233,i,wanted,"[to, get, access, to, al, jazeera, ,, george, bush, 's, favorite, channel, ,, and, a, place, which, i, was, very, curious, about, because, it, 's, disliked, by, many, governments, across, the, arab, world, ,, and, also, called, the, mouthpiece, of, osama, bin, laden, by, some, people, in, the, us, government]"
234,i,got,"[to, go, see, what, this, is, all, about]"
235,i,wanted,"[to, go, see, central, command, ,, which, was, 10, minutes, away]"
236,i,get,[access]
237,i,went,[people]
238,i,sat,[people]
239,i,met,[people]
240,i,met,[people]
241,i,like,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody]"
242,i,offered,[job]
243,i,take,[it]
244,i,have,[dream]
245,i,have,[plans]
246,i,send,[them]
247,i,remember,"[having, seen, it, in, the, al, jazeera, office]"
248,i,saw,[people]
249,i,showed,[film]
250,i,blown,[motivations]
251,i,saw,[this]
252,i,saw,[anger]
253,i,know,[power]
254,i,have,[paradise]
255,i,have,[assistants]
256,i,find,[reason]
257,i,tell,[you]
258,i,think,[that]
259,i,like,"[what, to, talk, about]"
260,i,trying,"[to, think, about, ways, to, give, power, to, these, independent, voices, ,, to, give, power, to, the, filmmakers, ,, to, give, power, to, people, who, are, trying, to, use, film, for, change]"
261,i,watched,[it]
262,i,blown,"[it, potential]"
263,i,create,[television]
264,i,like,"[to, share, this, with, you]"
265,i,invite,[you]
266,i,know,"[how, to, do, it]"
267,i,know,"[how, to, reach, out, to, somebody, 's, heart, and, soul, all, across, the, world]"
268,i,supposed,"[to, give, you, my, one, -, sentence, wish]"
269,we,have,[wish]
270,we,learn,"[dance, moves]"
271,we,meet,[other]
272,we,get,"[to, know, each, other]"
273,we,do,"[exchange, programs]"
274,we,forcing,[people]
275,we,had,[funding]
276,we,showed,[film]
277,we,had,[reactions]
278,we,feel,[power]
279,we,need,[to]
280,we,have,"[to, get, the, power, to, change, things]"
281,we,get,[anger]
282,we,faced,[that]
283,we,had,[airplanes]
284,we,need,[martyrs]
285,we,have,[paradise]
286,we,win,[way]
287,we,have,"[to, turn, it, into, a, moral, war]"
288,we,have,[information]
289,we,saw,[jeeps]
290,we,communicated,[that]
291,we,use,[feeling]
292,we,have,[appreciation]
293,we,do,[what]
294,we,project,[films]
295,we,create,[it]
296,we,get,[all]
297,we,made,[partnership]
298,we,started,"[calling, up, everybody]"
299,we,thought,"[to, share, this, with, you]"
300,we,use,[technology]
301,we,build,[community]
302,we,call,"[landmass, pangea]"
303,we,like,"[what, to, call, this, day, of, film]"
304,we,make,[movement]
305,he,redefined,[us]
306,he,use,[media]
307,they,had,[wishes]
308,they,teaching,[people]
309,they,get,[vaccinations]
310,they,wanted,"[that, memories]"
311,they,were,"[photographs, to, be, taken, down]"
312,they,had,"[to, be, taken, down]"
313,they,getting,[messages]
314,they,finish,[school]
315,they,showed,"[pows, soldiers]"
316,they,see,[film]
317,they,opened,[fire]
318,they,felt,[that]
319,they,have,[appreciation]
320,they,having,[experience]
321,it,makes,[sense]
322,it,disliked,[governments]
323,it,called,"[mouthpiece, people]"
324,it,affect,[me]
325,it,upset,[me]
326,it,brought,[complexities]
327,it,starts,[people]
328,you,screwed,[wish]
329,you,know,"[what, to, wish, for]"
330,you,use,[wish]
331,you,thinking,[what]
332,you,thinking,[girl]
333,you,seen,"[control, room]"
334,you,force,[people]
335,you,managed,"[to, get, out, of, that, one]"
336,you,film,[them]
337,you,listen,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody, them, more]"
338,you,allow,[more]
339,you,understand,[anger]
340,you,see,[people]
341,you,sit,"[being, taken, into, another, world]"
342,you,experience,"[being, taken, into, another, world]"
343,you,doing,[what]
344,you,give,[alibi]
345,you,know,[what]
346,you,give,[speech]
347,you,finish,[song]
348,you,have,"[towns, villages, theaters]"
349,you,have,"[theaters, places]"
350,you,imagine,"[projecting, from, times, square, to, tahrir, square, in, cairo]"
351,you,imagine,[what]
352,you,project,[films]
353,you,have,[experience]
354,i,know,"[what, to, say]"
355,i,get,[chance]
356,i,played,[that]
357,i,have,[piece]
358,i,like,"[that, to, play, for, you]"
359,i,hate,[that]
360,i,know,[what]
361,i,know,"[where, to, start]"
362,i,make,[lot]
363,i,choose,[one]
364,i,choose,[theme]
365,i,have,"[to, decide, :, out, of, all, the, styles, in, music]"
366,i,want,[kind]
367,i,composed,[style]
368,i,make,[structure]
369,i,like,"[to, draw]"
370,i,realized,[it]
371,i,going,"[to, use, one, page]"
372,i,going,"[to, draw, it, on, the, computer]"
373,i,going,"[to, use, a, two, -, page]"
374,i,trying,"[to, do, homework]"
375,i,try,"[to, draw]"
376,i,waste,[time]
377,i,consider,[what]
378,i,going,"[to, play, my, own, composition, today]"
379,i,finish,[it]
380,i,like,"[to, try, something, called, "", improvisation]"
381,i,have,"[note, cards]"
382,i,like,[someone]
383,i,make,[it]
384,i,improvise,[it]
385,i,use,[them]
386,i,going,"[to, try, to, put, that, in, some, sort, of, order]"
387,i,going,"[to, have, a, moment, to, think]"
388,i,try,"[to, make, something, out, of, it]"
389,i,going,"[that, to, play]"
390,she,chose,"[c, g, a]"
391,he,wrote,[that]
392,it,called,"[robert, schumann]"
393,it,come,[something]
394,you,like,[it]
395,you,heard,[that]
396,you,have,"[to, think]"
397,you,supposed,"[to, actually, polish, the, piece, ,, polish, the, details, ,, and, then, polish, the, overall, performance, of, the, composition]"
398,you,'s,"[to, decide, who, you, want, to, draw, to, draw, an, original, character]"
399,you,want,"[to, decide, who, you, want, to, draw]"
400,you,want,"[who, to, draw]"
401,you,want,"[to, draw, an, original, character]"
402,you,want,"[to, decide]"
403,you,going,"[to, draw, the, character]"
404,you,have,"[to, do, the, initial, sketch, of, the, character, ,, which, is, like, your, structure, of, a, piece]"
405,you,add,"[pen, pencil]"
