,doc,subject,verb,object
0,0,i,blown,[conference]
1,0,i,want,"[to, thank, all, of, you, for, the, many, nice, comments, about, what, i, had, to, say, the, other, night]"
2,0,i,need,[that]
3,0,laughter,put,[yourselves]
4,0,i,have,"[to, take, off, my, shoes, or, boots, to, get, on, an, airplane]"
5,0,i,tell,[story]
6,0,i,left,"[white, house]"
7,0,i,looked,[me]
8,0,it,hit,[me]
9,0,we,started,"[looking, for, a, place, to, eat]"
10,0,we,got,"[to, exit, 238, ,, lebanon, ,, tennessee]"
11,0,we,found,[restaurant]
12,0,who,know,[it]
13,0,we,went,[commotion]
14,0,waitress,sat,[commotion]
15,0,waitress,came,[commotion]
16,0,we,made,[commotion]
17,0,she,took,[order]
18,0,she,went,"[order, voice]"
19,0,she,lowered,[voice]
20,0,i,had,"[to, really, strain, to, hear, what, she, was, saying]"
21,0,she,saying,[what]
22,0,i,got,"[to, fly, to, africa, to, make, a, speech, in, nigeria, ,, in, the, city, of, lagos, ,, on, the, topic, of, energy]"
23,0,i,began,[speech]
24,0,i,told,[it]
25,0,i,shared,[it]
26,0,i,driving,[ourselves]
27,0,man,said,[what]
28,0,i,gave,[speech]
29,0,they,opened,[door]
30,0,he,waving,[piece]
31,0,he,yelling,"[call, washington]"
32,0,it,turned,"[to, be]"
33,0,one,written,[story]
34,0,it,printed,[story]
35,0,story,began,[it]
36,0,i,opened,"[cost, family, restaurant]"
37,0,we,running,[it]
38,0,one,had,[me]
39,0,tipper,saying,[burger]
40,0,i,got,[letter]
41,0,we,like,"[to, celebrate, each, other, 's, successes, in, life]"
42,0,i,going,"[to, talk, about, information, ecology]"
43,0,i,plan,"[to, make, a, lifelong, habit, of, coming, back, to, ted]"
44,0,i,want,"[to, focus, on, what, many, of, you, have, said, you, would, like, me, to, elaborate, on]"
45,0,you,like,[what]
46,0,you,do,[what]
47,0,i,want,"[to, start, with, a, couple, of]"
48,0,i,going,"[to, show, some, new, images]"
49,0,i,going,"[to, recapitulate, just, four, or, five]"
50,0,i,update,"[slide, show]"
51,0,i,give,[it]
52,0,i,add,[images]
53,0,i,learn,[more]
54,0,i,give,[it]
55,0,you,find,[shells]
56,0,we,got,"[temperature, records]"
57,0,you,wanted,[news]
58,0,i,going,"[to, go, into, new, material, about, what, you, can, do]"
59,0,i,wanted,"[to, elaborate, on, a, couple, of, these]"
60,0,we,projected,"[to, go, with, the, u.s, ., contribution, to, global, warming, ,, under, business, as, usual]"
61,0,you,put,[it]
62,0,we,have,[standards]
63,0,we,address,[that]
64,0,renewables,make,[difference]
65,0,wedge,going,"[to, grow, much, more, rapidly]"
66,0,projection,shows,[it]
67,0,that,enable,[us]
68,0,you,do,[what]
69,0,i,mentioned,[automobiles]
70,0,i,buy,[hybrid]
71,0,you,have,[choices]
72,0,that,have,"[effect, effect]"
73,0,this,make,[decision]
74,0,i,love,"[to, get, your, advice, and, help, on, how, to, say, this, in, a, way, that, connects, with, the, most, people]"
75,0,lot,made,[decision]
76,0,it,means,"[reduce, your, carbon, dioxide, emissions, with, the, full, range, of, choices, that, you, make, ,, and, then, purchase, or, acquire, offsets, for, the, remainder, that, you, have, not, completely, reduced]"
77,0,you,make,[that]
78,0,you,reduced,[that]
79,0,it,means,[what]
80,0,you,calculate,[options]
81,0,you,given,[options]
82,0,this,updated,[purchases]
83,0,we,have,[purchases]
84,0,some,done,[that]
85,0,majora,mentioned,[this]
86,0,you,invested,[money]
87,0,you,compensate,[who]
88,0,you,pay,[them]
89,0,they,going,"[how, much, to, get, paid, on, your, capital, that, they, 've, invested, ,, based, on, the, short, -, term, returns]"
90,0,they,invested,[that]
91,0,you,going,"[to, get, short, -, term, decisions]"
92,0,many,have,[opportunity]
93,0,lot,see,[it]
94,0,i,going,"[to, train, people, to, give, this, slideshow, —, re]"
95,0,they,mean,[what]
96,0,i,going,"[to, be, conducting, a, course, this, summer, for, a, group, of, people, that, are, nominated, by, different, folks, to, come]"
97,0,that,nominated,"[folks, to, come]"
98,0,i,give,[masse]
99,0,we,going,"[to, update, the, slideshow, for, all, of, them, every, single, week, ,, to, keep, it, right, on, the, cutting, edge]"
100,0,people,remix,[it]
101,0,people,do,[it]
102,0,anybody,get,[idea]
103,0,i,trying,"[to, convince, you, to, be, a, democrat]"
104,0,we,need,[republicans]
105,0,this,used,"[to, be, a, bipartisan, issue]"
106,0,i,know,"[to, be, a, bipartisan, issue]"
107,0,democracy,work,[way]
108,0,it,supposed,"[to, work]"
109,0,you,have,[liability]
110,0,you,urge,[ceo]
111,0,market,work,"[to, solve, this, problem]"
112,0,we,accomplish,[this]
113,0,we,have,"[to, change, the, minds, of, the, american, people]"
114,0,politicians,have,[permission]
115,0,what,needs,"[to, be, done]"
116,0,role,includes,"[mediating, between, wealth, and, power, the, way, it, once, did]"
117,0,we,have,"[to, buy, a, lot, of, those, ads]"
118,0,'s,re,[warming]
119,0,i,like,"[climate, crisis]"
120,0,i,need,[help]
121,0,somebody,said,[test]
122,0,scientist,told,[me]
123,0,you,have,[influence]
124,0,i,appreciate,[it]
125,1,i,ignored,[warning]
126,1,dinner,grew,[mold]
127,1,dinner,grew,[mold]
128,1,i,punched,"[touch, tone]"
129,1,i,spent,[hours]
130,1,software,crashed,[mac]
131,1,it,erased,[roms]
132,1,mac,makes,[sounds]
133,1,you,call,[9]
134,1,you,pray,[9]
135,1,you,get,[me]
136,1,music,thank,[you]
137,1,who,used,"[to, be, a, broadway, accompanist]"
138,1,i,offered,"[times, column]"
139,1,you,sent,"[coolest, hottest, slickest]"
140,1,you,get,"[to, try, them, out, ,]"
141,1,you,play,"[to, try, them, out, ,, them]"
142,1,you,evaluate,[them]
143,1,you,have,"[to, send, them, back]"
144,1,you,paid,"[to, try, them, out, ,, them]"
145,1,i,love,[it]
146,1,job,came,"[to, publish, my, email, address, at, the, end, of, every, column]"
147,1,they,intended,"[to, publish, my, email, address, at, the, end, of, every, column]"
148,1,i,noticed,[what]
149,1,you,get,[amount]
150,1,you,get,"[hundreds, hundreds, hundreds]"
151,1,i,getting,[lot]
152,1,you,see,[it]
153,1,i,wrote,[column]
154,1,i,call,[it]
155,1,me,tell,[you]
156,1,whoever,figures,"[how, to, make, money, off, of, this, frustration]"
157,1,industry,put,[thought]
158,1,i,show,[you]
159,1,i,mean,[what]
160,1,interface,used,[what]
161,1,you,put,[mac]
162,1,i,had,[privilege]
163,1,guy,had,[headset]
164,1,they,collect,"[user, stories]"
165,1,they,pass,[them]
166,1,they,do,[which]
167,1,i,have,[copy]
168,1,you,mean,[what]
169,1,i,tell,[you]
170,1,it,squeaks,[it]
171,1,i,move,[it]
172,1,you,got,[mouse]
173,1,laughter,said,"[click, here, to, continue]"
174,1,you,like,[one]
175,1,we,got,[time]
176,1,computer,crashed,[technician]
177,1,he,told,[technician]
178,1,he,restart,[it]
179,1,he,typed,[11]
180,1,you,typing,"[11, laughter]"
181,1,message,says,"[error, type, 11]"
182,1,gadgets,getting,"[tinier, tinier]"
183,1,fingers,staying,[size]
184,1,it,gets,"[to, be, more, and, more, of, a, challenge]"
185,1,you,buy,[piece]
186,1,you,own,[it]
187,1,you,pay,[dues]
188,1,we,added,[features]
189,1,we,sell,[it]
190,1,i,know,[guy]
191,1,who,spent,"[4,000]"
192,1,companies,make,[percent]
193,1,i,call,[it]
194,1,you,improve,[piece]
195,1,you,ruin,[it]
196,1,microsoft,did,[experiment]
197,1,they,said,"[well, ,, wait, a, minute]"
198,1,we,adding,[features]
199,1,'s,create,"[word, processor]"
200,1,one,bought,[it]
201,1,i,call,[this]
202,1,people,like,"[to, surround, themselves, with, unnecessary, power]"
203,1,they,need,"[database, website]"
204,1,i,need,[that]
205,1,you,add,[features]
206,1,they,going,"[to, go]"
207,1,you,going,"[to, stick, them]"
208,1,you,have,"[design, tools]"
209,1,you,do,[buttons]
210,1,you,do,"[sliders, menus, sub, -, menus]"
211,1,you,have,[that]
212,1,you,opened,[toolbars]
213,1,you,have,"[to, type, in]"
214,1,you,have,"[to, do, two, dimensions]"
215,1,word,bulleting,[lists]
216,1,word,underlining,[links]
217,1,i,telling,[you]
218,1,part,knowing,"[when, to, use, which, one, of, these, features]"
219,1,you,need,"[that, to, collapse, the, choices]"
220,1,they,put,[them]
221,1,applause,thank,[you]
222,1,i,designed,"[dialogue, box]"
223,1,microsoft,have,[approach]
224,1,approach,tends,"[to, be, :, let, 's, break, it, down]"
225,1,'s,break,[it]
226,1,'s,click,"[to, continue]"
227,1,laughter,choose,[letter]
228,1,you,want,"[to, type]"
229,1,we,want,"[that, to, cross]"
230,1,trash,folder,"[label, things]"
231,1,i,beg,"[to, break, all, those, rules, if, they, violate, the, biggest, rule, of, all, ,, which, is, intelligence]"
232,1,they,violate,[rule]
233,1,i,mean,[what]
234,1,i,going,"[to, give, you, some, examples, where, intelligence, makes, something, not, consistent]"
235,1,you,buying,[something]
236,1,you,supposed,"[to, put, in, your, address]"
237,1,you,supposed,"[to, choose, what, country, you, 're, from]"
238,1,we,like,"[to, think, of, the, internet, as, a, global, village]"
239,1,you,have,"[to, scroll, ,, like, ,, seven, screensful, to, get, to, it]"
240,1,one,touched,"[windows, pc]"
241,1,you,shut,"[windows, pc]"
242,1,you,have,[printer]
