,subject,verb,object
0,i,blow,[conference]
1,i,want,"[to, thank, all, of, you, for, the, many, nice, comments, about, what, i, had, to, say, the, other, night]"
2,i,need,[that]
3,laughter,put,[yourselves]
4,i,fly,[two]
5,i,have,"[to, take, off, my, shoes, or, boots, to, get, on, an, airplane]"
6,i,tell,[story]
7,i,leave,"[the, white, house]"
8,i,look,[me]
9,it,hit,[me]
10,we,start,"[looking, for, a, place, to, eat]"
11,we,get,"[to, exit, 238, ,, lebanon, ,, tennessee]"
12,we,find,[restaurant]
13,who,know,[it]
14,we,go,[commotion]
15,waitress,sit,[commotion]
16,waitress,come,[commotion]
17,we,make,[commotion]
18,she,take,[order]
19,she,go,"[order, voice]"
20,she,lower,[voice]
21,i,have,"[to, really, strain, to, hear, what, she, was, saying]"
22,she,say,[what]
23,i,begin,[speech]
24,i,tell,[it]
25,i,share,[it]
26,i,drive,"[ourselves, restaurant, chain]"
27,man,say,[what]
28,i,give,[speech]
29,they,open,[door]
30,he,wave,[piece]
31,he,yell,[piece]
32,it,turn,"[to, be]"
33,one,write,[story]
34,i,open,"[cost, family, restaurant]"
35,we,run,[it]
36,one,have,[me]
37,tipper,say,[burger]
38,i,get,[letter]
39,we,like,"[to, celebrate, each, other, 's, successes, in, life]"
40,i,go,"[to, talk, about, information, ecology]"
41,i,plan,"[to, make, a, lifelong, habit, of, coming, back, to, ted]"
42,i,want,"[to, focus, on, what, many, of, you, have, said, you, would, like, me, to, elaborate, on]"
43,you,like,"[what, me]"
44,you,do,[what]
45,i,want,"[to, start, with, a, couple, of]"
46,i,go,"[to, show, some, new, images]"
47,i,go,"[to, recapitulate, just, four, or, five]"
48,i,update,"[slide, show]"
49,i,give,[it]
50,i,add,[images]
51,i,learn,[more]
52,i,give,[it]
53,you,find,[shells]
54,we,get,"[temperature, records]"
55,you,want,[news]
56,i,go,"[to, go, into, new, material, about, what, you, can, do]"
57,i,want,"[to, elaborate, on, a, couple, of, these]"
58,we,project,"[to, go, with, the, u.s, ., contribution, to, global, warming, ,, under, business, as, usual]"
59,you,put,[it]
60,we,have,[standards]
61,we,address,[that]
62,renewables,make,[difference]
63,wedge,go,"[to, grow, much, more, rapidly, than, the, current, projection, shows, it]"
64,projection,show,[it]
65,that,enable,[us]
66,you,do,[what]
67,i,mention,[automobiles]
68,you,have,[choices]
69,that,have,"[effect, effect]"
70,i,love,"[to, get, your, advice, and, help, on, how, to, say, this, in, a, way, that, connects, with, the, most, people]"
71,lot,make,[decision]
72,it,mean,"[reduce, your, carbon, dioxide, emissions, with, the, full, range, of, choices, that, you, make, ,, and, then, purchase, or, acquire, offsets, for, the, remainder, that, you, have, not, completely, reduced]"
73,you,make,[that]
74,it,mean,[what]
75,you,calculate,[options]
76,you,give,[options]
77,this,update,[purchases]
78,this,click,[purchases]
79,some,do,[that]
80,majora,mention,[this]
81,you,invest,[money]
82,you,compensate,[who]
