,subject,verb,object,TalkID
0,i,blow,[conference],1
1,i,want,"[to, thank, all, of, you, for, the, many, nice, comments, about, what, i, had, to, say, the, other, night]",1
2,i,need,[that],1
3,laughter,put,[yourselves],1
4,i,have,"[to, take, off, my, shoes, or, boots, to, get, on, an, airplane]",1
5,i,tell,[story],1
6,i,leave,"[white, house]",1
7,i,look,[me],1
8,it,hit,[me],1
9,we,start,"[looking, for, a, place, to, eat]",1
10,we,get,"[to, exit, 238, ,, lebanon, ,, tennessee]",1
11,we,find,[restaurant],1
12,who,know,[it],1
13,we,go,[commotion],1
14,waitress,sit,[commotion],1
15,waitress,come,[commotion],1
16,we,make,[commotion],1
17,she,take,[order],1
18,she,go,"[order, voice]",1
19,she,lower,[voice],1
20,i,have,"[to, really, strain, to, hear, what, she, was, saying]",1
21,she,say,[what],1
22,i,get,"[to, fly, to, africa, to, make, a, speech, in, nigeria, ,, in, the, city, of, lagos, ,, on, the, topic, of, energy]",1
23,i,begin,[speech],1
24,i,tell,[it],1
25,i,share,[it],1
26,i,drive,[ourselves],1
27,man,say,[what],1
28,i,give,[speech],1
29,they,open,[door],1
30,he,wave,[piece],1
31,he,yell,"[call, washington]",1
32,it,turn,"[to, be]",1
33,one,write,[story],1
34,it,print,[story],1
35,story,begin,[it],1
36,i,open,"[cost, family, restaurant]",1
37,we,run,[it],1
38,one,have,[me],1
39,tipper,say,[burger],1
40,i,get,[letter],1
41,we,like,"[to, celebrate, each, other, 's, successes, in, life]",1
42,i,go,"[to, talk, about, information, ecology]",1
43,i,plan,"[to, make, a, lifelong, habit, of, coming, back, to, ted]",1
44,i,want,"[to, focus, on, what, many, of, you, have, said, you, would, like, me, to, elaborate, on]",1
45,you,like,[what],1
46,you,do,[what],1
47,i,want,"[to, start, with, a, couple, of]",1
48,i,go,"[to, show, some, new, images]",1
49,i,go,"[to, recapitulate, just, four, or, five]",1
50,i,update,"[slide, show]",1
51,i,give,[it],1
52,i,add,[images],1
53,i,learn,[more],1
54,i,give,[it],1
55,you,find,[shells],1
56,we,get,"[temperature, records]",1
57,you,want,[news],1
58,i,go,"[to, go, into, new, material, about, what, you, can, do]",1
59,i,want,"[to, elaborate, on, a, couple, of, these]",1
60,we,project,"[to, go, with, the, u.s, ., contribution, to, global, warming, ,, under, business, as, usual]",1
61,you,put,[it],1
62,we,have,[standards],1
63,we,address,[that],1
64,renewables,make,[difference],1
65,wedge,go,"[to, grow, much, more, rapidly]",1
66,projection,show,[it],1
67,that,enable,[us],1
68,you,do,[what],1
69,i,mention,[automobiles],1
70,i,buy,[hybrid],1
71,you,have,[choices],1
72,that,have,"[effect, effect]",1
73,this,make,[decision],1
74,i,love,"[to, get, your, advice, and, help, on, how, to, say, this, in, a, way, that, connects, with, the, most, people]",1
75,lot,make,[decision],1
76,it,mean,"[reduce, your, carbon, dioxide, emissions, with, the, full, range, of, choices, that, you, make, ,, and, then, purchase, or, acquire, offsets, for, the, remainder, that, you, have, not, completely, reduced]",1
77,you,make,[that],1
78,you,reduce,[that],1
79,it,mean,[what],1
80,you,calculate,[options],1
81,you,give,[options],1
82,this,update,[purchases],1
83,we,have,[purchases],1
84,some,do,[that],1
85,majora,mention,[this],1
86,you,invest,[money],1
87,you,compensate,[who],1
88,you,pay,[them],1
89,they,go,"[how, much, to, get, paid, on, your, capital, that, they, 've, invested, ,, based, on, the, short, -, term, returns]",1
90,they,invest,[that],1
91,you,go,"[to, get, short, -, term, decisions]",1
92,many,have,[opportunity],1
93,lot,see,[it],1
94,i,go,"[to, train, people, to, give, this, slideshow, —, re]",1
95,they,mean,[what],1
96,i,go,"[to, be, conducting, a, course, this, summer, for, a, group, of, people, that, are, nominated, by, different, folks, to, come]",1
97,that,nominate,"[folks, to, come]",1
98,i,give,[masse],1
99,we,go,"[to, update, the, slideshow, for, all, of, them, every, single, week, ,, to, keep, it, right, on, the, cutting, edge]",1
100,people,remix,[it],1
101,people,do,[it],1
102,anybody,get,[idea],1
103,i,try,"[to, convince, you, to, be, a, democrat]",1
104,we,need,[republicans],1
105,this,use,"[to, be, a, bipartisan, issue]",1
106,i,know,"[to, be, a, bipartisan, issue]",1
107,democracy,work,[way],1
108,it,suppose,"[to, work]",1
109,you,have,[liability],1
110,you,urge,[ceo],1
111,market,work,"[to, solve, this, problem]",1
112,we,accomplish,[this],1
113,we,have,"[to, change, the, minds, of, the, american, people]",1
114,politicians,have,[permission],1
115,what,need,"[to, be, done]",1
116,role,include,"[mediating, between, wealth, and, power, the, way, it, once, did]",1
117,we,have,"[to, buy, a, lot, of, those, ads]",1
118,'s,re,[warming],1
119,i,like,"[climate, crisis]",1
120,i,need,[help],1
121,somebody,say,[test],1
122,scientist,tell,[me],1
123,you,have,[influence],1
124,i,appreciate,[it],1
125,i,ignore,[warning],7
126,dinner,grow,[mold],7
127,dinner,grow,[mold],7
128,i,punch,"[touch, tone]",7
129,i,spend,[hours],7
130,software,crash,[mac],7
131,it,erase,[roms],7
132,mac,make,[sounds],7
133,you,call,[9],7
134,you,pray,[9],7
135,you,get,[me],7
136,music,thank,[you],7
137,who,use,"[to, be, a, broadway, accompanist]",7
138,i,offer,"[times, column]",7
139,you,send,"[coolest, hottest, slickest]",7
140,you,get,"[to, try, them, out, ,]",7
141,you,play,"[to, try, them, out, ,, them]",7
142,you,evaluate,[them],7
143,you,have,"[to, send, them, back]",7
144,you,pay,"[to, try, them, out, ,, them]",7
145,i,love,[it],7
146,job,come,"[to, publish, my, email, address, at, the, end, of, every, column]",7
147,they,intend,"[to, publish, my, email, address, at, the, end, of, every, column]",7
148,i,notice,[what],7
149,you,get,[amount],7
150,you,get,"[hundreds, hundreds, hundreds]",7
151,i,get,[lot],7
152,you,see,[it],7
153,i,write,[column],7
154,i,call,[it],7
155,me,tell,[you],7
156,whoever,figure,"[how, to, make, money, off, of, this, frustration]",7
157,industry,put,[thought],7
158,i,show,[you],7
159,i,mean,[what],7
160,interface,use,[what],7
161,you,put,[mac],7
162,i,have,[privilege],7
163,guy,have,[headset],7
164,they,collect,"[user, stories]",7
165,they,pass,[them],7
166,they,do,[which],7
167,i,have,[copy],7
168,you,mean,[what],7
169,i,tell,[you],7
170,it,squeak,[it],7
171,i,move,[it],7
172,you,get,[mouse],7
173,laughter,say,"[click, here, to, continue]",7
174,you,like,[one],7
175,we,get,[time],7
176,computer,crash,[technician],7
177,he,tell,[technician],7
178,he,restart,[it],7
