,subject,verb,object
0,development,save,[us]
1,she,turned,"[to, be, a, much, bigger, dog, than, i, 'd, anticipated]"
2,part,handled,[percent]
3,that,bring,"[truck, trips]"
4,area,has,[one]
5,i,contacted,"[parks, department]"
6,i,mentioned,[that]
7,she,pulled,[me]
8,she,were,"[dragging, me, ,, and, lo, and, behold, ,, at, the, end, of, that, lot]"
9,i,mention,[that]
10,she,kept,"[dragging, me, ,, and, lo, and, behold, ,, at, the, end, of, that, lot]"
11,this,forgotten,"[street, end]"
12,that,brought,[me]
13,it,grow,"[to, become, the, proud, beginnings, of, the, community, -, led, revitalization, of, the, new, south, bronx]"
14,we,garnered,[support]
15,park,became,[support]
16,bronx,had,[that]
17,seed,grant,[times]
18,i,going,"[to, exchange, marriage, vows, with, my, beloved]"
19,him,pressing,[buttons]
20,he,does,"[which, time]"
21,we,feel,[problems]
22,justice,goes,[something]
23,one,find,[stuff]
24,one,find,[stuff]
25,pollution,poses,[risk]
26,i,do,[which]
27,decisions,created,[conditions]
28,someone,leave,[home]
29,one,has,[asthma]
30,impacts,coming,[way]
31,we,pay,"[health, problems, cost]"
32,who,possess,[amounts]
33,citizens,use,"[room, visits]"
34,this,comes,[benefits]
35,this,produces,[benefits]
36,that,compromise,[lives]
37,none,want,[that]
38,we,have,[that]
39,we,have,[what]
40,laughter,graduated,"[school, college, degrees]"
41,laughter,traveled,"[school, college, degrees, kids]"
42,laughter,have,[kids]
43,i,watched,[half]
44,things,set,[me]
45,dad,bought,[house]
46,he,married,[mom]
47,others,pursued,[version]
48,lining,used,[banks]
49,sections,deemed,"[off, limits]"
50,residents,had,"[work, home]"
51,moses,spearheaded,"[expansion, campaign]"
52,bronx,stand,[chance]
53,residents,given,[notice]
54,nothing,going,"[to, come, from, your, community]"
55,degradation,begets,[degradation]
56,which,begets,[degradation]
57,disinvestment,set,[stage]
58,regulations,used,"[to, continue, putting, polluting, facilities, in, my, neighborhood]"
59,that,have,[interests]
60,i,told,[you]
61,i,wrote,"[dollar, transportation, grant]"
62,improvements,help,"[inform, public, policy, regarding, traffic, safety, ,, the, placement, of, the, waste, and, other, facilities, ,, which, ,, if, done, properly, ,, do, n't, compromise, a, community, 's, quality, of, life]"
63,which,compromise,[quality]
64,they,provide,"[opportunities, development]"
65,we,secured,[dollars]
66,that,redesigned,[mathews]
67,it,connect,[bronx]
68,we,separated,[feet]
69,link,change,[that]
70,we,nurture,[environment]
71,we,run,[project]
72,which,provides,"[job, training]"
73,folks,have,[skills]
74,we,seeding,[area]
75,that,have,[stake]
76,that,divided,[it]
77,community,created,"[transportation, plan]"
78,we,have,[opportunity]
79,we,built,[project]
80,that,absorb,[heat]
81,that,absorb,[heat]
82,roofs,retain,[percent]
83,they,reduce,[need]
84,they,provide,[habitats]
85,i,like,[that]
86,i,know,[investors]
87,chris,told,[us]
88,i,have,[all]
89,we,need,[investors]
90,both,populated,[people]
91,we,take,[steps]
92,presentation,represents,[some]
93,i,tell,[you]
94,you,want,"[to, know]"
95,that,motivates,[people]
96,i,like,[what]
97,development,produce,[that]
98,that,have,[potential]
99,parade,going,"[to, propose, big, -, box, and, stadium, developments, in, the, south, bronx]"
100,team,replacing,[house]
101,we,have,[less]
102,i,told,[you]
103,percent,own,[cars]
104,projects,include,[thousands]
105,'s,get,[straight]
106,i,embraced,[capitalist]
107,you,have,[to]
108,you,need,[to]
109,i,have,[problem]
110,development,make,[fortune]
111,you,do,[that]
112,i,have,[problem]
113,we,create,[that]
114,'s,take,[bogota]
115,you,do,[something]
116,administration,narrowed,[thoroughfares]
117,administration,outlawed,[parking]
118,administration,expanded,"[pedestrian, walkways, bike, lanes]"
119,administration,created,[plazas]
120,administration,created,[one]
121,people,began,"[to, see, that, they, were, being, put, first, on, issues, reflecting, their, day, -, to, -, day, lives]"
122,people,stopped,[littering]
123,administration,attacked,[problems]
124,we,have,[excuse]
125,agenda,meant,"[to, penalize, those, who, could, actually, afford, cars, to, provide, opportunities, for, all, bogotanos, to, participate, in, the, city, 's, resurgence]"
126,who,afford,[cars]
127,example,has,[power]
128,you,value,[information]
129,i,trying,"[to, build]"
130,me,democratize,[sustainability]
131,i,have,[time]
132,i,asked,[him]
133,activists,going,"[to, be, included, in, his, new, marketing, strategy]"
134,what,troubled,[me]
135,we,need,[money]
136,gore,reminded,[us]
137,who,have,"[audacity, courage]"
138,we,change,[world]
139,we,come,[me]
140,we,believe,[me]
141,we,share,[thing]
142,we,have,[nothing]
143,i,came,[myself]
144,mother,washing,[dishes]
145,father,reading,"[paper, something]"
146,i,presented,[myself]
147,they,said,[myself]
148,that,means,[what]
149,i,going,"[to, have, a, party, and, a, cake, and, get, a, lot, of, presents]"
150,you,reached,[age]
151,i,heard,[phrase]
152,kevin,bandying,[it]
153,she,said,[it]
154,i,paid,[attention]
155,that,mean,[what]
156,kids,know,[difference]
157,you,grown,"[age, keeping, notes, on, you, record]"
158,you,reached,[age]
159,god,start,"[keeping, notes, on, you]"
160,you,begin,[record]
161,god,notice,[it]
162,i,noticed,[it]
163,i,known,[this]
164,they,telling,[me]
165,i,realized,[information]
166,mother,said,"[stop, it]"
167,'s,tell,[her]
168,parents,had,[story]
169,santa,delivering,[presents]
170,he,did,[thing]
171,who,got,"[to, open, their, surprises]"
172,family,give,[time]
173,santa,come,[fuss]
174,kids,make,[fuss]
175,parents,giving,[presents]
176,dad,had,"[wrapping, style]"
177,santa,save,[time]
178,claus,come,[visit]
179,parents,trying,"[to, protect, us, from, the, embarrassment]"
180,'s,face,[it]
181,i,left,[kitchen]
182,i,dumbfounded,[kitchen]
183,i,missed,[age]
184,i,help,[someone]
185,who,use,[information]
186,they,had,"[to, fit, two, criteria]"
187,they,had,"[to, be, old, enough, to, be, able, to, understand, the, whole, concept, of, the, age, of, reason, ,, and, not, yet, seven]"
188,i,found,[bill]
189,i,ran,[bill]
190,i,said,[bill]
191,you,turn,[seven]
192,you,have,[year]
193,god,notice,[it]
194,i,turned,"[to, run]"
195,i,know,[it]
196,i,turning,[seven]
197,i,planned,"[slumber, party]"
198,mother,took,[me]
199,i,need,"[to, speak, to, you, privately]"
200,she,said,[listen]
201,i,told,[them]
202,you,going,"[to, go]"
203,i,started,"[to, tell, you, your, birthday, was, september, 10th]"
204,i,think,[what]
205,she,said,"[do, n't, worry, ,, julie]"
206,you,realize,[it]
207,you,ate,[piece]
208,mother,celebrating,[birthday]
209,i,had,"[to, change, the, date, of, my, slumber, party, with, all, of, my, girlfriends]"
210,i,had,"[virgo, poster]"
211,i,read,[horoscope]
212,i,took,"[bus, downtown]"
213,i,started,"[filling, out, physically]"
214,i,filling,[more]
215,idea,seemed,[more]
216,i,got,"[libra, poster]"
217,i,started,"[to, read, my, new, libra, horoscope]"
218,i,astonished,"[to, find, that, it, was, also, totally, me]"
219,i,turning,[seven]
220,i,turned,[seven]
221,i,had,[month]
222,i,wanted,[to]
223,god,started,"[keeping, tabs, on, me]"
224,i,live,[thoroughfare]
225,who,peddling,[things]
226,i,get,[ladies]
