,subject,verb,object,TalkID
0,development,save,[us],53
1,she,turn,"[to, be, a, much, bigger, dog, than, i, 'd, anticipated]",53
2,part,handle,[percent],53
3,that,bring,"[truck, trips]",53
4,area,have,[one],53
5,i,contact,"[parks, department]",53
6,i,mention,[that],53
7,she,pull,[me],53
8,she,be,"[dragging, me]",53
9,i,mention,[that],53
10,she,keep,"[dragging, me]",53
11,this,forget,"[street, end]",53
12,that,bring,[me],53
13,it,grow,"[to, become, the, proud, beginnings, of, the, community, -, led, revitalization, of, the, new, south, bronx]",53
14,we,garner,[support],53
15,hunts,point,[support],53
16,bronx,have,[that],53
17,i,go,"[to, exchange, marriage, vows, with, my, beloved]",53
18,whistles,thank,[you],53
19,him,press,[buttons],53
20,he,do,[which],53
21,we,feel,[problems],53
22,justice,go,[something],53
23,one,find,[stuff],53
24,one,find,[stuff],53
25,pollution,pose,[risk],53
26,i,do,[which],53
27,decisions,create,[conditions],53
28,someone,leave,[home],53
29,one,have,[asthma],53
30,impacts,come,[way],53
31,who,possess,[amounts],53
32,citizens,use,"[room, visits]",53
33,this,come,[benefits],53
34,this,produce,[benefits],53
35,that,compromise,[lives],53
36,none,want,[that],53
37,we,have,[that],53
38,we,have,[what],53
39,laughter,graduate,[degrees],53
40,laughter,travel,"[degrees, kids]",53
41,laughter,have,[kids],53
42,i,watch,[half],53
43,things,set,[me],53
44,dad,buy,"[house, point, section]",53
45,he,marry,[mom],53
46,others,pursue,[version],53
47,lining,use,[banks],53
48,residents,have,"[work, home]",53
49,moses,spearhead,"[expansion, campaign]",53
50,bronx,stand,[chance],53
51,residents,give,[notice],53
52,nothing,go,"[that, to, come, from, your, community]",53
53,degradation,beget,[degradation],53
54,which,beget,[degradation],53
55,disinvestment,set,[stage],53
56,regulations,use,"[to, continue, putting, polluting, facilities, in, my, neighborhood]",53
57,that,have,[interests],53
58,we,realize,[that],53
59,i,tell,[you],53
60,i,write,"[dollar, transportation, grant]",53
61,improvements,help,"[inform, public, policy, regarding, traffic, safety]",53
62,which,compromise,[quality],53
63,they,provide,[opportunities],53
64,we,secure,[dollars],53
65,that,redesign,[mathews],53
66,it,connect,[bronx],53
67,we,separate,[that],53
68,link,change,[that],53
69,we,nurture,[environment],53
70,we,run,"[project, stewardship, training]",53
71,which,provide,"[job, training]",53
72,folks,have,[skills],53
73,we,seed,[area],53
74,that,have,[stake],53
75,that,divide,[it],53
76,community,create,"[transportation, plan]",53
77,we,have,[opportunity],53
78,we,build,"[demonstration, project]",53
79,that,absorb,[heat],53
80,that,absorb,[heat],53
81,roofs,retain,[percent],53
82,they,reduce,[need],53
83,they,provide,[habitats],53
84,i,like,[that],53
85,chris,tell,[us],53
86,i,have,[all],53
87,we,need,[investors],53
88,ward,have,[lot],53
89,both,populate,[people],53
90,that,host,"[industries, residents]",53
91,we,take,[steps],53
92,presentation,represent,[some],53
93,i,tell,[you],53
94,you,want,"[to, know]",53
95,that,motivate,[people],53
96,i,like,[what],53
97,development,produce,[that],53
98,that,have,[potential],53
99,parade,go,"[to, propose, big, -, box, and, stadium, developments, in, the, south, bronx]",53
100,team,replace,[house],53
101,we,have,[less],53
102,i,tell,[you],53
103,percent,own,[cars],53
104,projects,include,[thousands],53
105,'s,get,[straight],53
106,i,embrace,[capitalist],53
107,i,have,[laughter],53
108,you,have,[to],53
109,you,need,[to],53
