subject,verb,object
development,save,[us]
She,turned,"[to, be, a, much, bigger, dog, than, I, 'd, anticipated]"
part,handled,[percent]
that,bring,"[truck, trips]"
area,has,[one]
I,contacted,"[Parks, Department]"
I,mentioned,[that]
she,pulled,[me]
she,were,"[dragging, me]"
I,mention,[that]
she,kept,"[dragging, me]"
that,brought,[me]
it,grow,"[to, become, the, proud, beginnings, of, the, community, -, led, revitalization, of, the, new, South, Bronx]"
We,garnered,[support]
Park,became,[support]
Bronx,had,[that]
seed,grant,[times]
I,going,"[to, exchange, marriage, vows, with, my, beloved]"
him,pressing,[buttons]
he,does,"[which, time]"
We,feel,[problems]
justice,goes,[something]
one,find,[stuff]
one,find,[stuff]
pollution,poses,[risk]
I,do,[which]
decisions,created,[conditions]
someone,leave,[home]
children,has,[asthma]
we,pay,"[health, problems]"
who,possess,[amounts]
citizens,use,"[room, visits]"
This,comes,[benefits]
This,produces,[benefits]
that,compromise,[lives]
None,want,[that]
we,have,[that]
we,have,[what]
I,watched,[half]
things,set,[me]
dad,bought,[house]
he,married,[mom]
others,pursued,[version]
lining,used,[banks]
sections,deemed,"[off, limits]"
residents,had,"[work, home]"
Moses,spearheaded,"[expansion, campaign]"
Bronx,stand,[chance]
Residents,given,[less]
nothing,going,"[to, come, from, your, community]"
degradation,begets,[degradation]
which,begets,[degradation]
disinvestment,set,[stage]
regulations,used,"[to, continue, putting, polluting, facilities, in, my, neighborhood]"
that,have,[interests]
we,realized,[that]
I,told,[you]
I,wrote,"[dollar, transportation, grant]"
improvements,inform,"[policy, placement]"
which,compromise,[quality]
They,provide,"[opportunities, development]"
We,secured,[dollars]
that,redesigned,"[Nielsen, Landscape, Architects]"
it,connect,"[South, Bronx]"
we,separated,[feet]
link,change,[that]
we,nurture,[environment]
abundance,give,[us]
We,run,[project]
which,provides,"[job, training]"
folks,have,[skills]
we,seeding,[area]
that,have,[stake]
that,divided,[it]
community,created,"[transportation, plan]"
We,have,[opportunity]
We,built,"[demonstration, project]"
that,absorb,[heat]
that,absorb,[heat]
roofs,retain,[percent]
they,reduce,[need]
they,provide,[habitats]
I,like,[that]
Chris,told,[us]
I,have,[all]
We,need,[investors]
Ward,had,[lot]
Both,populated,"[people, hotbeds]"
that,host,"[industries, residents]"
we,take,[steps]
I,expect,"[individuals, corporations, government]"
presentation,represents,[some]
I,tell,[you]
you,want,"[to, know]"
that,motivates,[people]
I,like,[what]
development,produce,[that]
that,have,[potential]
parade,going,"[to, propose, big, -, box, and, stadium, developments, in, the, South, Bronx]"
team,replacing,[House]
Ruth,Built,[That]
we,have,[less]
I,told,[you]
percent,own,[cars]
projects,include,[thousands]
's,get,[straight]
I,embraced,[capitalist]
you,need,[to]
I,have,[problem]
developers,making,[money]
development,make,[fortune]
you,do,[that]
I,have,[problem]
that,exploit,[communities]
we,create,[that]
one,remind,[myself]
's,take,[Bogota]
you,do,[something]
administration,narrowed,[thoroughfares]
administration,outlawed,[parking]
administration,expanded,"[pedestrian, walkways, bike, lanes]"
administration,created,[plazas]
administration,created,[one]
people,began,"[to, see, that, they, were, being, put, first, on, issues, reflecting, their, day, -, to, -, day, lives]"
People,stopped,[littering]
administration,attacked,[problems]
We,have,[excuse]
agenda,meant,"[to, penalize, those, who, could, actually, afford, cars]"
who,afford,[cars]
agenda,provide,[opportunities]
example,has,[power]
you,value,[information]
I,trying,"[to, build]"
me,democratize,[sustainability]
I,have,[time]
I,asked,[him]
activists,going,"[to, be, included, in, his, new, marketing, strategy]"
What,troubled,[me]
we,need,[money]
Gore,reminded,"[that, us]"
who,have,"[audacity, courage]"
we,change,[world]
We,come,"[me, thing]"
We,believe,[me]
we,share,[thing]
We,have,"[nothing, everything]"
I,came,[myself]
mother,washing,[dishes]
father,reading,"[paper, something]"
I,presented,[myself]
they,said,[myself]
that,means,[what]
I,going,"[to, have, a, party, and, a, cake, and, get, a, lot, of, presents]"
you,reached,[age]
I,heard,[phrase]
Kevin,bandying,[it]
she,said,[it]
I,paid,[attention]
that,mean,[What]
kids,know,[difference]
you,grown,"[age, keeping, notes, on, you, record]"
you,reached,[age]
God,start,"[keeping, notes, on, you]"
you,begin,[record]
God,notice,[it]
I,noticed,[it]
I,known,[this]
they,telling,[me]
I,realized,[information]
mother,said,"[Oh, ,, Bob, ,, stop, it]"
's,tell,[her]
parents,had,[story]
Santa,delivering,[presents]
