,subject,verb,object
0,I,contacted,"[Parks, Department]"
1,I,mentioned,[that]
2,I,mention,[that]
3,I,going,"[to, exchange, marriage, vows, with, my, beloved]"
4,I,do,[which]
5,I,watched,[half]
6,I,told,[you]
7,I,wrote,"[dollar, transportation, grant]"
8,I,like,[that]
9,I,have,[all]
10,I,expect,"[individuals, corporations, government]"
11,I,tell,[you]
12,I,like,[what]
13,I,told,[you]
14,I,embraced,[capitalist]
15,I,have,[problem]
16,I,have,[problem]
17,I,trying,"[to, build]"
18,I,have,[time]
19,I,asked,[him]
20,We,garnered,[support]
21,We,feel,[problems]
22,We,secured,[dollars]
23,We,run,[project]
24,We,have,[opportunity]
25,We,built,"[demonstration, project]"
26,We,need,[investors]
27,We,have,[excuse]
28,We,come,"[me, thing]"
29,We,believe,[me]
30,We,have,"[nothing, everything]"
31,we,pay,"[health, problems]"
32,we,have,[that]
33,we,have,[what]
34,we,realized,[that]
35,we,separated,[feet]
36,we,nurture,[environment]
37,we,seeding,[area]
38,we,take,[steps]
39,we,have,[less]
40,we,create,[that]
41,we,need,[money]
42,we,change,[world]
43,we,share,[thing]
44,She,turned,"[to, be, a, much, bigger, dog, than, I, 'd, anticipated]"
45,she,pulled,[me]
46,she,were,"[dragging, me]"
47,she,kept,"[dragging, me]"
48,he,does,"[which, time]"
49,he,married,[mom]
50,I,came,[myself]
51,I,presented,[myself]
52,I,going,"[to, have, a, party, and, a, cake, and, get, a, lot, of, presents]"
53,I,heard,[phrase]
54,I,paid,[attention]
55,I,noticed,[it]
56,I,known,[this]
57,I,realized,[information]
58,I,left,[kitchen]
59,I,missed,[age]
60,I,help,[someone]
61,I,found,[Bill]
62,I,turned,"[to, run]"
63,I,turned,"[it, seven]"
64,I,said,"[it, seven]"
65,I,know,[it]
66,I,turning,[seven]
67,I,planned,[party]
68,I,need,"[to, speak, to, you, privately]"
69,I,told,[them]
70,I,started,"[to, tell, you, your, birthday, was, September, 10th]"
71,I,had,"[to, change, the, date, of, my, slumber, party, with, all, of, my, girlfriends]"
72,I,had,"[Virgo, poster]"
73,I,read,[horoscope]
74,I,took,"[bus, downtown]"
75,I,started,"[filling, out, physically]"
76,I,filling,[more]
77,I,got,"[Libra, poster]"
78,I,started,"[to, read, my, new, Libra, horoscope]"
79,I,astonished,"[to, find, that, it, was, also, totally, me]"
80,I,turning,[seven]
81,I,turned,[seven]
82,I,had,[month]
83,I,get,[ladies]
84,I,get,[teenagers]
85,I,buy,"[magazine, subscriptions]"
86,I,ignore,[doorbell]
87,I,answered,[doorbell]
88,I,said,[message]
89,I,raised,"[them, doctrine, what]"
90,I,worked,"[them, doctrine, what]"
91,I,dated,[them]
92,I,knew,[doctrine]
93,I,guess,"[them, doctrine, what]"
94,I,sat,[them]
95,I,got,[glasses]
96,I,got,[it]
97,I,got,[it]
98,I,got,[glasses]
99,I,sat,[them]
100,I,got,[glasses]
101,I,believe,"[word, heart, word]"
102,I,like,"[word, heart]"
103,I,like,[word]
104,I,want,"[to, argue, semantics, with, these, boys]"
105,I,Put,[family]
106,I,lead,[you]
107,I,wanted,"[to, give, these, two, boys, some, advice, about, their, pitch]"
108,I,wanted,"[to, say, —]"
109,I,said,[little]
110,I,thought,[this]
111,I,backpedaled,[little]
112,I,said,"[Oh, ,, come, on]"
113,I,have,[uterus]
114,I,had,[cancer]
115,I,get,[uterus]
116,I,said,"[Book, me]"
117,I,think,"[Book, me]"
118,I,said,[something]
119,I,had,"[to, be, honest, with, myself]"
120,I,hearing,"[theology, dogma]"
121,I,feel,[it]
122,I,feel,[love]
123,I,feel,"[consoled, and, cared, for]"
124,I,take,[shelter]
125,I,feel,[shelter]
126,I,felt,[what]
127,we,have,[story]
128,she,said,[it]
129,she,meant,[what]
130,she,said,"[Do, n't, worry, ,, Julie]"
131,she,had,[baby]
132,He,led,[them]
133,he,stopped,[Nephites]
134,he,visited,[Nephites]
135,he,told,[them]
136,he,buried,[which]
137,he,found,[stone]
138,he,put,[that]
139,he,buried,[face]
140,I,help,"[to, think, about, when, you, 're, a, little, kid, you]"
141,I,wish,"[to, think, about, when, you, 're, a, little, kid]"
142,I,want,[wish]
143,I,going,"[to, wish, for, that]"
144,I,like,[what]
145,I,met,[lot]
146,I,filmed,[some]
147,I,like,"[what, to, talk, about, today]"
148,I,going,"[to, show, you, slides, of, the, exchange, student]"
149,I,know,[everybody]
150,I,force,[everybody]
151,I,support,[that]
152,I,like,"[to, talk, about, another, way, to, travel]"
153,I,requires,"[movie, camera, projector, screen]"
154,I,going,"[what, to, talk, to, you, about, today]"
155,I,speak,[bit]
156,I,realized,[power]
157,I,needed,"[that, to, do]"
158,I,met,[women]
159,I,began,"[teaching, there]"
160,I,taught,[English]
161,I,met,[women]
162,I,met,[people]
163,I,began,"[to, take, pictures, there]"
164,I,took,[pictures]
165,I,started,"[taking, these, pictures]"
166,I,showing,[sides]
167,I,cut,[donkey]
168,I,put,[photographs]
169,I,saw,[power]
170,I,think,[reaction]
171,I,saw,[that]
172,I,wanted,"[to, use, photography, and, film]"
173,I,made,[film]
174,I,done,[couple]
175,I,watching,[television]
176,I,seemed,"[to, be, just, one, point, of, view, that, was, coming, across]"
177,I,had,"[to, go, there]"
178,I,wanted,"[to, be, in, the, center]"
179,I,had,[plan]
180,I,had,[funding]
181,I,have,[camera]
182,I,wanted,"[to, get, access, to, Al, Jazeera, ,, George, Bush, 's, favorite, channel, ,, and, a, place, which, I, was, very, curious, about, because, it, 's, disliked, by, many, governments, across, the, Arab, world, ,, and, also, called, the, mouthpiece, of, Osama, Bin, Laden, by, some, people, in, the, US, government]"
183,I,got,"[to, go, see, what, this, is, all, about]"
184,I,wanted,"[to, go, see, Central, Command, ,, which, was, 10, minutes, away]"
185,I,get,[access]
186,I,went,[people]
187,I,sat,[people]
188,I,met,[people]
189,I,met,[people]
190,I,like,"[to, share, with, you, a, little, bit, of, that, experience, of, when, you, sit, with, somebody]"
191,I,offered,[job]
192,I,take,[it]
193,I,have,[dream]
194,I,have,[plans]
195,I,send,[them]
196,I,remember,"[having, seen, it, in, the, Al, Jazeera, office]"
197,I,saw,[people]
198,I,showed,[film]
199,I,blown,[motivations]
200,I,saw,[this]
201,I,saw,[anger]
202,I,know,[power]
203,I,have,[Paradise]
