term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
00,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
000,43,54,61,66,62,81,100,73,87,67,52,112,65,74,80,99
000th,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0
01,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
02,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
06,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0
07,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,37,40,57,75,57,76,49,72,62,57,44,64,82,75,47,75
100,18,21,26,23,44,53,43,39,35,20,18,31,33,56,28,50
1000,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0
100th,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0
101,0,0,0,0,0,2,0,0,1,1,2,2,1,2,1,1
102,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
103,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
105,2,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0
109,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10th,0,0,0,1,7,1,0,3,1,3,3,0,0,1,0,0
11,8,16,5,14,15,19,17,8,9,9,20,11,18,28,13,10
110,0,3,1,1,0,0,0,1,0,0,0,2,1,0,1,0
111,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
115,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
117,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
11th,7,1,0,3,1,0,3,1,0,1,2,1,1,0,0,1
12,5,16,9,25,15,11,19,17,10,13,19,22,15,22,18,15
120,3,2,3,0,1,1,2,8,3,6,2,3,2,3,5,5
122,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
125,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0
128,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0
129,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
12th,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,1
13,2,1,1,6,8,7,14,5,8,6,6,6,11,6,10,3
130,1,1,2,2,2,1,0,5,3,2,5,3,3,3,0,7
132,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
135,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2
136,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
137,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2
13th,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
14,3,3,9,11,3,11,9,10,0,10,11,11,15,9,10,14
140,0,0,1,0,1,6,0,2,1,4,3,0,1,1,2,3
