,term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,00,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
1,000th,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0
2,01,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
3,02,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,06,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0
5,07,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,1000,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0
7,100th,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0
8,101,0,0,0,0,0,2,0,0,1,1,2,2,1,2,1,1
9,102,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
10,103,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
11,105,2,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0
12,109,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,10th,0,0,0,1,7,1,0,3,1,3,3,0,0,1,0,0
14,110,0,3,1,1,0,0,0,1,0,0,0,2,1,0,1,0
15,111,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
16,112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18,115,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
19,117,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20,118,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
21,11th,7,1,0,3,1,0,3,1,0,1,2,1,1,0,0,1
22,120,3,2,3,0,1,1,2,8,3,6,2,3,2,3,5,5
23,122,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,124,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25,125,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0
26,128,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0
27,129,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
28,12th,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,1
29,130,1,1,2,2,2,1,0,5,3,2,5,3,3,3,0,7
30,132,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
31,135,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2
32,136,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
33,137,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2
34,13th,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
35,14,3,3,9,11,3,11,9,10,0,10,11,11,15,9,10,14
36,140,0,0,1,0,1,6,0,2,1,4,3,0,1,1,2,3
