,sum
the,498279
and,356967
to,306828
of,277248
that,228804
in,188019
it,177573
you,168888
we,163374
is,150216
this,115530
so,87003
they,75471
was,73746
for,73335
are,67776
have,65895
but,65412
on,62934
what,62721
with,60423
can,56385
about,50763
be,50034
there,49662
as,47892
at,45933
all,45597
not,45552
my,45492
do,42789
one,41835
people,40380
re,40119
like,39309
from,38208
if,37779
our,36903
now,34812
an,33432
just,33390
or,33141
he,32565
when,32538
these,32364
me,31383
because,30051
by,29493
out,28929
very,28440
how,28299
going,27399
them,27276
up,27252
know,26868
more,26595
had,26553
think,25113
who,25017
your,24765
their,24537
would,24417
were,24054
see,23958
which,23307
us,23091
really,22983
ve,22764
here,22764
world,22386
get,22377
laughter,22122
time,22077
then,21255
some,20550
has,19887
don,19446
way,18801
into,18786
will,18708
years,18588
where,18357
actually,18084
could,18036
things,17835
no,17634
other,17331
been,17295
go,16968
want,16917
well,16809
make,16545
she,16398
right,15684
those,15255
first,15036
said,15000
two,14757
something,14724
than,14664
much,14196
new,13545
also,13488
look,13410
over,13290
even,13206
got,13095
applause,13077
thing,13023
most,12990
life,12939
only,12855
back,12765
his,12741
say,12693
little,12465
work,12330
many,12291
take,11991
need,11775
did,11208
every,10890
around,10818
her,10767
lot,10695
why,10671
good,10653
kind,10446
different,10425
let,9975
down,9930
being,9837
through,9783
ll,9732
same,9651
come,9561
day,9351
year,9111
three,9018
thank,8760
use,8742
doing,8592
called,8388
put,8367
human,8220
after,8169
any,8166
tell,8109
today,8091
made,7953
percent,7818
great,7671
change,7602
didn,7365
find,7362
talk,7164
another,7101
last,7101
its,7071
started,7035
own,6999
fact,6963
idea,6948
before,6930
never,6840
together,6672
should,6606
might,6597
big,6597
give,6561
still,6549
better,6525
important,6504
each,6411
part,6387
thought,6378
able,6366
brain,6318
000,6294
off,6264
next,6234
went,6234
long,6189
women,6150
system,6135
does,6099
ago,6042
him,5991
show,5973
story,5952
problem,5943
again,5934
start,5898
few,5877
technology,5847
came,5805
too,5796
place,5754
course,5727
old,5709
love,5706
between,5631
mean,5625
used,5532
end,5478
bit,5412
question,5397
found,5391
maybe,5307
live,5304
always,5133
looking,5112
real,5103
data,5088
ever,5082
may,5082
10,5073
help,5058
doesn,5040
done,5031
believe,5028
feel,5016
wanted,5001
point,4998
example,4980
understand,4971
call,4878
million,4875
everything,4842
four,4791
away,4788
children,4755
person,4749
water,4713
working,4713
whole,4683
trying,4635
five,4629
try,4596
school,4578
country,4578
sort,4524
using,4488
man,4482
future,4467
space,4467
power,4461
second,4455
thinking,4443
information,4368
means,4362
times,4323
music,4323
design,4308
high,4275
making,4248
enough,4242
number,4233
took,4200
africa,4188
social,4179
create,4140
home,4125
am,4122
money,4113
become,4098
getting,4074
without,4074
energy,4062
small,4017
left,4005
best,3999
body,3963
sense,3819
ask,3807
city,3804
building,3789
talking,3771
less,3753
comes,3750
earth,3750
such,3744
told,3744
lives,3738
half,3732
science,3723
light,3711
quite,3708
happened,3684
build,3657
interesting,3645
probably,3636
experience,3633
moment,3606
hard,3594
countries,3594
kids,3579
pretty,3570
anything,3570
while,3567
imagine,3555
across,3507
family,3498
coming,3480
room,3474
health,3471
asked,3459
dollars,3456
having,3414
community,3414
yet,3411
once,3411
living,3387
young,3384
happen,3372
global,3372
ways,3363
later,3342
almost,3333
simple,3327
20,3321
days,3303
hand,3285
food,3273
project,3270
far,3261
nothing,3258
men,3258
saw,3252
side,3240
care,3234
open,3231
makes,3231
else,3228
seen,3219
says,3213
video,3198
remember,3192
problems,3186
stuff,3177
history,3162
single,3162
myself,3159
move,3144
states,3117
both,3108
happens,3102
ideas,3069
ok,3066
process,3060
goes,3057
yes,3054
someone,3042
bad,3039
learn,3039
inside,3036
planet,3036
saying,3036
often,3024
case,3021
possible,3021
within,2991
already,2970
war,2967
keep,2967
face,2967
billion,2961
sure,2961
play,2958
picture,2946
wrong,2943
public,2940
hope,2940
mind,2928
yeah,2922
six,2916
sometimes,2907
instead,2907
woman,2892
age,2892
computer,2886
months,2871
whether,2868
government,2862
reason,2859
amazing,2850
matter,2832
everybody,2829
child,2823
book,2820
cells,2811
set,2808
oh,2793
cancer,2790
united,2784
stories,2781
top,2769
looked,2757
self,2748
built,2745
since,2745
answer,2730
under,2727
learned,2727
true,2727
business,2724
job,2715
nature,2715
basically,2712
100,2706
wasn,2694
beautiful,2691
black,2685
group,2682
read,2676
isn,2676
until,2676
species,2646
control,2631
heard,2628
art,2619
bring,2619
words,2613
car,2604
run,2601
