,subject,verb,term_freq,doc_freq,tfidf
0,i,have,1891,599,4035.9259875838975
1,i,want,1634,576,3218.4631483180306
2,i,go,1389,508,2193.197335785521
3,i,get,787,390,876.7271962591404
4,i,do,864,375,922.2124814115799
5,i,like,618,350,614.393365352893
6,i,tell,499,290,417.95008736073635
7,i,think,411,268,322.9059560096268
8,i,start,514,265,400.2885923542647
9,i,know,413,257,314.13358339786157
10,i,take,378,252,283.27883629312083
11,i,try,411,239,296.25041269035603
12,i,say,408,237,292.3173727740362
13,i,see,362,229,253.1324462112632
14,i,ask,309,228,215.4124074464132
15,i,love,405,217,272.92833215352323
16,i,use,311,208,203.76535953836049
17,i,make,328,194,205.52083702075544
18,i,find,268,194,167.92556195598308
19,i,show,278,183,168.0451569454267
20,i,put,275,182,165.68294133549313
21,he,have,309,182,186.16737771879048
22,i,give,242,177,143.39435033176602
23,i,call,233,174,136.67708505487082
24,i,need,206,145,109.16396228704609
25,i,saw,183,128,90.96453148490896
26,i,learn,158,122,76.70713376664413
27,i,spend,154,122,74.7651810130582
28,he,say,169,121,81.72096239084503
29,i,write,183,117,87.0752926594632
30,i,meet,162,116,76.76949417878369
31,i,decide,143,109,65.82413282704786
32,i,mean,146,107,66.63701298316653
33,she,have,156,105,70.59324897054739
34,i,remember,136,103,61.011871027427034
35,he,do,134,96,58.27467306206586
36,i,hear,129,91,54.82493689113333
37,he,go,114,88,47.76936794334425
38,he,get,106,88,44.41713159644289
39,i,begin,112,84,46.03395692364581
40,he,take,101,84,41.51276472578774
41,i,leave,86,76,33.95089684171667
42,i,read,99,76,39.083009154999424
43,i,bring,87,73,33.808150670921115
44,i,look,80,69,30.421757123367662
45,he,want,88,69,33.46393283570443
46,i,keep,81,67,30.461310920563545
47,i,believe,87,67,32.71770432208677
48,i,come,73,64,26.987856086399166
49,he,make,81,63,29.77209280946063
50,i,realize,70,61,25.427458024750734
51,he,tell,75,59,26.917746335744766
52,i,turn,68,57,24.107045575054276
53,i,work,60,57,21.27092256622436
54,i,study,67,54,23.305812283169537
55,he,write,63,53,21.772852978521748
56,she,say,80,53,27.64806727431333
57,i,understand,77,52,26.437226580180173
58,i,play,68,50,23.03694418526043
59,i,buy,64,50,21.681829821421584
60,he,put,63,50,21.34305123046187
61,i,build,68,49,22.880345501402697
62,he,start,54,49,18.16968613346685
63,she,do,72,48,24.059327249110236
64,i,watch,60,48,20.04943937425853
65,i,feel,69,47,22.89578001404288
66,i,lose,59,46,19.438830644920003
67,i,pick,56,46,18.450415527381697
68,i,hope,50,44,16.2358022585359
69,she,go,54,43,17.404738924212918
70,he,give,55,43,17.727048904290935
71,i,create,58,42,18.553268736543483
72,i,walk,49,41,15.55441329500133
73,i,choose,51,41,16.1892873070422
74,i,felt,53,39,16.56124887360521
75,i,set,46,37,14.141290955267845
76,she,get,43,37,13.219032849489507
77,she,want,45,37,13.833871586675066
78,i,run,42,36,12.803767661560297
79,i,end,38,36,11.584361217602174
80,he,find,51,35,15.415048689976427
81,i,forget,40,35,12.090234266648178
82,he,ask,38,35,11.48572255331577
83,he,call,36,34,10.786701506630006
84,i,move,42,34,12.584485091068341
85,i,change,38,32,11.182826746934541
86,i,stop,34,32,10.005687089362484
87,i,teach,41,32,12.065681490113583
88,i,send,42,31,12.245554196048877
89,i,help,34,31,9.913067682515758
90,i,sit,34,31,9.913067682515758
91,she,take,36,31,10.496189310899037
92,i,invite,36,30,10.396793599447088
93,she,tell,39,30,11.263193066067679
94,i,share,40,30,11.551992888274542
95,i,hate,33,30,9.530394132826498
96,i,imagine,36,30,10.396793599447088
97,i,talk,32,30,9.241594310619634
98,he,use,33,30,9.530394132826498
99,i,thank,52,30,15.017590754756906
100,i,design,34,29,9.723988695090927
101,i,mention,34,29,9.723988695090927
102,i,add,36,29,10.295988030096277
