,speaker_gender,subject,verb,term_freq,doc_freq,tfidf
27,man,i,learn,110,84,51.775911579226864
28,man,i,mean,110,82,51.195230745024745
30,man,i,spend,105,81,48.59069093762215
31,man,i,meet,104,77,47.02581034753082
32,man,i,decide,104,75,46.47278741705113
37,man,i,remember,87,66,36.775550974553035
39,man,i,hear,78,60,31.69427436921462
41,man,i,begin,73,54,28.444814686695093
43,man,i,leave,56,51,21.34527644984201
44,man,i,read,61,51,23.251104704292192
45,man,i,look,59,50,22.320297978225994
46,man,i,believe,65,50,24.59015878957101
47,man,i,bring,57,47,21.070458470102395
48,man,i,build,63,46,23.104720719156003
49,man,i,come,51,46,18.70382153455486
51,man,i,keep,49,43,17.53659652129213
52,man,i,turn,51,43,18.252375971140786
54,man,i,buy,53,42,18.80975241572938
56,man,i,realize,46,40,16.04757092976176
57,man,i,work,39,37,13.245307603909236
59,man,i,study,42,35,13.999958791955455
60,man,i,understand,51,33,16.672936288189593
61,man,i,play,43,32,13.917564695780154
64,man,i,pick,38,31,12.174142702256942
66,man,i,feel,45,30,14.26687517077449
67,man,i,choose,35,29,10.978459735013104
69,man,i,end,31,29,9.723778622440177
70,man,i,watch,37,29,11.605800291299566
72,man,i,move,36,28,11.169189581329453
73,man,i,create,36,27,11.04457089233387
74,man,i,hope,29,27,8.897015441046728
75,man,i,forget,30,26,9.098462596538445
76,man,i,walk,32,26,9.705026769641007
77,man,i,lose,32,26,9.705026769641007
79,man,i,explain,26,24,7.698450369076244
80,man,i,mention,26,24,7.698450369076244
82,man,i,felt,28,24,8.290638859005186
83,man,i,run,26,24,7.698450369076244
84,man,i,set,31,24,9.178921593898599
87,man,i,change,28,24,8.290638859005186
88,man,i,teach,31,24,9.178921593898599
89,man,i,add,26,23,7.602644452177645
90,man,i,talk,25,23,7.310235050170813
92,man,i,expect,28,22,8.082407211427594
93,man,i,share,28,21,7.975311956792201
94,man,i,stop,22,21,6.266316537479586
95,man,i,live,21,21,5.9814839675941505
96,man,i,design,25,21,7.120814247135893
99,man,he,come,23,20,6.461355470472123
100,man,i,invite,24,20,6.742283969188302
101,man,i,draw,21,20,5.899498473039764
103,man,i,suppose,22,20,6.180426971755943
104,man,i,drive,21,19,5.815695761586005
105,man,i,pull,21,19,5.815695761586005
106,man,he,turn,21,19,5.815695761586005
107,man,i,imagine,25,19,6.923447335221435
108,man,i,open,25,19,6.923447335221435
109,man,i,help,20,19,5.538757868177147
