,verb,term_freq,doc_freq,tfidf
0,have,2356,669,6580.6502438917005
1,want,1767,605,3853.2415778022855
2,go,1557,542,2738.606162672176
3,get,936,444,1218.7835974508814
4,do,1070,425,1318.1979202814596
5,like,650,369,682.0518341185505
6,tell,613,337,587.3220108702264
7,take,515,313,460.80879332284775
8,say,657,310,582.8441066897083
9,start,594,303,516.4900374463953
10,think,429,276,345.0210138073606
11,know,457,275,366.470060380236
12,try,454,259,347.3669239691425
13,ask,363,256,275.2865593409447
14,see,405,252,303.5130388854866
15,make,437,248,323.61389598425717
16,use,357,234,253.4643183368371
17,find,344,227,239.07926007115265
18,love,426,225,294.2592528741865
19,put,348,224,239.64345357807935
20,give,327,219,221.73525428832292
21,call,282,209,185.3471704952696
22,show,304,197,192.33206685481954
23,write,257,162,144.69033838140862
24,need,227,159,126.46949832153925
25,saw,224,152,121.74423372765645
26,learn,176,134,89.52352971375824
27,spend,171,132,86.31997637933934
28,meet,174,124,85.1471209160207
29,decide,160,121,77.36895847653967
30,mean,161,116,76.29560841224799
31,remember,143,108,65.54605331548464
32,hear,144,101,64.03748684432263
33,bring,131,99,57.74273829477074
34,look,119,99,52.45332715326502
35,leave,115,98,50.464361806370185
36,begin,132,98,57.924310942964034
37,read,122,93,52.333474600391106
38,keep,109,87,45.456530665242845
39,come,106,87,44.20543349097011
40,turn,102,84,41.923782198320296
41,believe,95,72,36.720123439958314
42,build,94,69,35.74556461995701
43,realize,76,67,28.580983085960856
44,work,72,66,26.92445687917925
45,lose,85,65,31.605373121203872
46,play,85,61,30.87619903005446
47,understand,91,60,32.858405057161626
48,study,72,59,25.841036482314976
49,buy,72,58,25.68346206587861
50,pick,70,56,24.661332085480957
51,create,76,55,26.606263854772994
52,watch,66,53,22.809655501308498
53,feel,76,53,26.265663910597663
54,run,62,50,21.004272639502158
55,walk,60,50,20.326715457582733
56,stop,53,49,17.833210464328573
57,teach,62,49,20.861491486573048
58,felt,62,48,20.717754020067147
59,set,57,47,18.913905228991943
