,subject,verb,obs
0,she,have,63
1,she,do,33
2,she,say,31
3,she,go,22
4,she,get,20
5,she,tell,18
6,she,take,14
7,she,make,13
8,she,want,11
9,she,love,10
10,she,bring,10
11,she,start,9
12,she,see,8
13,she,look,8
14,she,ask,8
15,she,call,7
16,she,find,7
17,she,give,7
18,she,put,6
19,she,like,6
20,she,leave,6
21,she,save,6
22,she,know,6
23,she,write,6
24,she,keep,5
25,she,sell,5
26,she,begin,5
27,she,saw,5
28,she,open,4
29,she,create,4
30,he,have,80
31,he,say,39
32,he,go,32
33,he,do,29
34,he,take,23
35,he,want,20
36,he,find,20
37,he,get,19
38,he,tell,16
39,he,make,14
40,he,give,13
41,he,write,13
42,he,start,12
43,he,put,10
44,he,saw,9
45,he,need,8
46,he,use,8
47,he,look,7
48,he,like,7
49,he,kill,6
50,he,turn,6
51,he,see,6
52,he,call,5
53,he,learn,5
54,he,show,5
55,he,run,5
56,he,win,5
57,he,ask,5
58,he,stop,5
59,he,leave,4
60,i,have,586
61,i,want,424
62,i,go,330
63,i,do,226
64,i,get,203
65,i,tell,169
66,i,like,160
67,i,know,154
68,i,start,145
69,i,love,137
70,i,try,114
71,i,think,111
72,i,say,110
73,i,see,103
74,i,ask,96
75,i,take,96
76,i,use,85
77,i,make,84
78,i,find,77
79,i,call,68
80,i,need,66
81,i,saw,63
82,i,put,59
83,i,meet,57
84,i,hear,54
85,i,show,53
86,i,write,52
87,i,remember,51
88,i,give,49
89,i,spend,49
