subject,verb,0
we,have,674
i,have,586
i,want,424
you,have,406
i,go,330
we,need,255
you,see,255
we,do,246
they,have,231
i,do,226
i,get,203
we,go,188
you,get,180
we,see,172
i,tell,169
i,like,160
i,know,154
you,do,150
you,want,145
i,start,145
we,want,142
i,love,137
we,get,135
it,have,131
we,find,125
i,try,114
i,think,111
i,say,110
we,make,106
you,go,104
i,see,103
it,take,102
we,use,101
i,take,96
i,ask,96
you,need,94
they,do,87
we,know,87
you,know,85
i,use,85
i,make,84
he,have,80
it,go,79
i,find,77
that,have,76
we,start,75
we,take,72
we,try,71
i,call,68
i,need,66
i,saw,63
she,have,63
we,call,62
i,put,59
they,get,57
you,find,57
i,meet,57
we,create,56
i,hear,54
i,show,53
that,make,53
i,write,52
you,take,52
they,make,52
i,remember,51
i,give,49
they,use,49
i,spend,49
you,make,49
who,have,49
you,use,47
we,build,47
they,want,47
they,go,46
i,learn,46
we,put,45
you,start,45
you,put,45
it,make,45
you,think,45
they,take,44
you,hear,44
that,mean,43
it,mean,43
i,decide,40
he,say,39
i,read,39
we,give,39
we,learn,38
i,begin,38
you,feel,38
that,go,37
they,tell,36
i,mean,36
they,need,35
you,give,35
people,have,34
she,do,33
we,spend,33
i,keep,33
he,go,32
it,get,31
you,like,31
she,say,31
i,bring,30
they,find,30
we,think,30
you,tell,30
they,say,30
we,ask,30
i,feel,29
he,do,29
we,begin,29
it,do,29
you,say,29
i,felt,29
we,tell,29
we,bring,29
you,try,29
it,give,29
it,start,28
i,leave,28
i,understand,27
who,do,27
i,lose,27
i,study,26
i,look,26
we,understand,26
it,change,25
that,use,25
they,start,25
i,play,25
you,ask,25
that,take,24
you,imagine,24
i,realize,24
i,discover,24
he,take,23
i,create,23
we,lose,23
that,give,22
we,play,22
we,change,22
i,watch,22
i,work,22
she,go,22
i,believe,22
they,come,21
they,call,21
you,love,21
he,want,20
you,buy,20
who,get,20
she,get,20
they,ask,20
they,put,20
he,find,20
that,help,20
that,do,19
we,like,19
they,give,19
they,see,19
we,share,19
he,get,19
you,understand,18
you,expect,18
she,tell,18
i,turn,18
who,want,18
they,know,18
it,tell,18
i,come,18
it,need,18
i,thank,18
we,say,18
i,win,18
it,use,18
we,teach,18
we,talk,17
it,seem,17
i,run,17
we,keep,17
people,do,16
i,choose,16
people,want,16
i,hope,16
i,gon,16
i,pick,16
we,hear,16
he,tell,16
we,saw,16
i,walk,16
you,create,16
i,set,15
