name,num
the,93853
and,67710
to,57089
of,52313
that,44087
it,35339
in,34728
you,34162
we,30407
is,28569
this,22640
so,16733
was,14124
they,13963
for,13606
but,12527
have,12298
are,12245
on,12118
what,12019
with,11427
can,10758
there,9915
about,9833
be,9631
at,9071
as,9000
all,8845
my,8480
not,8395
do,8142
one,8092
re,8051
like,7739
people,7298
if,7254
from,6923
now,6758
just,6701
our,6591
an,6421
he,6276
or,6211
these,6168
when,6144
out,5972
me,5929
going,5633
because,5602
by,5476
know,5467
up,5400
very,5349
how,5258
them,5134
think,4982
had,4942
more,4879
here,4878
your,4868
would,4791
see,4760
laughter,4707
really,4571
get,4476
ve,4457
who,4446
were,4378
then,4313
which,4255
time,4246
their,4224
us,4168
some,4079
world,4025
don,3826
things,3769
way,3710
has,3695
into,3651
years,3638
could,3629
will,3529
no,3418
where,3411
go,3393
actually,3354
been,3263
well,3259
want,3257
right,3251
make,3207
other,3163
something,3042
she,3004
said,2954
those,2817
first,2814
two,2813
much,2753
than,2746
got,2725
thing,2704
little,2654
look,2641
new,2607
back,2549
over,2546
life,2541
say,2509
applause,2503
most,2413
his,2348
work,2342
only,2292
also,2288
even,2283
kind,2218
take,2191
lot,2166
did,2158
good,2122
many,2100
around,2096
every,2052
down,2050
ll,2049
need,2041
different,1992
why,1979
being,1874
let,1868
come,1846
through,1827
her,1791
same,1780
put,1753
day,1721
year,1715
three,1708
thank,1693
use,1686
doing,1654
called,1644
any,1621
human,1585
made,1538
great,1509
after,1509
tell,1505
last,1451
didn,1436
find,1418
today,1414
started,1398
percent,1394
idea,1390
talk,1377
another,1367
fact,1344
big,1336
change,1330
never,1330
before,1312
off,1304
might,1286
its,1286
thought,1278
show,1257
own,1247
better,1241
next,1235
each,1235
still,1231
give,1209
long,1204
ago,1190
together,1188
000,1187
does,1186
important,1185
again,1179
part,1176
mean,1176
should,1173
technology,1171
love,1169
able,1167
went,1164
him,1139
too,1119
few,1116
brain,1114
came,1102
story,1100
system,1097
bit,1093
old,1092
start,1079
looking,1078
place,1067
maybe,1061
end,1051
problem,1048
found,1047
course,1033
real,1027
always,1022
used,1017
question,1013
music,1012
between,1011
doesn,1011
feel,997
point,995
design,994
done,994
whole,987
ever,981
10,981
wanted,975
space,973
everything,968
understand,960
sort,955
may,950
call,946
away,945
four,945
million,940
live,939
person,932
try,925
future,923
data,923
believe,918
trying,906
high,903
five,901
working,895
example,889
help,887
earth,883
took,875
man,870
enough,866
thinking,858
number,851
water,845
times,844
second,841
children,831
making,825
ok,815
using,815
kids,814
energy,812
building,808
getting,807
left,799
interesting,798
school,785
information,782
science,770
anything,769
sense,765
create,757
means,756
power,755
experience,754
pretty,753
light,748
video,746
best,744
city,741
talking,741
comes,740
half,740
home,730
am,730
small,729
build,728
probably,728
money,727
stuff,723
country,722
become,712
ask,705
coming,702
such,701
happened,700
without,695
quite,682
hard,682
project,680
body,680
imagine,676
simple,675
moment,672
room,666
told,663
once,663
oh,657
computer,655
happen,654
having,650
saw,649
less,645
nothing,645
lives,643
almost,643
later,641
yeah,640
dollars,637
yet,636
planet,634
days,631
play,631
while,631
asked,631
20,629
else,629
hand,628
makes,625
yes,624
history,623
ted,618
seen,618
picture,618
says,616
ideas,615
move,614
far,614
mind,610
happens,607
bad,606
saying,605
across,605
ca,605
ways,604
goes,602
book,599
single,598
possible,596
inside,592
amazing,589
six,582
living,582
community,581
art,580
nature,580
learn,579
wrong,577
side,574
billion,574
everybody,573
reason,573
remember,573
young,570
instead,568
women,566
species,566
case,565
process,564
sure,564
age,562
both,561
self,561
piece,560
built,560
car,559
problems,558
since,557
keep,557
sometimes,557
myself,553
someone,552
universe,550
100,545
open,544
family,542
god,542
already,540
war,539
hope,538
wasn,537
states,535
looked,532
set,532
bring,529
food,529
guy,526
within,523
months,523
true,522
couple,521
whether,519
read,518
social,517
top,516
often,511
face,511
beautiful,511
matter,510
looks,508
words,507
child,507
until,502
word,499
form,499
turn,497
under,496
head,496
run,495
answer,493
works,491
isn,489
somebody,486
cells,486
business,485
job,485
gets,483
care,481
completely,480
learned,480
everyone,479
knew,479
line,479
public,478
global,477
basically,477
questions,476
exactly,476
black,474
america,472
decided,472
government,471
sound,470
students,470
group,469
turns,469
health,468
okay,467
heard,466
united,466
machine,466
must,465
internet,465
control,465
air,462
house,462
30,462
woman,462
night,458
places,458
hours,455
natural,455
order,454
hear,452
though,452
50,450
company,449
reality,449
itself,448
countries,446
africa,444
along,444
past,442
against,441
