,0
00,15
000,2098
0001,2
000th,6
001,2
01,4
02,2
05,9
06,7
07,2
08,4
09,2
10,1691
100,902
1000,5
100th,9
101,18
102,5
103,4
104,3
105,10
106,6
109,3
10th,31
11,351
110,19
111,4
112,5
113,2
114,4
115,6
117,3
118,4
11th,30
12,460
120,81
122,2
123,2
124,4
125,13
125th,2
127,2
128,5
129,3
12th,20
13,201
130,57
132,4
133,2
135,11
136,2
137,8
138,2
13th,10
14,241
140,34
1400s,2
142,4
143,3
144,5
145,5
1450,2
146,2
147,4
148,4
1492,3
14th,14
15,659
150,171
1500,10
150th,2
151,4
1543,2
155,7
156,4
158,2
15th,18
16,208
160,24
1600,6
1600s,6
162,5
163,2
165,5
168,5
169,2
16th,19
17,184
170,17
1700s,7
171,4
172,3
173,2
174,4
175,13
1750,2
1759,4
1760,2
1772,2
1775,2
1776,2
1787,2
1788,2
17th,37
18,311
180,23
1800,10
1800s,14
1812,5
1813,3
1816,2
182,3
1820,3
1830,2
184,2
1840,5
1849,4
185,4
1850,9
1850s,6
1859,3
186,2
1860,3
1860s,2
1863,3
1865,4
1867,2
1868,2
187,2
1870,2
1870s,3
1871,3
1875,4
1878,2
1879,5
1880,5
1880s,2
1884,2
1885,4
1888,2
1889,2
1890,3
1891,3
1895,2
1896,2
1897,3
1899,2
18th,29
19,104
190,10
1900,28
1900s,14
1901,2
1902,10
1903,7
1904,3
1908,9
191,2
1910,7
1911,3
1912,12
1913,3
1914,5
1915,9
1916,2
1917,6
1918,17
1919,5
192,4
1920,3
1920s,15
1922,2
1925,4
1926,4
1927,4
1928,7
1929,14
1930,7
1930s,27
1931,3
1932,6
1934,3
1935,2
1936,3
1937,3
1938,6
1939,7
1940,12
1940s,15
1941,7
1942,5
1943,7
1944,7
1945,33
1946,8
1947,11
1948,7
1949,14
195,3
1950,19
1950s,60
1951,4
1952,2
1953,10
1954,7
1955,8
1956,10
1957,20
1958,10
1959,8
196,5
1960,42
1960s,41
1961,6
1962,15
1963,9
1964,8
1965,16
1966,10
1967,12
1968,20
1969,18
1970,33
1970s,71
1971,10
1972,12
1973,22
1974,15
1975,22
1976,16
1977,6
1978,10
1979,12
198,2
1980,32
1980s,64
1981,11
1982,16
1983,18
1984,39
1985,21
1986,21
1987,12
1988,17
1989,25
1990,39
1990s,78
1991,28
1992,14
1993,23
1994,38
1995,35
1996,33
1997,31
1998,49
1999,46
19th,81
20,1107
200,358
2000,111
2000s,20
2001,66
2002,46
2003,64
2004,80
2005,83
2006,60
2007,90
2008,114
2009,80
200th,4
201,2
2010,102
2011,81
2012,74
2013,46
2014,54
2015,64
2016,45
2017,6
2018,5
2019,2
2020,47
2020s,4
2021,3
2022,4
2023,3
2025,13
2027,8
2030,48
2030s,3
2040,11
2042,4
2045,4
205,4
2050,63
2054,2
2070,2
20s,56
20th,137
21,118
210,2
2100,12
211,4
214,7
215,3
216,2
218,3
21st,154
22,102
220,11
223,2
225,4
226,2
228,2
22nd,8
23,105
230,7
232,3
233,3
238,2
23andme,5
23rd,3
24,217
240,12
244,2
247,2
24th,4
25,410
250,90
252,2
256,6
25th,17
26,63
260,4
265,2
267,2
26th,3
27,98
270,7
271,2
275,2
27th,2
28,59
280,8
28th,5
29,46
295,2
29th,5
2am,3
2d,25
2nd,2
30,827
300,229
3000,2
30s,33
30th,5
31,38
311,3
314,2
31st,2
32,75
320,4
321,3
325,7
33,42
330,5
34,27
340,6
35,122
350,47
36,54
360,24
365,15
37,39
370,3
375,3
38,31
380,10
39,20
390,2
391,2
3am,2
3d,198
3g,4
3m,3
3po,3
3rd,2
40,494
400,196
400th,2
401k,2
405,2
40s,27
41,18
410,3
414,2
417,2
42,47
420,5
425,2
42nd,2
43,32
430,2
44,28
440,2
45,123
450,24
46,27
47,37
470,2
473,2
47s,3
48,44
49,11
49th,2
4g,3
4pm,2
4th,4
50,784
500,362
501,2
50k,2
50s,45
50th,19
50x15,4
51,10
512,3
52,29
529,4
53,23
530,4
539,3
54,27
540,4
55,41
550,11
56,17
57,24
58,23
59,16
5am,3
5th,7
