word,count
the,166093
and,118989
to,102276
of,92416
that,76268
in,62673
it,59191
you,56296
we,54458
is,50072
this,38510
so,29001
they,25157
was,24582
for,24445
are,22592
have,21965
but,21804
on,20978
what,20907
with,20141
can,18795
about,16921
be,16678
there,16554
as,15964
at,15311
all,15199
not,15184
my,15164
do,14263
one,13945
people,13460
re,13373
like,13103
from,12736
if,12593
our,12301
now,11604
an,11144
just,11130
or,11047
he,10855
when,10846
these,10788
me,10461
because,10017
by,9831
out,9643
very,9480
how,9433
going,9133
them,9092
up,9084
know,8956
more,8865
had,8851
think,8371
who,8339
your,8255
their,8179
would,8139
were,8018
see,7986
which,7769
us,7697
really,7661
ve,7588
here,7588
world,7462
get,7459
laughter,7374
time,7359
then,7085
some,6850
has,6629
don,6482
way,6267
into,6262
will,6236
years,6196
where,6119
actually,6028
could,6012
things,5945
no,5878
other,5777
been,5765
go,5656
want,5639
well,5603
make,5515
she,5466
right,5228
those,5085
first,5012
said,5000
two,4919
something,4908
than,4888
much,4732
new,4515
also,4496
look,4470
over,4430
even,4402
got,4365
applause,4359
thing,4341
most,4330
life,4313
only,4285
back,4255
his,4247
say,4231
little,4155
work,4110
many,4097
take,3997
need,3925
did,3736
every,3630
around,3606
her,3589
lot,3565
why,3557
good,3551
kind,3482
different,3475
let,3325
down,3310
being,3279
through,3261
ll,3244
same,3217
come,3187
day,3117
year,3037
three,3006
thank,2920
use,2914
doing,2864
called,2796
put,2789
human,2740
after,2723
any,2722
tell,2703
today,2697
made,2651
percent,2606
great,2557
change,2534
didn,2455
find,2454
talk,2388
another,2367
last,2367
its,2357
started,2345
own,2333
fact,2321
idea,2316
before,2310
never,2280
together,2224
should,2202
big,2199
might,2199
give,2187
still,2183
better,2175
important,2168
each,2137
part,2129
thought,2126
able,2122
brain,2106
000,2098
off,2088
went,2078
next,2078
long,2063
women,2050
system,2045
does,2033
ago,2014
him,1997
show,1991
story,1984
problem,1981
again,1978
start,1966
few,1959
technology,1949
came,1935
too,1932
place,1918
course,1909
old,1903
love,1902
between,1877
mean,1875
used,1844
end,1826
bit,1804
question,1799
found,1797
maybe,1769
live,1768
always,1711
looking,1704
real,1701
data,1696
may,1694
ever,1694
10,1691
help,1686
doesn,1680
done,1677
believe,1676
feel,1672
wanted,1667
point,1666
example,1660
understand,1657
call,1626
million,1625
everything,1614
four,1597
away,1596
children,1585
person,1583
working,1571
water,1571
whole,1561
trying,1545
five,1543
try,1532
country,1526
school,1526
sort,1508
using,1496
man,1494
future,1489
space,1489
power,1487
second,1485
thinking,1481
information,1456
means,1454
music,1441
times,1441
design,1436
high,1425
making,1416
enough,1414
number,1411
took,1400
africa,1396
social,1393
create,1380
home,1375
am,1374
money,1371
become,1366
getting,1358
without,1358
energy,1354
small,1339
left,1335
best,1333
body,1321
sense,1273
ask,1269
city,1268
building,1263
talking,1257
less,1251
comes,1250
earth,1250
told,1248
such,1248
lives,1246
half,1244
science,1241
light,1237
quite,1236
happened,1228
build,1219
interesting,1215
probably,1212
experience,1211
moment,1202
hard,1198
countries,1198
kids,1193
pretty,1190
anything,1190
while,1189
imagine,1185
across,1169
family,1166
coming,1160
room,1158
health,1157
asked,1153
dollars,1152
community,1138
having,1138
yet,1137
once,1137
living,1129
young,1128
global,1124
happen,1124
ways,1121
later,1114
almost,1111
simple,1109
20,1107
days,1101
hand,1095
food,1091
project,1090
far,1087
men,1086
nothing,1086
saw,1084
side,1080
care,1078
makes,1077
open,1077
else,1076
seen,1073
says,1071
video,1066
remember,1064
problems,1062
stuff,1059
single,1054
history,1054
myself,1053
move,1048
states,1039
both,1036
happens,1034
ideas,1023
ok,1022
process,1020
goes,1019
yes,1018
someone,1014
learn,1013
bad,1013
saying,1012
planet,1012
inside,1012
often,1008
possible,1007
case,1007
within,997
already,990
keep,989
face,989
war,989
sure,987
billion,987
play,986
picture,982
wrong,981
hope,980
public,980
mind,976
yeah,974
six,972
instead,969
sometimes,969
woman,964
age,964
computer,962
months,957
whether,956
government,954
reason,953
amazing,950
matter,944
everybody,943
child,941
book,940
cells,937
set,936
oh,931
cancer,930
united,928
stories,927
top,923
looked,919
self,916
since,915
built,915
answer,910
true,909
under,909
learned,909
business,908
job,905
nature,905
basically,904
100,902
wasn,898
beautiful,897
black,895
group,894
until,892
isn,892
read,892
species,882
control,877
heard,876
bring,873
art,873
words,871
car,868
run,867
knew,862
form,862
must,861
everyone,860
decided,859
looks,857
okay,857
internet,856
night,855
turn,847
order,843
head,839
share,838
ted,836
couple,835
mother,833
places,831
though,830
30,827
education,823
friends,822
piece,821
exactly,820
society,818
somebody,815
became,815
research,815
line,814
against,812
guy,809
completely,808
works,806
language,800
hours,799
god,794
ourselves,793
others,792
word,792
questions,788
taking,785
state,785
disease,785
50,784
hear,781
students,781
house,780
america,778
news,776
turns,776
ca,775
american,774
thousands,773
middle,772
study,771
level,770
rather,765
sound,762
free,761
gets,760
heart,760
large,758
past,758
company,757
name,754
themselves,753
itself,751
stop,748
based,744
huge,741
kinds,738
couldn,734
finally,730
universe,730
happening,727
model,726
cities,720
outside,719
minutes,718
worked,718
reality,713
air,712
along,711
systems,707
ones,707
entire,706
created,706
century,701
perhaps,701
front,699
third,695
powerful,692
behind,691
seven,688
least,687
audience,686
china,684
animals,682
seeing,681
natural,680
early,679
felt,676
gave,675
companies,675
political,673
difference,671
full,670
during,669
figure,666
guys,665
environment,664
learning,663
close,662
machine,662
won,661
15,659
climate,658
particular,658
white,656
easy,652
media,652
needed,652
scale,650
game,648
given,647
economic,647
lots,647
eyes,646
takes,645
team,644
began,643
cost,642
walk,642
realized,641
changed,640
view,637
taken,637
parents,636
longer,631
image,629
moving,629
humans,628
difficult,627
cannot,627
needs,626
leave,623
cell,621
yourself,621
happy,620
per,618
death,618
culture,617
turned,616
terms,614
lost,608
hands,606
certain,605
wonderful,600
simply,600
parts,599
patients,598
center,595
known,594
whatever,594
beginning,592
poor,591
born,591
market,590
york,590
south,582
voice,581
grow,581
population,581
african,581
fear,580
eight,579
common,578
ability,577
week,574
phone,572
challenge,572
tried,568
gone,568
area,566
size,563
field,560
opportunity,559
land,557
father,556
local,555
spend,555
blood,554
national,554
quickly,553
feeling,550
changes,550
deal,548
growth,545
ground,544
spent,543
knowledge,541
wrote,540
interested,538
growing,538
step,537
amount,536
either,536
wouldn,534
die,534
access,529
speak,528
medical,528
complex,526
alone,525
literally,523
brought,521
economy,521
sitting,520
morning,519
hundreds,519
movement,519
scientists,519
shows,517
write,516
red,515
friend,514
girl,514
incredible,512
met,512
stand,512
weeks,512
feet,511
attention,511
seems,511
low,509
support,508
hold,507
risk,507
short,506
rest,504
india,504
dna,501
theory,501
buy,499
images,497
green,496
chance,496
deep,496
forward,496
numbers,496
truth,495
40,494
anyone,494
law,494
recently,493
behavior,492
telling,490
pay,490
watch,490
key,489
millions,489
value,488
starting,488
personal,487
development,487
developed,487
test,486
program,486
giving,486
understanding,486
running,484
generation,483
absolutely,482
film,482
physical,481
tools,480
structure,480
realize,480
discovered,479
north,479
paper,473
material,473
surface,473
likely,472
solve,471
blue,470
designed,469
university,469
average,468
clear,467
force,466
digital,466
choice,465
street,465
changing,465
act,462
online,462
especially,461
12,460
cut,460
baby,460
soon,459
color,459
ice,459
trust,459
patient,458
europe,456
seem,456
fast,453
meet,453
lab,452
showed,452
cars,451
bottom,449
nice,448
animal,448
individual,446
rights,446
network,446
issue,445
lived,445
technologies,445
solar,444
sun,444
girls,444
dark,444
communities,443
impact,443
beyond,442
relationship,441
resources,440
asking,440
creating,439
poverty,438
carbon,437
dream,437
normal,437
major,437
result,436
basic,436
stage,434
present,434
gives,434
class,433
perfect,432
several,431
playing,431
books,428
allow,428
areas,427
solution,427
sounds,425
oil,425
haven,424
miles,423
focus,423
hour,423
cool,421
evolution,421
talked,420
term,420
evidence,420
shape,419
nine,419
stay,418
nobody,418
computers,418
robot,418
type,417
violence,416
special,416
kid,415
issues,415
drug,415
experiment,414
guess,414
anybody,413
produce,413
map,413
similar,413
potential,411
begin,411
modern,410
25,410
journey,410
wait,409
tiny,409
eat,408
obviously,408
towards,408
drugs,408
fly,407
died,407
industry,406
box,406
explain,406
walking,406
becomes,405
save,405
reasons,405
eye,405
rules,404
incredibly,404
groups,404
sex,404
involved,403
worth,402
writing,402
listen,400
drive,400
developing,400
wall,399
approach,398
please,398
revolution,398
putting,397
english,397
effect,394
college,392
dead,392
knows,391
nuclear,391
democracy,390
reach,390
higher,390
source,389
available,389
pictures,388
rate,386
boy,386
send,385
fun,385
international,385
among,383
exciting,383
leaders,383
led,382
cause,382
ocean,382
situation,381
action,381
60,380
google,380
machines,380
lead,379
safe,377
materials,377
speed,377
ready,377
month,376
camera,376
bigger,376
certainly,376
non,375
medicine,374
plant,373
hospital,373
meaning,372
strong,372
pain,371
named,371
buildings,371
eventually,371
progress,371
aren,370
fish,370
showing,369
president,368
mass,368
message,368
shown,368
measure,368
choose,367
code,367
general,367
favorite,367
biggest,366
particularly,366
object,366
trees,365
teach,364
extraordinary,364
hundred,364
chris,362
architecture,362
notice,362
starts,362
500,362
humanity,362
add,361
suddenly,361
security,361
intelligence,359
success,359
200,358
worse,358
plants,358
including,358
son,357
moved,357
jobs,356
onto,356
tree,356
scientific,356
crisis,355
grew,355
vision,355
crazy,355
indeed,355
individuals,354
software,352
organization,352
standing,352
goal,352
11,351
everywhere,351
doctor,351
connected,350
web,350
fall,350
village,350
sit,350
west,350
movie,349
wish,349
chinese,349
spread,348
develop,348
response,348
road,348
plan,347
screen,347
quality,347
minute,346
break,346
record,346
taught,346
table,345
bodies,345
sea,345
hit,344
totally,344
positive,344
product,344
skin,344
happiness,344
brains,344
genes,344
lose,343
watching,343
examples,342
creative,342
conversation,342
families,342
finding,342
continue,341
memory,341
thanks,341
above,341
role,340
models,340
device,340
further,340
faster,339
office,339
site,338
fire,337
robots,337
student,336
zero,336
reading,336
anyway,335
meant,335
results,335
traditional,335
older,335
impossible,334
recognize,334
bacteria,334
consider,333
fight,332
innovation,332
interest,332
police,332
projects,331
mom,331
wants,331
sleep,331
decision,330
truly,329
somewhere,329
supposed,329
period,329
fundamental,329
excited,329
peace,329
objects,329
justice,328
race,328
pattern,328
smart,328
extremely,326
largest,326
freedom,324
sent,323
successful,323
driving,322
touch,322
mine,322
usually,322
protect,322
door,321
late,321
tells,321
beauty,319
doctors,319
song,318
follow,317
killed,317
pick,316
somehow,316
essentially,315
however,315
larger,315
conditions,314
cases,314
alive,313
east,312
cold,312
kept,312
allowed,312
perspective,311
18,311
rich,311
tool,311
stars,311
biology,311
diseases,310
solutions,309
greatest,309
expect,309
allows,308
games,307
forms,306
complicated,306
visual,305
slow,304
upon,304
patterns,303
