term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
00,0.0,0.0,0.0,0.0,0.0,1.5011972047708048e-05,0.0,7.922109816286273e-06,0.0,0.0,1.006876969703072e-05,0.0,0.0,0.0,0.0,0.0
000,0.0005878091124082403,0.000635002763437952,0.000764583490010278,0.0006653695321242426,0.0005884977171983712,0.0006079848679321759,0.0008753807906439301,0.0005783140165888979,0.0007097695288598817,0.0005608337169882392,0.0005235760242455974,0.0008820564516129032,0.00044533969141385076,0.0005416285452881976,0.0006204821146030466,0.0006098124364778711
000th,0.0,0.0,0.0,1.008135654733701e-05,0.0,7.505986023854024e-06,0.0,0.0,0.0,0.0,0.0,1.575100806451613e-05,6.851379867905396e-06,0.0,7.756026432538082e-06,0.0
01,0.0,0.0,0.0,0.0,0.0,0.0,8.753807906439301e-06,0.0,0.0,8.37065249236178e-06,0.0,7.875504032258064e-06,0.0,0.0,0.0,0.0
02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,0.0,6.851379867905396e-06,0.0,0.0,0.0
06,0.0,0.0,0.0,2.016271309467402e-05,0.0,7.505986023854024e-06,0.0,7.922109816286273e-06,8.158270446665307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.158270446665307e-06,0.0,0.0,7.875504032258064e-06,0.0,0.0,0.0,0.0
10,0.0005057892362582533,0.0004703724173614459,0.0007144468677145221,0.0007561017410502757,0.0005410382238759219,0.0005704549378129058,0.00042893658741552577,0.0005703919067726117,0.000505812767693249,0.00047712719206462146,0.0004430258666693517,0.0005040322580645161,0.0005618131491682425,0.0005489478499542544,0.0003645332423292899,0.0004619791185438418
100,0.00024605962844996104,0.0002469455191147591,0.0003258880449224136,0.00023187120058875123,0.00041764354123755373,0.00039781725926426323,0.00037641373997688996,0.00030896228283516466,0.00028553946563328575,0.0001674130498472356,0.00018123785454655296,0.000244140625,0.00022609553564087808,0.0004098810612991766,0.0002171687401110663,0.0003079860790292279
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5844219632572545e-05,8.158270446665307e-06,0.0,0.0,0.0,0.0,1.4638609332113449e-05,0.0,0.0
100th,0.0,0.0,1.2534155573938984e-05,0.0,0.0,7.505986023854024e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.851379867905396e-06,1.4638609332113449e-05,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,1.5011972047708048e-05,0.0,0.0,8.158270446665307e-06,8.37065249236178e-06,2.013753939406144e-05,1.575100806451613e-05,6.851379867905396e-06,1.4638609332113449e-05,7.756026432538082e-06,6.159721580584557e-06
102,0.0,0.0,0.0,0.0,1.8983797328979717e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.159721580584557e-06
103,0.0,0.0,0.0,2.016271309467402e-05,0.0,0.0,0.0,0.0,8.158270446665307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2.7339958716662336e-05,0.0,2.506831114787797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0554139603716188e-05,1.4638609332113449e-05,0.0,0.0
109,0.0,2.3518620868072297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.756026432538082e-06,0.0
10th,0.0,0.0,0.0,1.008135654733701e-05,6.6443290651429e-05,7.505986023854024e-06,0.0,2.376632944885882e-05,8.158270446665307e-06,2.511195747708534e-05,3.020630909109216e-05,0.0,0.0,7.319304666056724e-06,0.0,0.0
11,0.00010935983486664935,0.00018814896694457838,6.267077786969492e-05,0.00014113899166271813,0.00014237847996734787,0.00014261373445322644,0.00014881473440946812,6.337687853029018e-05,7.342443401998776e-05,7.533587243125602e-05,0.0002013753939406144,8.663054435483871e-05,0.00012332483762229714,0.0002049405306495883,0.00010082834362299507,6.159721580584558e-05
110,0.0,3.5277931302108444e-05,1.2534155573938984e-05,1.008135654733701e-05,0.0,0.0,0.0,7.922109816286273e-06,0.0,0.0,0.0,1.575100806451613e-05,6.851379867905396e-06,0.0,7.756026432538082e-06,0.0
111,0.0,0.0,0.0,0.0,9.491898664489859e-06,0.0,0.0,1.5844219632572545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,1.1759310434036149e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.158270446665307e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37065249236178e-06,0.0,0.0,0.0,0.0,0.0,6.159721580584557e-06
115,0.0,0.0,0.0,0.0,9.491898664489859e-06,0.0,0.0,1.5844219632572545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,1.1759310434036149e-05,0.0,0.0,0.0,1.5011972047708048e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006876969703072e-05,0.0,0.0,1.4638609332113449e-05,0.0,0.0
11th,9.568985550831818e-05,1.1759310434036149e-05,0.0,3.024406964201103e-05,9.491898664489859e-06,0.0,2.6261423719317904e-05,7.922109816286273e-06,0.0,8.37065249236178e-06,2.013753939406144e-05,7.875504032258064e-06,6.851379867905396e-06,0.0,0.0,6.159721580584557e-06
12,6.834989679165585e-05,0.00018814896694457838,0.00011280740016545086,0.00025203391368342523,0.00014237847996734787,8.256584626239426e-05,0.00016632235022234673,0.00013467586687686666,8.158270446665307e-05,0.00010881848240070314,0.00019130662424358366,0.00017326108870967743,0.00010277069801858094,0.00016102470265324793,0.00013960847578568548,9.239582370876836e-05
120,4.1009938074993504e-05,2.3518620868072297e-05,3.760246672181695e-05,0.0,9.491898664489859e-06,7.505986023854024e-06,1.7507615812878603e-05,6.337687853029018e-05,2.447481133999592e-05,5.022391495417068e-05,2.013753939406144e-05,2.3626512096774193e-05,1.3702759735810792e-05,2.1957913998170175e-05,3.878013216269041e-05,3.079860790292279e-05
122,0.0,0.0,0.0,1.008135654733701e-05,9.491898664489859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
