Topic ID,Keywords,Human Topic
Topic 0,"just 0.88, going 0.78, really 0.74, people 0.71, think 0.7, know 0.66, actually 0.64, things 0.61, see 0.59, get 0.59, right 0.5, time 0.48, little 0.46, thing 0.45, go 0.44, ",
Topic 1,"democracy 0.56, war 0.54, government 0.47, political 0.43, people 0.42, power 0.33, world 0.3, country 0.29, violence 0.27, peace 0.27, security 0.26, rights 0.26, citizens 0.25, conflict 0.25, politics 0.25, ",politics
Topic 2,"said 0.92, life 0.48, know 0.44, people 0.41, father 0.39, family 0.39, mother 0.38, man 0.37, children 0.36, story 0.35, love 0.34, day 0.34, went 0.32, years 0.29, home 0.28, ",family stories
Topic 3,"brain 2.42, neurons 0.53, brains 0.32, activity 0.16, arm 0.16, mental 0.15, human 0.14, memory 0.13, electrical 0.12, body 0.12, consciousness 0.11, behavior 0.11, signals 0.1, mind 0.1, control 0.1, ",neuroscience
Topic 4,"cancer 1.84, patients 0.46, tumor 0.45, disease 0.41, patient 0.34, drug 0.3, health 0.26, breast 0.25, blood 0.22, surgery 0.22, medical 0.21, treatment 0.2, drugs 0.19, doctor 0.19, medicine 0.18, ",cancer
Topic 5,"women 2.46, men 1.0, girls 0.44, woman 0.39, sex 0.26, female 0.25, gender 0.24, pm 0.18, male 0.17, girl 0.14, boys 0.14, sexual 0.14, violence 0.13, equal 0.1, rights 0.09, ","women, gender"
Topic 6,"city 1.6, cities 1.09, building 0.42, buildings 0.32, space 0.31, urban 0.29, new 0.29, spaces 0.26, york 0.26, map 0.23, public 0.22, architecture 0.2, park 0.2, neighborhood 0.2, street 0.2, ",cities
Topic 7,"dna 1.41, genome 0.57, bacteria 0.49, genes 0.38, gene 0.35, genetic 0.32, cell 0.29, molecular 0.27, virus 0.26, code 0.23, species 0.22, sequence 0.2, molecule 0.16, molecules 0.16, microbes 0.15, ",genetics
Topic 8,"data 2.39, information 0.78, web 0.32, computer 0.21, map 0.16, privacy 0.14, internet 0.13, online 0.13, phone 0.12, google 0.12, machine 0.12, health 0.11, mobile 0.1, patients 0.09, technology 0.09, ","data, health data?"
Topic 9,"universe 1.53, galaxies 0.46, galaxy 0.42, space 0.32, stars 0.29, theory 0.28, quantum 0.26, dark 0.26, physics 0.25, particles 0.24, telescope 0.2, gravity 0.18, billion 0.17, energy 0.16, black 0.14, ",cosmology
Topic 10,"robot 1.76, robots 1.13, legs 0.1, move 0.09, video 0.08, see 0.07, lab 0.07, build 0.06, control 0.05, machines 0.05, leg 0.05, animal 0.05, motion 0.05, foot 0.04, body 0.04, ",robotics
Topic 11,"car 1.48, cars 1.01, driving 0.35, driver 0.3, road 0.26, vehicle 0.24, drive 0.22, miles 0.19, traffic 0.15, cities 0.13, going 0.12, sharing 0.1, mile 0.09, electric 0.09, hour 0.09, ",cars
Topic 12,"art 1.41, artist 0.58, artists 0.56, painting 0.45, museum 0.34, images 0.26, paint 0.23, work 0.23, project 0.22, space 0.17, image 0.17, book 0.16, arts 0.14, wall 0.12, piece 0.1, ",art
Topic 13,"food 1.82, eat 0.47, farmers 0.32, meat 0.3, feed 0.26, eating 0.22, waste 0.22, bread 0.2, plant 0.19, organic 0.17, farm 0.17, plants 0.16, agriculture 0.16, fish 0.14, local 0.1, ",sustainability
Topic 14,"music 2.27, play 0.41, playing 0.25, song 0.23, piece 0.2, hear 0.18, played 0.14, video 0.11, listen 0.1, da 0.09, hearing 0.09, hall 0.08, sound 0.08, experience 0.07, dance 0.06, ",music
Topic 15,"people 0.66, percent 0.6, countries 0.48, dollars 0.45, money 0.42, world 0.36, health 0.36, business 0.32, economic 0.32, billion 0.32, growth 0.3, economy 0.3, global 0.3, country 0.29, companies 0.28, ",global economy
Topic 16,"kids 2.15, school 0.56, kid 0.35, play 0.2, teach 0.19, lunch 0.14, adults 0.14, schools 0.12, parents 0.11, learn 0.11, plastic 0.1, get 0.09, year 0.08, green 0.08, know 0.07, ",education
Topic 17,"students 0.98, education 0.86, school 0.82, teachers 0.75, children 0.56, teacher 0.4, learning 0.38, classroom 0.34, schools 0.33, teaching 0.26, student 0.25, class 0.22, girls 0.21, math 0.21, teach 0.18, ",education
Topic 18,"africa 1.92, african 0.77, continent 0.37, hiv 0.28, south 0.24, countries 0.22, kenya 0.19, aid 0.16, leaders 0.15, world 0.1, aids 0.1, country 0.09, corruption 0.08, sub 0.08, asia 0.08, ",africa
Topic 19,"water 2.44, river 0.25, waste 0.2, bacteria 0.16, desert 0.11, organisms 0.11, dry 0.1, surface 0.09, supply 0.08, clean 0.08, plastic 0.08, material 0.08, rain 0.08, plant 0.08, environment 0.08, ",water (clean water)
Topic 20,"design 1.93, designers 0.55, building 0.46, architecture 0.32, designing 0.24, designed 0.24, designer 0.24, materials 0.2, buildings 0.2, project 0.13, products 0.13, product 0.13, process 0.12, material 0.11, kind 0.11, ",design
Topic 21,"energy 1.29, oil 0.95, nuclear 0.38, coal 0.34, carbon 0.32, gas 0.3, climate 0.29, solar 0.29, power 0.27, fuel 0.26, electricity 0.24, wind 0.21, emissions 0.16, fossil 0.13, billion 0.13, ",energy
Topic 22,"cells 1.78, stem 0.68, cell 0.54, tissue 0.29, bone 0.26, organs 0.24, body 0.22, disease 0.22, drug 0.19, drugs 0.15, patients 0.14, heart 0.14, patient 0.14, actually 0.13, blood 0.12, ",cell
Topic 23,"compassion 1.64, god 0.32, religious 0.17, suffering 0.15, beings 0.1, happy 0.1, religion 0.09, world 0.09, human 0.09, love 0.08, empathy 0.07, rule 0.07, says 0.06, self 0.06, einstein 0.06, ",compassion
Topic 24,"forest 0.8, species 0.75, plants 0.74, animals 0.61, trees 0.56, plant 0.48, tree 0.34, insects 0.24, nature 0.24, soil 0.23, carbon 0.22, animal 0.19, land 0.18, amazon 0.18, birds 0.17, ",bio-diversity
Topic 25,"ca 1.97, yeah 0.24, mean 0.18, think 0.13, chris 0.13, anderson 0.11, mr 0.09, got 0.08, people 0.07, ted 0.06, ok 0.05, bg 0.04, internet 0.04, source 0.03, wow 0.03, ",TED
Topic 26,"ice 1.37, pole 0.46, climate 0.38, north 0.18, south 0.18, feet 0.17, sea 0.17, ocean 0.13, warming 0.12, years 0.12, atmosphere 0.11, cold 0.11, earth 0.11, journey 0.1, change 0.1, ",climate change
Topic 27,"bees 1.59, plant 0.07, laughter 0.06, insects 0.05, urban 0.05, right 0.03, researchers 0.03, science 0.02, agriculture 0.01, nature 0.01, years 0.01, male 0.0, dying 0.0, garden 0.0, loss 0.0, ",
Topic 28,"sound 1.58, voice 0.52, noise 0.52, listening 0.48, sounds 0.37, hear 0.29, hearing 0.21, listen 0.2, voices 0.17, song 0.14, silence 0.11, waves 0.09, laughter 0.08, visual 0.08, health 0.07, ",sound
Topic 29,"language 1.37, english 1.03, word 0.49, words 0.49, languages 0.32, speak 0.18, sentence 0.13, books 0.13, speech 0.12, writing 0.11, say 0.1, autism 0.09, read 0.09, learn 0.07, french 0.07, ",language and literature
