ID,Keywords,Assignment
Topic 0,"just 0.8, people 0.78, really 0.7, think 0.67, going 0.64, actually 0.63, see 0.63, things 0.59, get 0.56, time 0.51, make 0.45, right 0.41, little 0.41, know 0.41, go 0.41, ",
Topic 1,"women 2.49, men 1.01, woman 0.39, sex 0.26, female 0.26, gender 0.24, pm 0.19, male 0.17, sexual 0.13, equal 0.1, girls 0.09, rights 0.09, boys 0.09, husband 0.08, media 0.08, ",women
Topic 2,"people 0.59, percent 0.58, dollars 0.53, money 0.52, countries 0.44, business 0.39, economic 0.35, economy 0.34, billion 0.34, growth 0.33, companies 0.33, market 0.33, world 0.32, country 0.3, global 0.3, ",global economy
Topic 3,"brain 2.46, neurons 0.55, brains 0.33, arm 0.16, activity 0.16, mental 0.15, memory 0.13, human 0.13, electrical 0.12, body 0.12, consciousness 0.11, signals 0.11, behavior 0.1, mind 0.1, control 0.1, ",neuroscience
Topic 4,"ocean 1.16, fish 0.98, sea 0.65, coral 0.42, oceans 0.37, animals 0.37, sharks 0.35, species 0.2, deep 0.2, water 0.14, planet 0.14, animal 0.13, protected 0.13, boat 0.13, coast 0.13, ",oceans
Topic 5,"patients 0.98, health 0.78, patient 0.64, care 0.5, disease 0.48, medical 0.45, doctors 0.41, hiv 0.36, drugs 0.34, hospital 0.32, doctor 0.31, medicine 0.31, treatment 0.31, drug 0.29, surgery 0.29, ",healthcare
Topic 6,"robot 1.77, robots 1.13, legs 0.1, move 0.09, video 0.08, lab 0.07, see 0.06, build 0.06, control 0.05, leg 0.05, machines 0.05, animal 0.05, motion 0.05, foot 0.04, body 0.04, ",robotics
Topic 7,"city 1.66, cities 1.28, urban 0.31, new 0.26, cars 0.25, map 0.25, york 0.24, street 0.2, park 0.19, neighborhood 0.18, people 0.18, spaces 0.17, streets 0.16, public 0.16, car 0.13, ",cities
Topic 8,"universe 1.55, galaxies 0.46, galaxy 0.43, space 0.31, stars 0.29, theory 0.28, quantum 0.26, dark 0.26, physics 0.25, particles 0.24, telescope 0.2, gravity 0.18, billion 0.17, energy 0.16, black 0.14, ",cosmology
Topic 9,"music 2.28, play 0.31, playing 0.23, song 0.22, piece 0.2, hear 0.18, played 0.13, listen 0.1, da 0.1, hall 0.09, hearing 0.09, video 0.08, sound 0.07, experience 0.07, dance 0.06, ",music
