ID,Keywords,Assignment
Topic 0,"just 0.9, going 0.81, really 0.75, think 0.71, know 0.68, people 0.67, actually 0.63, get 0.61, things 0.61, see 0.61, right 0.51, time 0.49, little 0.47, thing 0.46, go 0.46, ",
Topic 1,"cells 1.8, stem 0.68, cell 0.55, tissue 0.3, bone 0.26, body 0.24, organs 0.23, disease 0.18, drug 0.17, actually 0.13, lab 0.12, blood 0.12, heart 0.12, drugs 0.11, skin 0.1, ",medicine
Topic 2,"people 0.85, world 0.53, percent 0.52, countries 0.51, dollars 0.39, money 0.38, country 0.38, global 0.38, economic 0.31, social 0.3, billion 0.3, economy 0.3, growth 0.28, change 0.27, government 0.25, ",global economy
Topic 3,"brain 2.45, neurons 0.54, brains 0.33, activity 0.16, arm 0.16, mental 0.15, human 0.13, memory 0.13, electrical 0.12, body 0.12, consciousness 0.11, behavior 0.11, signals 0.11, control 0.1, mind 0.1, ",neuroscience
Topic 4,"mars 0.93, earth 0.83, planet 0.74, planets 0.69, solar 0.39, stars 0.34, life 0.33, sun 0.28, surface 0.27, star 0.24, atmosphere 0.23, telescope 0.21, space 0.21, system 0.19, moon 0.18, ",planets
Topic 5,"universe 1.54, galaxies 0.46, galaxy 0.42, space 0.32, stars 0.29, theory 0.28, quantum 0.26, dark 0.26, physics 0.25, particles 0.24, telescope 0.2, gravity 0.18, billion 0.17, energy 0.16, black 0.14, ",cosmology
Topic 6,"city 1.62, cities 1.09, building 0.41, buildings 0.32, space 0.31, urban 0.29, new 0.28, york 0.26, spaces 0.26, map 0.24, public 0.22, architecture 0.2, park 0.2, neighborhood 0.2, street 0.2, ",citues
Topic 7,"kids 1.22, school 1.02, students 0.88, teachers 0.68, education 0.68, teacher 0.37, learning 0.34, schools 0.32, classroom 0.32, teaching 0.27, teach 0.27, class 0.25, student 0.22, learn 0.2, kid 0.19, ",education
Topic 8,"women 2.49, men 1.02, woman 0.39, sex 0.26, female 0.26, gender 0.24, pm 0.18, male 0.17, sexual 0.14, violence 0.13, equal 0.1, rights 0.1, girls 0.1, boys 0.09, stories 0.09, ",women
Topic 9,"music 2.28, play 0.31, song 0.23, playing 0.23, piece 0.2, hear 0.18, played 0.13, listen 0.1, da 0.1, hearing 0.09, hall 0.08, experience 0.07, video 0.07, sound 0.06, dance 0.06, ",music
Topic 10,"light 1.81, see 0.42, lights 0.31, camera 0.21, blue 0.19, eye 0.19, eyes 0.19, dark 0.18, sun 0.16, color 0.15, stars 0.14, video 0.13, image 0.11, green 0.11, star 0.1, ",optics
Topic 11,"robot 1.77, robots 1.13, legs 0.1, move 0.09, video 0.08, see 0.07, lab 0.07, build 0.06, control 0.05, leg 0.05, animal 0.05, motion 0.05, foot 0.04, body 0.04, machines 0.04, ",robotics
Topic 12,"cancer 2.05, tumor 0.51, breast 0.25, disease 0.21, body 0.18, protein 0.17, drug 0.16, blood 0.16, molecule 0.1, tissue 0.09, muscle 0.08, cure 0.08, molecules 0.07, gene 0.07, treatment 0.07, ",cancer
Topic 13,"chinese 1.29, china 1.21, india 0.49, indian 0.24, west 0.15, world 0.15, north 0.12, asia 0.11, countries 0.11, east 0.1, state 0.09, growth 0.09, united 0.09, states 0.09, japan 0.07, ",china-india
Topic 14,"food 1.8, eat 0.47, farmers 0.33, meat 0.29, feed 0.26, eating 0.22, waste 0.22, bread 0.2, plant 0.19, organic 0.17, farm 0.16, plants 0.16, agriculture 0.16, fish 0.14, kids 0.13, ",sustainability
Topic 15,"ocean 1.18, fish 0.95, sea 0.66, coral 0.42, oceans 0.38, sharks 0.35, animals 0.34, deep 0.2, species 0.19, water 0.14, planet 0.14, plastic 0.13, boat 0.13, coast 0.13, protected 0.13, ",oceans
Topic 16,"water 2.43, river 0.25, waste 0.2, bacteria 0.15, desert 0.11, organisms 0.11, dry 0.1, india 0.09, supply 0.08, surface 0.08, clean 0.08, plastic 0.08, rain 0.08, material 0.08, plant 0.08, ",water
Topic 17,"energy 1.29, oil 0.96, nuclear 0.38, coal 0.34, carbon 0.31, gas 0.3, solar 0.29, climate 0.29, fuel 0.27, electricity 0.24, power 0.24, wind 0.21, emissions 0.16, fossil 0.13, billion 0.13, ",energy
Topic 18,"africa 1.92, african 0.77, continent 0.37, hiv 0.28, south 0.23, countries 0.21, kenya 0.18, aid 0.16, leaders 0.15, aids 0.1, sector 0.08, corruption 0.08, sub 0.08, farmers 0.08, country 0.08, ",africa
Topic 19,"language 1.37, english 1.05, word 0.5, words 0.49, languages 0.32, speak 0.18, books 0.13, sentence 0.13, speech 0.12, writing 0.11, say 0.1, read 0.08, learn 0.07, mathematics 0.07, french 0.07, ",language and literature
Topic 20,"ca 1.98, yeah 0.24, mean 0.18, think 0.13, chris 0.13, anderson 0.11, mr 0.09, got 0.08, people 0.07, ted 0.06, ok 0.05, bg 0.05, source 0.03, wow 0.03, report 0.03, ",TED
Topic 21,"compassion 1.64, god 0.31, religious 0.18, suffering 0.15, beings 0.1, religion 0.1, happy 0.1, world 0.09, human 0.09, love 0.08, rule 0.07, empathy 0.07, self 0.06, says 0.06, einstein 0.06, ",compassion
