TOPIC, KEYWORDS
topic 0, 0.013*people + 0.010*going + 0.007*percent + 0.007*need + 0.007*years + 0.007*food + 0.007*really + 0.007*world + 0.006*like + 0.006*get
topic 1, 0.040*india + 0.032*china + 0.031*country + 0.025*growth + 0.024*economic + 0.016*countries + 0.012*two + 0.011*terms + 0.010*indian + 0.010*political
topic 2, 0.032*game + 0.024*games + 0.010*re + 0.010*play + 0.009*vaccine + 0.009*video + 0.008*virus + 0.007*t + 0.007*m + 0.007*higgs
topic 3, 0.019*like + 0.013*actually + 0.012*brain + 0.010*just + 0.010*cells + 0.010*think + 0.009*babies + 0.008*children + 0.008*see + 0.007*two
topic 4, 0.005*envisions + 0.004*pigeon + 0.004*passenger + 0.004*adam + 0.002*mania + 0.001*sin + 0.001*tailed + 0.001*adrianne + 0.001*pigeons + 0.001*manias
topic 5, 0.011*like + 0.011*actually + 0.009*just + 0.008*see + 0.008*really + 0.007*plant + 0.007*species + 0.007*get + 0.007*know + 0.007*looking
topic 6, 0.012*grownup + 0.008*copyright + 0.006*iran + 0.006*nike + 0.005*awesome + 0.005*fashion + 0.005*sneakers + 0.005*protocell + 0.004*alison + 0.004*berkley
topic 7, 0.010*world + 0.009*know + 0.009*think + 0.009*just + 0.008*weapons + 0.007*great + 0.006*america + 0.006*institutions + 0.006*west + 0.006*people
topic 8, 0.009*bread + 0.009*stress + 0.008*black + 0.006*dolphins + 0.006*hole + 0.006*oxytocin + 0.005*dog + 0.005*pi + 0.005*dolphin + 0.004*freckles
topic 9, 0.008*like + 0.008*going + 0.007*really + 0.007*see + 0.006*know + 0.006*data + 0.006*just + 0.006*think + 0.006*actually + 0.005*life
topic 10, 0.012*said + 0.010*africa + 0.010*people + 0.009*world + 0.008*women + 0.008*years + 0.007*went + 0.007*like + 0.006*body + 0.006*humans
topic 11, 0.009*people + 0.008*just + 0.006*world + 0.006*really + 0.006*know + 0.006*going + 0.006*time + 0.005*years + 0.005*like + 0.005*make
topic 12, 0.011*like + 0.007*people + 0.007*years + 0.006*just + 0.006*really + 0.006*actually + 0.006*know + 0.006*script + 0.005*space + 0.005*make
topic 13, 0.012*going + 0.012*just + 0.011*see + 0.011*like + 0.011*know + 0.010*go + 0.009*got + 0.009*get + 0.009*said + 0.008*time
topic 14, 0.041*cancer + 0.013*devil + 0.012*tasmanian + 0.012*disease + 0.012*people + 0.011*cells + 0.010*body + 0.010*like + 0.009*tumor + 0.008*fact
topic 15, 0.007*think + 0.006*said + 0.006*say + 0.006*like + 0.006*people + 0.006*problem + 0.005*understand + 0.005*wrong + 0.005*right + 0.005*trial
topic 16, 0.011*people + 0.011*fish + 0.010*life + 0.010*know + 0.007*back + 0.007*time + 0.007*say + 0.007*story + 0.007*john + 0.006*just
topic 17, 0.012*political + 0.011*democracy + 0.009*democratic + 0.008*societies + 0.007*peace + 0.007*age + 0.007*culture + 0.007*people + 0.007*power + 0.006*leaders
topic 18, 0.010*just + 0.010*like + 0.008*time + 0.007*think + 0.006*see + 0.006*little + 0.006*get + 0.006*people + 0.006*music + 0.006*going
topic 19, 0.011*ca + 0.009*organs + 0.008*rb + 0.007*flies + 0.006*dopamine + 0.006*voice + 0.005*organ + 0.005*neurons + 0.005*malaria + 0.005*liver
topic 20, 0.016*god + 0.011*women + 0.011*people + 0.010*self + 0.007*world + 0.007*just + 0.007*know + 0.007*compassion + 0.006*men + 0.006*life
topic 21, 0.025*octavio + 0.024*ballistics + 0.010*gay + 0.003*agenda + 0.003*lifestyle + 0.002*aquatic + 0.002*mogadishu + 0.002*bisexual + 0.002*carbs + 0.002*lesbian
topic 22, 0.010*people + 0.010*going + 0.009*think + 0.007*really + 0.007*life + 0.007*like + 0.006*look + 0.006*just + 0.005*say + 0.005*know
topic 23, 0.010*like + 0.010*just + 0.010*play + 0.007*actually + 0.007*going + 0.006*people + 0.006*think + 0.006*world + 0.006*internet + 0.006*see
topic 24, 0.017*people + 0.012*new + 0.010*like + 0.008*city + 0.008*school + 0.007*work + 0.007*get + 0.007*think + 0.006*idea + 0.006*things
